asset,start_date,end_date,days,gov_total_return_pct,base_total_return_pct,delta_total_return_pct,avg_daily_delta_pct,sum_daily_delta_pct
DOGE,2025-03-02,2025-03-07,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-03-09,2025-03-14,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-03-16,2025-03-21,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-03-23,2025-03-28,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-03-30,2025-04-04,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-04-06,2025-04-11,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-04-13,2025-04-18,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-04-20,2025-04-25,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-04-27,2025-05-02,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-05-04,2025-05-09,6,9.222093217881454,9.222093217881454,0.0,0.0,0.0
DOGE,2025-05-11,2025-05-16,6,-0.6282295088265166,-0.6282295088265166,0.0,0.0,0.0
DOGE,2025-05-18,2025-05-23,6,0.8116537562705473,0.8116537562705473,0.0,0.0,0.0
DOGE,2025-05-25,2025-05-30,6,-4.60414411592801,-4.60414411592801,0.0,0.0,0.0
DOGE,2025-06-01,2025-06-06,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-06-08,2025-06-13,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-06-15,2025-06-20,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-06-22,2025-06-27,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-06-29,2025-07-04,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-07-06,2025-07-11,6,5.40943562964098,5.40943562964098,0.0,0.0,0.0
DOGE,2025-07-13,2025-07-18,6,19.19253256880429,19.19253256880429,0.0,0.0,0.0
DOGE,2025-07-20,2025-07-25,6,-0.564277987311057,-0.564277987311057,0.0,0.0,0.0
DOGE,2025-07-27,2025-08-01,6,-10.662279547249277,-10.662279547249277,0.0,0.0,0.0
DOGE,2025-08-03,2025-08-08,6,3.7829539877858975,3.7829539877858975,0.0,0.0,0.0
DOGE,2025-08-10,2025-08-15,6,4.70659828282689,4.70659828282689,0.0,0.0,0.0
DOGE,2025-08-17,2025-08-22,6,10.790889846718898,10.790889846718898,0.0,0.0,0.0
DOGE,2025-08-24,2025-08-29,6,-0.056670429461314065,-0.056670429461314065,0.0,0.0,0.0
DOGE,2025-08-31,2025-09-05,6,-2.490945534182698,-2.490945534182698,0.0,0.0,0.0
DOGE,2025-09-07,2025-09-12,6,13.203493531362366,13.203493531362366,0.0,0.0,0.0
DOGE,2025-09-14,2025-09-19,6,9.481164032089362,9.481164032089362,0.0,0.0,0.0
DOGE,2025-09-21,2025-09-26,6,-2.9872369608857308,-2.9872369608857308,0.0,0.0,0.0
DOGE,2025-09-28,2025-10-03,6,11.74608415307976,11.74608415307976,0.0,0.0,0.0
DOGE,2025-10-05,2025-10-10,6,-11.855104960139851,-11.855104960139851,0.0,0.0,0.0
DOGE,2025-10-12,2025-10-17,6,-1.232971800433813,-1.232971800433813,0.0,0.0,0.0
DOGE,2025-10-19,2025-10-24,6,0.0,0.0,0.0,0.0,0.0
DOGE,2025-10-26,2025-10-31,6,0.0,0.0,0.0,0.0,0.0
SOL,2025-11-02,2025-11-07,6,0.0,0.0,0.0,0.0,0.0
