policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
aggressive_1.5__growth,2021,m21_own200_v60_rotation,0.6827580523611845,0.4112290449863334,1.6602865500025052,1.2237992302705683,0.6821587308105386,53.947791626145694,0.11464484022353486,0.9460554660440914,0.36458719970404463,-0.07423110513425102,0.6521125870140493,0.7948260761178887,0.5200779273779137,0.5200779273779138,2.220446049250313e-16,1.1102230246251565e-16,False,365,60
aggressive_1.5__growth,2022,m126_market200_v60_rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,False,365,0
aggressive_1.5__growth,2023,m21_market200_v60_combo50,-0.42542815530384614,0.6678495431262461,-0.63701197325432,-0.9764652393082699,-0.42521018955445045,117.06195903829352,0.22897431742772076,1.3783036091463539,-0.49286670813437106,-0.6152299130615033,1000000.0,1000000.0,-0.5537508520646143,-0.5537508520646126,1.2212453270876722e-15,1.6653345369377348e-15,False,365,67
aggressive_1.5__growth,2024,m126_own100_v40_trail4,-0.03853592043258536,0.34383434934643675,-0.11207699436032137,0.04685655532613256,-0.038613501873129064,40.2885539410769,0.12049697870514924,1.3643412778464974,-0.12174138218007713,-0.39703489405463366,1000000.0,1000000.0,-0.03937876759128113,-0.03937876759128443,3.1363800445660672e-15,3.3029134982598407e-15,False,366,29
aggressive_1.5__growth,2025,m126_own200_v60_cooldown,0.23043474623849347,0.32073053108225835,0.7184683836020384,0.6564783986893532,0.23026011643470956,42.18090796763063,0.13988495968259806,1.372133135408272,0.053580414865078474,-0.26358303831112173,1.4724082065579103,1.4677532520261742,0.2072256238024528,0.20722562380245513,2.1649348980190553e-15,2.3314683517128287e-15,False,365,19
aggressive_1.5__growth,2026,m63_market200_v60_trail2,-0.07138275768909352,0.13219546053869535,-0.5399788873098169,-0.4219327775157138,-0.052890041669858556,11.716998468847803,0.02540672015172831,1.3619744186812923,-0.15489926231502693,-0.11632024619450176,1000000.0,1000000.0,-0.054340080255531595,-0.05434008025553087,7.28583859910259e-16,7.216449660063518e-16,False,268,5
aggressive_1.5__calmar,2021,m21_own200_v60_cat4,0.6692997462148382,0.41122904498633117,1.6275595179253086,1.2136152676711953,0.6687143894290153,54.63021555020091,0.11470261162402381,0.9460554660440915,0.3536735497760337,-0.08163518868054065,0.6623318862287074,0.8072818478008962,0.5120535032707212,0.5120535032707187,2.220446049250313e-15,2.4424906541753444e-15,False,365,63
aggressive_1.5__calmar,2022,m126_market200_v60_rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,False,365,0
aggressive_1.5__calmar,2023,m21_market200_v60_combo50,-0.42542815530384614,0.6678495431262461,-0.63701197325432,-0.9764652393082699,-0.42521018955445045,117.06195903829352,0.22897431742772076,1.3783036091463539,-0.49286670813437106,-0.6152299130615033,1000000.0,1000000.0,-0.5537508520646143,-0.5537508520646126,1.2212453270876722e-15,1.6653345369377348e-15,False,365,67
aggressive_1.5__calmar,2024,m126_own100_v40_trail4,-0.03853592043258536,0.34383434934643675,-0.11207699436032137,0.04685655532613256,-0.038613501873129064,40.2885539410769,0.12049697870514924,1.3643412778464974,-0.12174138218007713,-0.39703489405463366,1000000.0,1000000.0,-0.03937876759128113,-0.03937876759128443,3.1363800445660672e-15,3.3029134982598407e-15,False,366,29
