policy,trade_id,asset,first_day,last_day,log_growth
robust_1.25__growth,2023/25,LTC,2023-04-13,2023-04-14,0.0218363496509242
robust_1.25__growth,2023/26,XRP,2023-04-14,2023-04-17,0.011198511035076925
robust_1.25__growth,2023/27,ADA,2023-04-17,2023-04-20,-0.09551381264737968
robust_1.25__growth,2023/28,DOGE,2023-04-20,2023-04-23,-0.04986989388882179
robust_1.25__growth,2023/29,ETH,2023-04-23,2023-04-24,-0.010101645448055451
robust_1.25__growth,2023/3,BTC,2023-01-25,2023-01-29,0.012849517887967442
robust_1.25__growth,2023/30,BNB,2023-04-24,2023-04-28,-0.0380126300182189
robust_1.25__growth,2023/31,ADA,2023-04-29,2023-05-02,-0.05010655154921413
robust_1.25__growth,2023/32,BNB,2023-05-02,2023-05-04,-0.012604344309146295
robust_1.25__growth,2023/33,TRX,2023-05-04,2023-05-08,-0.028441548574274694
robust_1.25__growth,2023/34,TRX,2023-05-16,2023-05-26,0.07559070052071547
robust_1.25__growth,2023/35,LTC,2023-05-31,2023-06-01,-0.026215251904779198
robust_1.25__growth,2023/36,XRP,2023-06-01,2023-06-06,-0.030939624421762194
robust_1.25__growth,2023/37,XRP,2023-06-14,2023-06-16,-0.08496812329664068
robust_1.25__growth,2023/38,BTC,2023-06-22,2023-07-02,0.008330748110185596
robust_1.25__growth,2023/39,LTC,2023-07-02,2023-07-05,-0.025638694445207322
robust_1.25__growth,2023/4,AVAX,2023-01-29,2023-02-01,-0.01659436322098635
robust_1.25__growth,2023/40,SOL,2023-07-13,2023-07-14,0.12421954364683392
robust_1.25__growth,2023/41,LTC,2023-07-14,2023-07-15,-0.030031336018120112
robust_1.25__growth,2023/42,XRP,2023-07-15,2023-07-16,-0.0015152199132483168
robust_1.25__growth,2023/43,SOL,2023-07-16,2023-07-20,-0.0264407135606656
robust_1.25__growth,2023/44,XRP,2023-07-20,2023-08-04,-0.042554535698135346
robust_1.25__growth,2023/45,LINK,2023-08-05,2023-08-07,-0.0050104352117668885
robust_1.25__growth,2023/46,DOGE,2023-08-07,2023-08-08,-0.011724252748197
robust_1.25__growth,2023/47,LINK,2023-08-08,2023-08-12,-0.0006893665008937992
robust_1.25__growth,2023/48,DOGE,2023-08-12,2023-08-15,-0.016149011270513196
robust_1.25__growth,2023/49,SOL,2023-08-16,2023-08-17,-0.19066761252532607
robust_1.25__growth,2023/5,BTC,2023-02-01,2023-02-04,0.006978234458671282
robust_1.25__growth,2023/50,TRX,2023-08-31,2023-09-01,0.012756954800043496
robust_1.25__growth,2023/51,LINK,2023-09-21,2023-09-23,0.004451417872205497
robust_1.25__growth,2023/52,LINK,2023-09-30,2023-10-01,0.0249144163584349
robust_1.25__growth,2023/53,LINK,2023-10-02,2023-10-04,-0.08478850350430031
robust_1.25__growth,2023/54,SOL,2023-10-04,2023-10-06,-0.0397933893809725
robust_1.25__growth,2023/55,LINK,2023-10-06,2023-10-08,0.0030783782774251155
robust_1.25__growth,2023/56,SOL,2023-10-08,2023-10-10,-0.05028218682007451
robust_1.25__growth,2023/57,LINK,2023-10-10,2023-10-11,-0.0049562723730935026
robust_1.25__growth,2023/58,SOL,2023-10-11,2023-10-13,-0.03575173997577771
robust_1.25__growth,2023/59,SOL,2023-10-17,2023-10-24,0.16173213385419652
robust_1.25__growth,2023/6,AVAX,2023-02-04,2023-02-07,-0.05001943429137509
robust_1.25__growth,2023/60,LINK,2023-10-24,2023-11-01,0.037897468026611966
robust_1.25__growth,2023/61,SOL,2023-11-01,2023-11-03,0.06448438463661697
robust_1.25__growth,2023/62,LINK,2023-11-10,2023-11-13,0.047378834058007475
robust_1.25__growth,2023/63,SOL,2023-11-13,2023-11-17,0.0042599449072849745
robust_1.25__growth,2023/64,AVAX,2023-11-18,2023-12-09,0.11475303360580648
robust_1.25__growth,2023/65,ADA,2023-12-09,2023-12-11,0.08823595860643105
robust_1.25__growth,2023/66,AVAX,2023-12-12,2023-12-18,-0.009612154859507662
robust_1.25__growth,2023/67,SOL,2023-12-28,2023-12-31,-0.025949786036804513
robust_1.25__growth,2023/7,LTC,2023-02-07,2023-02-09,0.027722730634837135
robust_1.25__growth,2023/8,AVAX,2023-02-09,2023-02-10,-0.0673598221817044
robust_1.25__growth,2023/9,LTC,2023-02-10,2023-02-15,0.0325549047121466
robust_1.25__growth,2024/1,SOL,2024-01-01,2024-01-23,-0.04247260218114644
robust_1.25__growth,2024/10,SOL,2024-03-22,2024-04-12,-0.02491909277954735
robust_1.25__growth,2024/11,BNB,2024-04-13,2024-05-22,0.005679452461403348
robust_1.25__growth,2024/12,DOGE,2024-05-22,2024-06-05,-0.011697546861983484
robust_1.25__growth,2024/13,BNB,2024-06-05,2024-06-10,-0.030261484828364608
robust_1.25__growth,2024/14,ETH,2024-06-30,2024-07-01,0.007452948315450301
robust_1.25__growth,2024/15,BNB,2024-07-01,2024-07-05,-0.05556072889594752
robust_1.25__growth,2024/16,TRX,2024-07-14,2024-07-17,-0.021595233343172697
robust_1.25__growth,2024/17,BNB,2024-07-17,2024-07-19,-0.003105223596375398
robust_1.25__growth,2024/18,TRX,2024-07-19,2024-08-01,-0.0334557572264371
robust_1.25__growth,2024/19,XRP,2024-08-09,2024-08-10,-0.012090250169202971
robust_1.25__growth,2024/2,SOL,2024-01-29,2024-02-25,0.010318333138095288
robust_1.25__growth,2024/20,TRX,2024-08-10,2024-09-06,0.0819502106115245
robust_1.25__growth,2024/21,TRX,2024-09-10,2024-09-16,-0.012343923047239197
robust_1.25__growth,2024/22,XRP,2024-09-16,2024-09-17,0.009986436748503157
robust_1.25__growth,2024/23,TRX,2024-09-17,2024-10-31,0.07996011379940882
robust_1.25__growth,2024/24,DOGE,2024-10-31,2024-11-02,-0.013861255564345466
robust_1.25__growth,2024/25,TRX,2024-11-02,2024-11-07,-0.0301125100524421
robust_1.25__growth,2024/26,DOGE,2024-11-07,2024-12-03,0.13271604835844947
robust_1.25__growth,2024/27,XRP,2024-12-03,2024-12-10,-0.03492753308966771
robust_1.25__growth,2024/28,DOGE,2024-12-13,2024-12-15,-0.004713748628988392
robust_1.25__growth,2024/29,XRP,2024-12-15,2024-12-31,-0.016957450874537403
robust_1.25__growth,2024/3,AVAX,2024-02-25,2024-03-05,0.04900537843842075
robust_1.25__growth,2024/4,SOL,2024-03-05,2024-03-07,-0.006278821310287109
robust_1.25__growth,2024/5,AVAX,2024-03-07,2024-03-10,0.009335271970984082
robust_1.25__growth,2024/6,SOL,2024-03-10,2024-03-13,0.010406983328342334
robust_1.25__growth,2024/7,AVAX,2024-03-13,2024-03-19,0.015229060646092144
robust_1.25__growth,2024/8,SOL,2024-03-19,2024-03-21,-0.0058083373517391484
robust_1.25__growth,2024/9,AVAX,2024-03-21,2024-03-22,-0.008867774520808763
robust_1.25__growth,2025/1,XRP,2025-01-01,2025-04-07,0.06705138221919038
robust_1.25__growth,2025/10,TRX,2025-05-16,2025-07-04,0.03176179220699795
robust_1.25__growth,2025/11,BTC,2025-07-04,2025-07-08,-0.018418659453644105
robust_1.25__growth,2025/12,TRX,2025-07-08,2025-07-09,-0.0004957124773656996
robust_1.25__growth,2025/13,BTC,2025-07-09,2025-07-12,0.08084516941347428
robust_1.25__growth,2025/14,ETH,2025-07-12,2025-07-14,0.0006434577103846481
robust_1.25__growth,2025/15,BTC,2025-07-14,2025-07-16,-0.016647608372982146
robust_1.25__growth,2025/16,ETH,2025-07-16,2025-10-08,0.2118970389352285
robust_1.25__growth,2025/17,BNB,2025-10-08,2025-10-10,-0.08268651548668307
robust_1.25__growth,2025/18,BNB,2025-10-14,2025-11-04,-0.1172191803719695
robust_1.25__growth,2025/19,BNB,2025-12-05,2025-12-14,-0.004641905767036067
robust_1.25__growth,2025/2,TRX,2025-04-07,2025-04-10,0.0161415204499092
robust_1.25__growth,2025/3,TRX,2025-04-28,2025-04-29,0.009339955154770301
robust_1.25__growth,2025/4,XRP,2025-04-29,2025-05-01,-0.024288659526054402
robust_1.25__growth,2025/5,XRP,2025-05-03,2025-05-05,-0.023795783983686675
robust_1.25__growth,2025/6,BTC,2025-05-05,2025-05-06,0.0017976592103502004
robust_1.25__growth,2025/7,XRP,2025-05-06,2025-05-09,0.09042523552230283
robust_1.25__growth,2025/8,BTC,2025-05-09,2025-05-14,0.0022920245662614042
robust_1.25__growth,2025/9,XRP,2025-05-14,2025-05-16,-0.0510455415777784
robust_1.25__growth,2026/1,XRP,2026-01-07,2026-01-08,-0.032089343980116904
robust_1.25__growth,2026/10,BTC,2026-05-12,2026-05-13,-0.020871452435060597
robust_1.25__growth,2026/11,TRX,2026-05-13,2026-05-28,0.020093233495934646
robust_1.25__growth,2026/12,BNB,2026-06-01,2026-06-02,-0.013955714297684298
robust_1.25__growth,2026/13,TRX,2026-06-02,2026-06-13,-0.045409791318037
robust_1.25__growth,2026/14,TRX,2026-06-16,2026-06-17,-0.003500137090141199
robust_1.25__growth,2026/15,TRX,2026-06-24,2026-06-25,-0.0041983073131153
robust_1.25__growth,2026/16,TRX,2026-08-09,2026-08-15,0.0005288382514501995
robust_1.25__growth,2026/17,LINK,2026-08-19,2026-08-20,0.05034211711802081
robust_1.25__growth,2026/18,TRX,2026-08-20,2026-08-21,0.0030074647708001013
robust_1.25__growth,2026/19,LINK,2026-08-21,2026-08-22,0.0572327477228821
robust_1.25__growth,2026/2,TRX,2026-01-09,2026-01-20,0.02045399713761584
robust_1.25__growth,2026/20,ETH,2026-08-22,2026-08-23,-0.0211979436885153
robust_1.25__growth,2026/21,LINK,2026-08-23,2026-09-09,0.02550785699315916
robust_1.25__growth,2026/22,SOL,2026-09-20,2026-09-21,-0.001265724042512703
robust_1.25__growth,2026/23,AVAX,2026-09-21,2026-09-25,-0.02155342169561505
robust_1.25__growth,2026/3,TRX,2026-01-24,2026-01-26,-0.005475382564442699
robust_1.25__growth,2026/4,BNB,2026-01-26,2026-01-27,0.006082329628097802
robust_1.25__growth,2026/5,TRX,2026-01-28,2026-01-29,-0.0002583126739196999
robust_1.25__growth,2026/6,BNB,2026-01-29,2026-01-31,-0.026492084422864697
robust_1.25__growth,2026/7,TRX,2026-03-22,2026-03-23,-0.0043409476296563995
robust_1.25__growth,2026/8,TRX,2026-03-26,2026-04-24,0.012382250351112284
robust_1.25__growth,2026/9,TRX,2026-05-02,2026-05-12,0.03304605956790027
robust_1.25__calmar,2021/1,LTC,2021-01-01,2021-01-03,0.04268746872906422
robust_1.25__calmar,2021/10,LINK,2021-01-25,2021-01-30,-0.024755654990417944
robust_1.25__calmar,2021/11,DOGE,2021-01-30,2021-01-30,-0.007443258871526683
robust_1.25__calmar,2021/12,DOGE,2021-02-09,2021-02-20,-0.010892604789296451
robust_1.25__calmar,2021/13,BNB,2021-02-20,2021-02-20,-0.04139766212963474
robust_1.25__calmar,2021/14,BNB,2021-03-09,2021-03-14,0.023924767200701972
robust_1.25__calmar,2021/15,ADA,2021-03-14,2021-03-15,-0.0229510414661366
robust_1.25__calmar,2021/16,DOGE,2021-03-15,2021-03-18,-0.003478559578371416
robust_1.25__calmar,2021/17,ADA,2021-03-18,2021-03-20,-0.02720407065729141
robust_1.25__calmar,2021/18,BTC,2021-03-20,2021-03-21,-0.0016200721825969135
robust_1.25__calmar,2021/19,TRX,2021-03-21,2021-03-24,-0.06608893053366796
robust_1.25__calmar,2021/2,DOGE,2021-01-03,2021-01-04,-0.0011733617514743371
robust_1.25__calmar,2021/20,XRP,2021-03-25,2021-03-26,0.041184013578571
robust_1.25__calmar,2021/21,TRX,2021-03-26,2021-04-07,0.34706063544800253
robust_1.25__calmar,2021/22,XRP,2021-04-08,2021-04-09,0.03971380089860158
robust_1.25__calmar,2021/23,TRX,2021-04-09,2021-04-11,0.005035620252360452
robust_1.25__calmar,2021/24,XRP,2021-04-11,2021-04-16,0.04088208952521988
robust_1.25__calmar,2021/25,DOGE,2021-04-17,2021-04-17,-0.02704782426894442
robust_1.25__calmar,2021/26,DOGE,2021-04-29,2021-05-07,0.0564342768624964
robust_1.25__calmar,2021/27,ETH,2021-05-12,2021-05-15,-0.017474199757689997
robust_1.25__calmar,2021/28,DOGE,2021-05-15,2021-05-17,-0.018665567964784222
robust_1.25__calmar,2021/29,ADA,2021-05-17,2021-05-19,-0.0509920718535221
robust_1.25__calmar,2021/3,ADA,2021-01-14,2021-01-17,0.03687662671757969
robust_1.25__calmar,2021/30,DOGE,2021-05-19,2021-05-21,-0.03583236356100353
