policy,axis,factor,passed,cagr,max_drawdown
aggressive_1.5__growth,vol_target,0.8,True,0.02769864612717332,0.657735327037396
aggressive_1.5__growth,vol_target,1.2,False,0.006146582649292576,0.8083658936554854
aggressive_1.5__calmar,risk,0.8,False,-0.00154436887098941,0.7495108142336696
aggressive_1.5__calmar,risk,1.2,True,0.061934444407782285,0.7350827722043716
aggressive_1.5__calmar,momentum,0.8,False,-0.0015956716716685193,0.6442562816031502
aggressive_1.5__calmar,momentum,1.2,False,0.005018014605965959,0.7194601302035921
aggressive_1.5__calmar,vol_target,0.8,True,0.02715427549521099,0.6577353270373959
aggressive_1.5__calmar,vol_target,1.2,False,0.012382534297644021,0.8083658936554855
aggressive_1.5__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
aggressive_1.5__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
aggressive_1.5__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
aggressive_1.5__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
aggressive_1.5__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
aggressive_1.5__defensive,vol_target,1.2,True,0.03702436771796158,0.415287446882148
aggressive_2__growth,risk,0.8,True,0.08218279124508565,0.6877986422230434
aggressive_2__growth,risk,1.2,True,0.0824836397189368,0.6981443701041412
aggressive_2__growth,momentum,0.8,False,0.02045829438203217,0.6470969851869823
aggressive_2__growth,momentum,1.2,True,0.06764178485339833,0.6865327608832195
aggressive_2__growth,vol_target,0.8,True,0.08067827574333397,0.5796505148797602
aggressive_2__growth,vol_target,1.2,True,0.06508957664281079,0.7639926278936456
aggressive_2__calmar,risk,0.8,True,0.09145695691642564,0.6877986422230434
aggressive_2__calmar,risk,1.2,True,0.08745316106474421,0.6981443701041412
aggressive_2__calmar,momentum,0.8,False,0.02077863065573693,0.6262055196570615
aggressive_2__calmar,momentum,1.2,True,0.05476051753564093,0.6865327608832195
aggressive_2__calmar,vol_target,0.8,True,0.0759750847472016,0.5796505148797602
aggressive_2__calmar,vol_target,1.2,True,0.0724234972759632,0.7639926278936456
aggressive_2__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
aggressive_2__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
aggressive_2__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
aggressive_2__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
aggressive_2__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
aggressive_2__defensive,vol_target,1.2,True,0.03702436771796158,0.415287446882148
aggressive_2.5__growth,risk,0.8,False,0.02118610738801685,0.7396668576459995
aggressive_2.5__growth,risk,1.2,True,0.06815461513014642,0.7283537885510557
aggressive_2.5__growth,momentum,0.8,True,0.0233024222993492,0.6442098332635192
aggressive_2.5__growth,momentum,1.2,True,0.03153198796993695,0.7111010513483169
aggressive_2.5__growth,vol_target,0.8,True,0.0402976810078286,0.6501996839787463
aggressive_2.5__growth,vol_target,1.2,False,0.020223451030742856,0.8104528004325752
aggressive_2.5__calmar,risk,0.8,True,0.09434175014338342,0.6709966812881896
aggressive_2.5__calmar,risk,1.2,True,0.10107341449869334,0.6850363398775019
aggressive_2.5__calmar,momentum,0.8,False,0.035804012905609195,0.6172273561582766
aggressive_2.5__calmar,momentum,1.2,True,0.06535508660359324,0.6712625121962379
aggressive_2.5__calmar,vol_target,0.8,True,0.08117920616405772,0.5759408419744276
aggressive_2.5__calmar,vol_target,1.2,True,0.08683167193579289,0.7524678336980066
aggressive_2.5__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
aggressive_2.5__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
aggressive_2.5__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
aggressive_2.5__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
aggressive_2.5__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
aggressive_2.5__defensive,vol_target,1.2,True,0.03702436771796158,0.415287446882148
aggressive_3__growth,risk,0.8,False,0.021170908632492047,0.7384023849005592
aggressive_3__growth,risk,1.2,True,0.06769984650009508,0.7276767307335432
aggressive_3__growth,momentum,0.8,False,0.022090496693647932,0.6452852831722892
aggressive_3__growth,momentum,1.2,True,0.03418926816466028,0.7100241882126931
aggressive_3__growth,vol_target,0.8,True,0.0402976810078286,0.6501996839787463
aggressive_3__growth,vol_target,1.2,True,0.02552254552370581,0.8057431498984705
aggressive_3__calmar,risk,0.8,False,0.022517787806861866,0.7384023849005595
aggressive_3__calmar,risk,1.2,True,0.07724626886877495,0.7276767307335431
aggressive_3__calmar,momentum,0.8,True,0.03216924397441545,0.6449395672640248
aggressive_3__calmar,momentum,1.2,False,0.01764700110923001,0.7100241882126934
aggressive_3__calmar,vol_target,0.8,True,0.039895844513764045,0.6501996839787462
aggressive_3__calmar,vol_target,1.2,True,0.03360502598149551,0.8057431498984706
aggressive_3__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
aggressive_3__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
aggressive_3__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
aggressive_3__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
aggressive_3__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
aggressive_3__defensive,vol_target,1.2,True,0.03702436771796158,0.415287446882148
