date,base_return,btc_return,btc_close,base_selected_symbol,final_regime,final_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2025-03-17,0.0,0.017384295133135996,84010.03,ALT,CASH,CASH,0.0,1412.7086997892964,85133.6575,95803.3149,91695.775,-0.15979299371020128,0.040623625168914435,False,True,False
2025-03-18,0.0,-0.015414826063030795,82715.03,ALT,CASH,CASH,0.0,1412.7086997892964,85056.9045,95619.36929999999,91791.35519999999,-0.20525525790978028,0.03925390370656258,False,True,False
2025-03-19,0.0,0.04994146771149088,86845.94,ALT,CASH,CASH,0.0,1412.7086997892964,85163.77249999999,95515.06399999998,91910.11486666666,-0.16938531544222657,0.04074078044584577,False,True,False
2025-03-20,0.0,-0.030197727147636355,84223.39,ALT,CASH,CASH,0.0,1412.7086997892964,85157.445,95391.3679,92022.42079999999,-0.16883366161207214,0.041330534332958815,False,True,False
2025-03-21,0.0,-0.0015981308755205204,84088.79,ALT,CASH,CASH,0.0,1412.7086997892964,85058.65800000001,95221.0058,92133.50606666667,-0.17769624704711062,0.04108750730459495,False,True,False
2025-03-22,0.0,-0.0029516419489445944,83840.59,ALT,CASH,CASH,0.0,1412.7086997892964,84537.1875,95059.36880000001,92247.98566666667,-0.21012273724461783,0.034739515043329866,False,True,False
2025-03-23,0.0,0.02674015056430301,86082.5,ALT,CASH,CASH,0.0,1412.7086997892964,84530.28199999999,94905.95130000002,92367.2138,-0.16994241257022458,0.030088140160910114,False,True,False
2025-03-24,0.0,0.01644538669299811,87498.16,ALT,CASH,CASH,0.0,1412.7086997892964,84541.091,94766.7329,92505.87933333333,-0.1579455904003393,0.03018352477409674,False,True,False
2025-03-25,0.0,-0.0012033395902268929,87392.87,ALT,CASH,CASH,0.0,1412.7086997892964,84380.434,94596.0217,92641.2134,-0.16665916535155267,0.028931230137275117,False,True,False
2025-03-26,0.0,-0.005534776464029556,86909.17,ALT,CASH,CASH,0.0,1412.7086997892964,84229.298,94404.52679999999,92767.12986666667,-0.17029323554837217,0.028914266585094286,False,True,False
2025-03-27,0.0,0.003714682811951864,87232.01,ALT,CASH,CASH,0.0,1412.7086997892964,84250.811,94215.50949999999,92882.26186666667,-0.14995117910738653,0.027882102984665296,False,True,False
2025-03-28,0.0,-0.0321857767578666,84424.38,ALT,CASH,CASH,0.0,1412.7086997892964,84160.9075,94057.7132,92960.1816,-0.1729815875990115,0.028757206883783575,False,True,False
2025-03-29,0.0,-0.02103468216171689,82648.54,ALT,CASH,CASH,0.0,1412.7086997892964,84256.61600000001,93909.58,93028.87359999999,-0.18440700753299544,0.025391268716115627,False,True,False
2025-03-30,0.0,-0.0031283069247198814,82389.99,ALT,CASH,CASH,0.0,1412.7086997892964,84446.3225,93755.42549999998,93109.52679999999,-0.20575130980194967,0.024602364561998113,False,True,False
2025-03-31,0.0,0.0019422262340362817,82550.01,ALT,CASH,CASH,0.0,1412.7086997892964,84427.1735,93608.00570000001,93196.55346666666,-0.21172944533451798,0.02145416378020397,False,True,False
2025-04-01,0.0,0.031596967704788925,85158.34,ALT,CASH,CASH,0.0,1412.7086997892964,84501.0845,93507.72639999999,93301.77746666667,-0.16861558323593306,0.02246935445965086,False,True,False
2025-04-02,0.0,-0.0310251468030025,82516.29,ALT,CASH,CASH,0.0,1412.7086997892964,84571.11,93384.0746,93393.37946666667,-0.18004911778281352,0.02249639891502141,False,True,False
2025-04-03,0.0,0.008444393222235336,83213.09,ALT,CASH,CASH,0.0,1412.7086997892964,84532.6045,93229.56970000001,93495.8,-0.14828467259000178,0.021174135697472164,False,True,False
2025-04-04,0.0,0.00813309540602325,83889.87,ALT,CASH,CASH,0.0,1412.7086997892964,84510.176,93074.1724,93592.58573333333,-0.17210011554496218,0.02123231945535357,False,True,False
2025-04-05,0.0,-0.004194546969735313,83537.99,ALT,CASH,CASH,0.0,1412.7086997892964,84558.349,92951.63629999998,93645.6924,-0.14550618418211447,0.020716944642934734,False,True,False
2025-04-06,0.0,-0.061145713465215135,78430.0,ALT,CASH,CASH,0.0,1412.7086997892964,84279.3475,92792.946,93662.83979999999,-0.18819969645727774,0.02432768899084954,False,True,False
2025-04-07,0.0,0.009348973607038236,79163.24,ALT,CASH,CASH,0.0,1412.7086997892964,84101.758,92631.5784,93680.52953333333,-0.18011731216667093,0.024301248793473822,False,True,False
2025-04-08,0.0,-0.03588559538492875,76322.42,ALT,CASH,CASH,0.0,1412.7086997892964,83575.58200000001,92457.42060000001,93678.16260000001,-0.2091498215669777,0.022261071011187353,False,True,False
2025-04-09,0.0,0.0824502158081466,82615.22,ALT,CASH,CASH,0.0,1412.7086997892964,83495.1735,92355.6523,93693.13066666666,-0.14339320112221776,0.028771894160281787,False,True,False
2025-04-10,0.0,-0.036408787630172745,79607.3,ALT,CASH,CASH,0.0,1412.7086997892964,83271.099,92215.9653,93632.8594,-0.17473532529396063,0.02981639962227868,False,True,False
2025-04-11,0.0,0.047942085713244875,83423.84,ALT,CASH,CASH,0.0,1412.7086997892964,83250.2615,92104.2858,93602.67159999999,-0.1437633389516788,0.031760107270467526,False,True,False
2025-04-12,0.0,0.022212595344448305,85276.9,ALT,CASH,CASH,0.0,1412.7086997892964,83209.98150000001,91987.20689999999,93568.68293333333,-0.10964186004748477,0.03158614891482742,False,True,False
2025-04-13,0.0,-0.017787935537056265,83760.0,ALT,CASH,CASH,0.0,1412.7086997892964,83023.0735,91843.06509999999,93544.91233333333,-0.14417075142237168,0.03157745768583315,False,True,False
2025-04-14,0.0,0.009928127984718316,84591.58,ALT,CASH,CASH,0.0,1412.7086997892964,82883.00899999999,91706.7759,93501.97573333333,-0.12438454979052482,0.03167902216170203,False,True,False
2025-04-15,0.0,-0.011201942320973268,83643.99,ALT,CASH,CASH,0.0,1412.7086997892964,82719.75,91559.5797,93455.68953333334,-0.1421171465002018,0.031742428139452786,False,True,False
2025-04-16,0.0,0.004619459210398746,84030.38,ALT,CASH,CASH,0.0,1412.7086997892964,82559.6685,91377.5275,93416.85213333333,-0.1387652678096859,0.03175034933204691,False,True,False
2025-04-17,0.0,0.010919027142326287,84947.91,ALT,CASH,CASH,0.0,1412.7086997892964,82585.845,91257.4605,93380.07766666666,-0.1162133633075636,0.03104038949140178,False,True,False
2025-04-18,0.0,-0.005570707978571843,84474.69,ALT,CASH,CASH,0.0,1412.7086997892964,82677.1525,91151.60130000001,93327.837,-0.11803414073919394,0.030677693412700793,False,True,False
2025-04-19,0.0,0.007130183016948566,85077.01,ALT,CASH,CASH,0.0,1412.7086997892964,82811.50349999999,91076.8465,93266.44,-0.11074043390451571,0.030680787279668748,False,True,False
2025-04-20,0.0,0.0012016172171542827,85179.24,ALT,CASH,CASH,0.0,1412.7086997892964,82942.965,90981.37780000002,93178.85413333334,-0.11863215622389578,0.03068136892187302,False,True,False
2025-04-21,0.0,0.02743614523914495,87516.23,ALT,CASH,CASH,0.0,1412.7086997892964,83060.85949999999,90910.54020000002,93103.01566666667,-0.10974792736890293,0.0304937479244405,False,True,False
2025-04-22,0.0,0.0677218385664009,93442.99,ALT,BASE,ALT,0.0,1412.7086997892964,83607.19450000001,90899.5195,93074.8196,-0.028477163809686457,0.03268993450592793,False,False,False
2025-04-23,0.0,0.0026549878166355345,93691.08,ALT,BASE,ALT,0.0,1412.7086997892964,84131.094,90891.0693,93046.75986666666,-0.02962092266046723,0.0326994097898642,False,False,False
2025-04-24,0.0,0.0030887678955136,93980.47,ALT,BASE,ALT,0.0,1412.7086997892964,84635.624,90865.26539999999,93053.22959999999,-0.023660682748446904,0.032705102516911,False,False,False
2025-04-25,0.0,0.007003689170739236,94638.68,ALT,BASE,ALT,0.0,1412.7086997892964,85190.6585,90806.67869999999,93071.05306666666,0.03370511118820052,0.03261770234703383,False,False,False
2025-04-26,0.0,-0.0001128502637609552,94628.0,ALT,BASE,ALT,0.0,1412.7086997892964,86000.55850000001,90753.0857,93062.819,0.06706780754259123,0.028744825938249254,False,False,False
2025-04-27,0.0,-0.009285835059390402,93749.3,ALT,BASE,ALT,0.0,1412.7086997892964,86729.8615,90649.8039,93050.1878,0.11275014661705418,0.029045902327376444,False,False,False
2025-04-28,0.0,0.013460153835815225,95011.18,ALT,BASE,ALT,0.0,1412.7086997892964,87664.2995,90554.35339999999,93033.86233333334,0.12162404327873277,0.027171963781804188,False,False,False
2025-04-29,0.0,-0.007939697201950202,94256.82,ALT,BASE,ALT,0.0,1412.7086997892964,88246.3795,90483.6059,93019.5212,0.11744975752205633,0.02199803442617438,False,False,False
2025-04-30,0.0,-0.0008998818334843284,94172.0,ALT,BASE,ALT,0.0,1412.7086997892964,88974.6145,90402.7258,92999.43333333333,0.09420222244866738,0.019753386330650956,False,False,False
2025-05-01,0.0,0.024613579407891883,96489.91,ALT,BASE,ALT,0.0,1412.7086997892964,89627.918,90306.1867,93003.76193333334,0.02354842473745622,0.0180091118165248,False,False,False
2025-05-02,0.0,0.004116803508263045,96887.14,ALT,BASE,ALT,0.0,1412.7086997892964,90208.43,90237.99149999999,93010.67826666667,0.1237120683790105,0.017697049857987757,False,False,False
2025-05-03,0.0,-0.010638357164841517,95856.42,ALT,BASE,ALT,0.0,1412.7086997892964,90813.251,90157.45229999999,92992.47226666666,0.09823837635214061,0.0172687461415213,False,False,False
2025-05-04,0.0,-0.016470466975503584,94277.62,ALT,BASE,ALT,0.0,1412.7086997892964,91297.553,90051.5235,92974.68553333334,0.04052280858631785,0.017981940654381467,False,False,False
2025-05-05,0.0,0.0048374152847727725,94733.68,ALT,BASE,ALT,0.0,1412.7086997892964,91852.0375,89951.3918,92941.30446666667,0.0533936293343773,0.017567958328937157,False,False,False
2025-05-06,0.0,0.022170995574119168,96834.02,ALT,BASE,ALT,0.0,1412.7086997892964,92492.21949999999,89893.53199999999,92921.318,0.11557681728766989,0.017892756447267132,False,False,False
2025-05-07,0.0,0.0020290389679165077,97030.5,ALT,BTC,BTC,0.0020290389679165077,1415.5751407914836,93096.349,89843.00869999999,92894.12406666666,0.12535076421512037,0.017907049728454295,True,False,True
2025-05-08,0.0,0.06421795208723036,103261.6,ALT,BTC,BTC,0.06421795208723036,1506.4804773587055,94035.69450000001,89862.26950000001,92934.02493333332,0.27902899347576526,0.021575092337973237,True,False,True
2025-05-09,0.0,-0.002804624371499198,102971.99,ALT,BTC,BTC,-0.002804624371499198,1502.2553654967176,94930.44350000001,89854.65699999999,92976.55153333332,0.310145216300197,0.02175634906902289,True,False,True
2025-05-10,0.0,0.017845046988020696,104809.53,ALT,BTC,BTC,0.017845046988020696,1529.0631830820128,95911.95800000001,89855.52290000001,93001.11506666667,0.26378573834128005,0.02172906699487803,True,False,True
2025-05-11,0.0,-0.006597968715249425,104118.0,ALT,BTC,BTC,-0.006597968715249425,1518.9744720363979,96742.04650000001,89872.4073,93028.5398,0.24423817747871301,0.0216806375529374,True,False,True
2025-05-12,0.0,-0.01274208110028996,102791.32,ALT,BTC,BTC,-0.01274208110028996,1499.6195761244398,97209.463,89893.964,93037.6536,0.2672173034642582,0.017455344942071117,True,False,True
2025-05-13,0.0,0.012767615008738131,104103.72,ALT,BTC,BTC,0.012767615008738131,1518.7661415319637,97730.095,89957.9953,93055.54506666666,0.23957791558311659,0.017528511832015637,True,False,True
2025-05-14,0.0,-0.005724099004339123,103507.82,ALT,BTC,BTC,-0.005724099004339123,1510.0725737733967,98206.4625,89979.7883,93049.1706,0.2272911379437419,0.01769191343879494,True,False,True
2025-05-15,0.0,0.0024721803627976158,103763.71,ALT,BTC,BTC,0.0024721803627976158,1513.8057455366786,98662.714,90039.7941,93033.87093333334,0.2566067284912188,0.01769372036135356,True,False,True
2025-05-16,0.0,-0.002889353127408567,103463.9,ALT,BTC,BTC,-0.002889353127408567,1509.4318261715232,99104.50899999999,90108.30879999998,93016.07199999999,0.23156604038827266,0.01774227887993685,True,False,True
2025-05-17,0.0,-0.00325959102643536,103126.65,ALT,BTC,BTC,-0.00325959102643536,1504.5116957359185,99573.3765,90174.0318,93035.55626666667,0.24677038743744628,0.017553611749598894,True,False,True
2025-05-18,0.0,0.0322672170578604,106454.26,ALT,BTC,BTC,0.0322672170578604,1553.058101188319,100145.5305,90273.50639999998,93095.5056,0.22578280573622656,0.01846554467512347,True,False,True
2025-05-19,0.0,-0.008271345834351629,105573.74,ALT,BTC,BTC,-0.008271345834351629,1540.2122205325488,100711.3765,90364.79639999999,93147.29426666666,0.25349668304731043,0.01847808200390031,True,False,True
2025-05-20,0.0,0.012088706907607882,106849.99,ALT,BTC,BTC,0.012088706907607882,1558.8313946420826,101345.276,90468.66879999998,93211.01426666667,0.27068055087961196,0.01845760497221175,True,False,True
2025-05-21,0.0,0.02614880918566298,109643.99,ALT,BTC,BTC,0.02614880918566298,1599.5929793331993,102002.98000000001,90590.80050000001,93307.39906666667,0.3077673952437596,0.018535796884099735,True,False,True
