date,base_return,btc_return,btc_close,base_selected_symbol,signal_regime,signal_position,executed_regime,executed_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2020-06-19,0.0,-0.008106478364257819,9310.23,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9588.526999999998,8044.988399999999,8236.78275,-0.039956814591470935,0.02986650471437219,False,False,False
2020-06-20,0.0,0.005232953428647935,9358.95,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9584.061,8090.5779,8247.11395,-0.009453582507697122,0.02861150082067402,False,False,False
2020-06-21,0.0,-0.006866154857115392,9294.69,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9538.757000000001,8127.7388,8257.6158,-0.08882466715747928,0.02859059510009353,False,False,False
2020-06-22,0.0,0.04206702966962861,9685.69,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9547.139500000001,8172.8751,8269.09925,0.017613920513046777,0.02953215592445514,False,False,False
2020-06-23,0.0,-0.006277301875240782,9624.89,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9545.072,8215.511,8279.58635,-0.004277775019035368,0.027956481987985757,False,False,False
2020-06-24,0.0,-0.03411987046085718,9296.49,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9520.4435,8258.186200000002,8288.62775,-0.05031841668147907,0.02857080059008223,False,False,False
2020-06-25,0.0,-0.005055671549154539,9249.49,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9501.86,8297.5547,8297.32465,-0.03863047699030053,0.028556419711141326,False,False,False
2020-06-26,0.0,-0.009436195941614156,9162.21,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9476.655499999999,8335.2464,8306.4425,-0.05214921945315165,0.027674675914691572,False,False,False
2020-06-27,0.0,-0.01639451617022525,9012.0,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9439.905999999999,8363.7427,8315.38185,-0.07540686919756767,0.026790646917247765,False,False,False
2020-06-28,0.0,0.011579005770084416,9116.35,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9406.623,8392.8226,8324.913600000002,-0.06804940906827939,0.0267646272313771,False,False,False
2020-06-29,0.0,0.008359705364537229,9192.56,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9377.6295,8422.878400000001,8334.886,-0.05933733984280276,0.026262341683873827,False,False,False
2020-06-30,0.0,-0.005875403587248806,9138.55,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9340.306999999999,8456.101999999999,8344.28635,-0.07551340414769858,0.025889564039852393,False,False,False
