policy,neighbor,passed,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,profitable_fold_fraction,worst_fold_return
robust_1.25__regime_allocation,structure,True,0.08678307723685763,0.2512847891415064,0.3453574628744732,0.6426729653919013,0.6114217083997513,5.464191583070826,0.02145484524413511,1.1284374440695724,0.0711435860955607,0.005814650387743647,0.4030589040877192,0.3630661918797972,0.47711683803374494,0.47711683803374055,4.496403249731884e-15,4.385380947269368e-15,False,2094,38,0.5,-0.006802827065632178
robust_1.25__slow_hysteresis,vol_low,True,0.17428214375810125,0.4416701678650019,0.3945979521337543,0.7580592659298215,1.5119422511229135,3.1727207249188596,0.02911567464243622,1.1662487278225786,0.14759228618222098,-0.0074126181741464015,0.8051604117949286,0.40497530405176024,0.9210562591390361,0.9210562591390369,3.3306690738754696e-16,7.771561172376096e-16,False,2094,20,0.6666666666666666,-0.14856446681192725
robust_1.25__slow_hysteresis,vol_high,True,0.23820842179704105,0.464119772294174,0.5132477347809627,0.8282482682405782,2.4040200934725786,3.907944309182161,0.03662855406326063,1.166248727822579,0.20966606179981206,-0.01142714409934309,0.7757599453586815,0.37917481935194586,1.2249571135939912,1.2249571135939865,4.218847493575595e-15,4.6629367034256575e-15,False,2094,20,0.5,-0.21414646413826266
robust_1.25__slow_hysteresis,structure,False,-0.053176961481044005,0.55851267584985,-0.095211736063337,-0.06041124730542912,-0.2689489356453282,4.743262170031672,0.03485575617122398,1.1666973939961844,-0.08129323559912227,-0.16240146982545312,1000000.0,1000000.0,-0.31327196619379183,-0.3132719661937874,4.496403249731884e-15,4.440892098500626e-15,False,2094,31,0.3333333333333333,-0.22679593810021126
robust_1.25__all_growth,vol_low,True,0.07694606310105456,0.49291328791359845,0.15610466381775093,0.43574058658568604,0.5295717346699504,5.69063634402347,0.035775646200977694,1.140995201777667,0.04816236864555101,-0.017035905426115328,0.7802707551253386,0.49701348462691397,0.4249877842412473,0.42498778424124706,1.1102230246251565e-16,2.220446049250313e-16,False,2094,55,0.6666666666666666,-0.40501723734062567
robust_1.25__all_growth,vol_high,True,0.120158689832915,0.632242196570542,0.19005167716531612,0.5102803750254064,0.9165608307336945,7.342130306965741,0.04544942094859294,1.1662487278225784,0.07690865219334153,-0.025968997181876063,0.7268950064436384,0.45282342197853714,0.6505323458689025,0.650532345868905,2.220446049250313e-15,2.4424906541753444e-15,False,2094,55,0.6666666666666666,-0.5308156850535598
robust_1.25__all_growth,structure,False,0.02150286709308058,0.42868171501265584,0.05016044851002277,0.21571035842047356,0.12972078524019892,8.185470408738162,0.04927040551884051,1.1345585416854507,-0.0016745397286875852,-0.11342572841168153,2.345256277894318,3.2378152923155588,0.1219705094840293,0.12197050948402482,4.454769886308441e-15,4.468647674116255e-15,False,2094,66,0.5,-0.2992334632087529
robust_1.25__all_calmar,vol_low,True,0.021464870471652908,0.49291328791359845,0.04354695034193404,0.205284401648328,0.12947989193290432,4.71684412320423,0.027987303142322374,1.112842017166959,-0.00583597005886094,-0.06690197154357702,2.7970564657407184,1.7348014379973178,0.12175725414053984,0.12175725414054007,2.220446049250313e-16,2.3592239273284576e-16,False,2094,58,0.6666666666666666,-0.40501723734062567
robust_1.25__all_calmar,vol_high,True,0.023917781817148542,0.632242196570542,0.03783009414253787,0.22027107229278617,0.14511827280376766,6.527254522477002,0.036891228720550416,1.1662487278225784,-0.015616333309009578,-0.10008457998238152,3.5885028607761744,2.17386753782513,0.1355079266967636,0.13550792669676803,4.6074255521944e-15,4.440892098500626e-15,False,2094,58,0.5,-0.5308156850535598
robust_1.25__all_calmar,structure,True,0.04374867550666783,0.42868171501265584,0.10205398078473268,0.2931019499632973,0.2782376823441923,7.564317914144228,0.04233738972047806,1.1345585416854507,0.020066522033381995,-0.11411964042820233,1.165265607439452,1.6087430780760295,0.24548231858825506,0.24548231858825084,4.246603069191224e-15,4.218847493575595e-15,False,2094,68,0.5,-0.2992334632087529
