policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,asset_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
aggressive_2__breakout,2026,breakout_100_daily_v25,0.01389443927548406,0.1419182231993218,0.09790454645115977,0.17651436422982542,0.010176213320172156,13.276567292706961,0.04105816933437137,0.6499226971854442,-0.0449415767048168,-0.12930958671157422,6.036287023143753,7.8122370579594005,0.01012478426911883,"[0.0, -0.0010462735658959385, 0.0, 0.0, 0.0, 0.0, -0.03287739849587666, -0.0009129389598558854, 0.0, 0.061116103895812, -0.016154708605063423, 0.0]",0.010124784269120083,1.259409243559162e-15,1.2542050731312315e-15,False,268,13
aggressive_2__vol_adjusted,2021,vol_adjusted_180_monthly_v25,1.0652199764946837,0.15031888608621713,7.086401477747211,2.8252835584893896,1.0641950608660915,3.5732244575628727,0.024896911032689015,0.4560194747806327,0.84510730382183,0.10257067920405016,0.4401389155152256,0.4401389155152256,0.7247403493874542,"[-0.013277601076989215, -0.016759497659004204, 0.14499197818278114, 0.16318433936243884, 0.3189864314095198, 0.0, 0.0, 0.0, 0.0, 0.12761469916870752, 0.0, 0.0]",0.7247403493874538,3.3306690738754696e-16,4.440892098500626e-16,False,365,6
aggressive_2__vol_adjusted,2022,vol_adjusted_180_monthly_v50,-0.2381037301846819,0.3009544295519252,-0.7911620724080443,-1.33791167121351,-0.2379619005749457,3.5692448890369395,0.025046765049427544,0.5172463612849842,-0.26740513765377916,-0.23871521924625694,1000000.0,1000000.0,-0.27175872529993433,"[0.0, -0.2011493186950035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05461766707969044, 0.0, -0.015991739525241203, 0.0]",-0.27175872529993517,7.771561172376096e-16,8.326672684688674e-16,False,365,4
aggressive_2__vol_adjusted,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__vol_adjusted,2024,vol_adjusted_90_monthly_v25,0.21780825255976044,0.1316370894556127,1.654611579916496,1.183466750834255,0.21830110881306863,6.286864386415027,0.04199101774209821,1.2937224355132324,0.15393049480117416,-0.12495782785834264,0.7876215081124778,0.7876215081124778,0.1974573545091974,"[0.0, 0.07163574630102289, 0.15552165934643422, 0.0, -0.05291567425145272, 0.0, 0.0, 0.0, 0.0, -0.0104187603982483, 0.08993748624549837, -0.05630310273406088]",0.19745735450919355,3.83026943495679e-15,3.858025010572419e-15,False,366,7
aggressive_2__vol_adjusted,2025,vol_adjusted_90_monthly_v25,0.32049229043897265,0.13974349880356918,2.293432561678404,1.4442602613340147,0.3202410460684515,9.016743078393034,0.0449041868898249,0.9200661699288943,0.24957367597278113,0.04348411237882521,0.41078693073822076,0.41078693073822076,0.277814330584902,"[0.0, 0.0, 0.019944133000916787, 0.0490703043965365, 0.0, 0.0, 0.1141224961760653, 0.0, 0.0, 0.0, 0.04190349288644417, 0.052773904124939014]",0.2778143305849018,2.220446049250313e-16,2.220446049250313e-16,False,365,8
aggressive_2__vol_adjusted,2026,vol_adjusted_90_monthly_v25,0.09972548491582955,0.09874905111752308,1.0098880322115136,1.0074179191606805,0.07224023592395667,3.755008053413973,0.030325524863368872,0.5377690696194204,0.04511126978601365,-0.006505868138999893,1.0046239067498393,1.0046239067498393,0.06975013821713644,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07007265635204088, -0.0003225181349001111, 0.0]",0.06975013821714077,4.3298697960381105e-15,4.3298697960381105e-15,False,268,3
aggressive_2__ensemble,2021,ensemble_90_weekly_v25,0.6837956592264722,0.18100329149477457,3.7778078706718596,2.287542103582877,0.6831952579587204,7.148483516746136,0.02767428927089892,0.3724977719825614,0.60476870590913,0.07566345445077527,0.3729179194367954,0.3602306560785527,0.5206939262799078,"[-0.030934444113817242, 0.018804594579212606, 0.1628291349613693, 0.0, 0.006907194226516005, 0.0, 0.124642683571646, 0.0, 0.044268667403300266, 0.19417609565167937, 0.0, 0.0]",0.5206939262799063,1.5543122344752192e-15,1.5543122344752192e-15,False,365,20
aggressive_2__ensemble,2022,ensemble_90_weekly_v50,-0.23957387855944567,0.29991864777405364,-0.7987962080301548,-1.398699971386709,-0.23943131714482102,16.836304613573716,0.04154989164477596,0.5364407394870853,-0.2638501939193283,-0.33318274444579066,1000000.0,1000000.0,-0.2736888585991653,"[0.0, -0.021526663782896086, 0.0, 0.0, -0.1586739150376474, 0.0, -0.0177167681009832, -0.019071756427542594, 0.021317800278743998, 0.0, -0.035397659489037954, -0.04261989603980307]",-0.27368885859916636,9.992007221626409e-16,1.0547118733938987e-15,False,365,20
aggressive_2__ensemble,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
