date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-06-20,1.0,0.0,0.0,-0.0030113288,pre_live,1.0,1.0,0.6854734388,0.0,0.0,-0.0030113288,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0030113288,real_account_flat_no_history,real_account_flat_no_history
2018-06-21,1.0,0.0,0.0,0.0063107205,pre_live,1.0,1.0,0.6811476075,0.0,0.0,0.0063107205,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0063107205,real_account_flat_no_history,real_account_flat_no_history
2018-06-22,1.0,0.0,0.0,0.1002911217,pre_live,1.0,1.0,0.6128345499,0.0,0.0,0.1002911217,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.1002911217,real_account_flat_no_history,real_account_flat_no_history
2018-06-23,1.0,0.0,0.0,-0.0173664185,pre_live,1.0,1.0,0.6234772912,0.0,0.0,-0.0173664185,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0173664185,real_account_flat_no_history,real_account_flat_no_history
2018-06-24,1.0,0.0,0.0,0.002115454,pre_live,1.0,1.0,0.6221583536,0.0,0.0,0.002115454,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.002115454,real_account_flat_no_history,real_account_flat_no_history
2018-06-25,1.0,0.0,0.0,-0.0187437775,pre_live,1.0,1.0,0.6338199513,0.0,0.0,-0.0187437775,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0187437775,real_account_flat_no_history,real_account_flat_no_history
2018-06-26,1.0,0.0,0.0,0.0289859245,pre_live,1.0,1.0,0.6154480941,0.0,0.0,0.0289859245,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0289859245,real_account_flat_no_history,real_account_flat_no_history
2018-06-27,1.0,0.0,0.0,-0.010369343,pre_live,1.0,1.0,0.6218298865,0.0,0.0,-0.010369343,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.010369343,real_account_flat_no_history,real_account_flat_no_history
2018-06-28,1.0,0.0,0.0,0.0456084634,pre_live,1.0,1.0,0.5934691809,0.0,0.0,0.0456084634,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0456084634,real_account_flat_no_history,real_account_flat_no_history
2018-06-29,1.0,0.0,0.0,-0.0587531901,pre_live,1.0,1.0,0.6283373885,0.0,0.0,-0.0587531901,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0587531901,real_account_flat_no_history,real_account_flat_no_history
