model,label,start_date,end_date,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,btc_days_pct,base_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,weak_base_lb,weak_base_threshold,cooldown_days,source
phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v30_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v30_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,17174.145599511732,92.46224441146542,-40.92169292993364,1.447449860534009,1.8858102095851734,831,41.823242867084204,7.933194154488518,50.24356297842728,1289.8246804803616,65.80722239748944,-40.92169292993364,1221.0356828114786,123.68028213744915,-25.86617634877757,149.9093451554399,113.89699075216497,-20.809237249359747,20.0,100.0,30.0,0.12,200.0,0.0,30.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v20_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v20_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,14406.068229826968,88.23758584920505,-46.12932574783512,1.4064116385184833,1.8360451700905702,844,42.76270006958942,7.585247042449547,49.65205288796103,1171.2885996862785,62.99141990040995,-46.12932574783512,1221.035682811477,123.68028213744905,-25.866176348777557,149.90934515543972,113.89699075216484,-20.809237249359747,20.0,100.0,30.0,0.12,200.0,0.0,20.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v30_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,23213.91435204377,99.93771700943358,-38.19264906223746,1.5035025525551529,1.985168263739792,837,41.405706332637436,9.255393180236604,49.33890048712596,1410.728162617474,68.48599667268178,-38.19264906223746,1171.9697651899955,121.05510681721596,-25.866176348777536,133.86290483250448,102.43231395395176,-20.809237249359704,20.0,100.0,30.0,0.12,150.0,0.0,30.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v20_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v20_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,24053.094098496193,100.83827734556846,-38.192649062237486,1.5120950862146583,1.9948597521457845,837,41.718858733472516,9.220598469032707,49.06054279749478,1465.1065247114707,69.63464346625004,-38.192649062237486,1171.9697651899928,121.05510681721583,-25.866176348777525,133.86290483250437,102.43231395395168,-20.809237249359736,20.0,100.0,30.0,0.12,150.0,0.0,20.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v30_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v30_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,21888.935192870795,98.45648912926397,-38.19264906223747,1.4990336967999829,1.972681693757495,828,44.85038274182324,8.315935977731385,46.83368128044537,1272.573433924323,65.40979262556255,-38.19264906223747,1171.9697651899928,121.05510681721583,-25.866176348777536,133.86290483250423,102.43231395395158,-20.809237249359757,20.0,100.0,30.0,0.12,150.0,0.0,30.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v20_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb+00_v20_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,18365.341302787445,94.10025339793984,-43.640841556130574,1.4582642233059728,1.9228802750200467,843,45.3027139874739,7.967988865692415,46.72929714683368,1155.5086863021752,62.60073943486444,-43.640841556130574,1171.969765189992,121.05510681721579,-25.866176348777557,133.8629048325043,102.43231395395162,-20.809237249359768,20.0,100.0,30.0,0.12,150.0,0.0,20.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v20_045_wb20_wt+02_cd3,phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v20_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,14074.961444222063,87.68602251693116,-39.32368356005863,1.392462544760557,1.8493267890836569,824,42.34516353514266,10.681976339596382,46.972860125260965,1129.0145188472645,61.93578060525926,-39.32368356005863,1152.3233736691325,119.98442169364667,-28.752989114245654,149.90934515543998,113.89699075216501,-20.809237249359736,20.0,100.0,30.0,0.08,150.0,-0.03,20.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v30_045_wb20_wt+02_cd3,phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v30_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,18100.86347549058,93.74471023103963,-33.458155029954526,1.4514552962259177,1.9256128727398967,810,41.8580375782881,11.029923451635351,47.11203897007655,1243.6089267095924,64.73334611928084,-33.458155029954526,1152.3233736691311,119.98442169364662,-28.752989114245718,149.9093451554399,113.89699075216497,-20.809237249359768,20.0,100.0,30.0,0.08,150.0,-0.03,30.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v20_060_wb20_wt+02_cd3,phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v20_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,18865.070636032426,94.76008442694727,-33.458155029954554,1.4519774115074306,1.9313659497506654,820,38.72651356993737,12.038970076548365,49.234516353514266,1416.7825446118477,68.61552164404767,-33.458155029954554,1152.323373669131,119.98442169364658,-28.752989114245707,149.90934515543987,113.89699075216492,-20.809237249359757,20.0,100.0,30.0,0.08,150.0,-0.03,20.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v30_060_wb20_wt+02_cd3,phase63_btcpref_f20_s100_r30_m08_rm150_rb-03_v30_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,18206.14457451427,93.88677875327124,-33.45815502995452,1.443437563194894,1.9216040165225294,820,38.413361169102295,12.07376478775226,49.512874043145445,1364.0831601760374,67.4737756284655,-33.45815502995452,1152.32337366913,119.98442169364654,-28.752989114245743,149.9093451554399,113.89699075216497,-20.809237249359747,20.0,100.0,30.0,0.08,150.0,-0.03,30.0,0.06,20.0,0.02,3.0,phase63_overlay
