model,label,start_date,end_date,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,btc_days_pct,base_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,weak_base_lb,weak_base_threshold,cooldown_days,source
phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v30_060_wb30_wt+00_cd3,phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v30_060_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,16402.624182412575,91.34788805027547,-34.740500235860885,1.4242473836283496,1.8653276600569801,889,38.413361169102295,7.132915796798886,54.45372303409882,1080.802799454392,60.695446117419216,-34.740500235860885,788.9496115091611,97.68195029904749,-30.504328617596144,147.2507202828448,112.00634265748369,-21.6516968676573,20.0,200.0,30.0,0.12,150.0,-0.03,30.0,0.06,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v20_060_wb30_wt+00_cd3,phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v20_060_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,16996.632883314567,92.20975804138445,-34.74050023586087,1.4328320616801202,1.8749338548830592,889,38.72651356993737,7.09812108559499,54.17536534446764,1123.305563207132,61.790981132607435,-34.74050023586087,788.9496115091607,97.68195029904747,-30.504328617596165,147.25072028284484,112.00634265748373,-21.651696867657254,20.0,200.0,30.0,0.12,150.0,-0.03,20.0,0.06,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v30_045_wb30_wt+00_cd3,phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v30_045_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,15464.745077977974,89.93029745841001,-34.740500235860864,1.41902687013124,1.8514694957647393,880,41.8580375782881,6.193458594293667,51.948503827418236,972.81944782607,57.76148132828385,-34.740500235860864,788.9496115091604,97.68195029904744,-30.504328617596133,147.25072028284484,112.00634265748373,-21.6516968676573,20.0,200.0,30.0,0.12,150.0,-0.03,30.0,0.045,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v20_045_wb30_wt+00_cd3,phase63_btcpref_f20_s200_r30_m12_rm150_rb-03_v20_045_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,13642.95911998287,86.94922319535796,-36.414724203842184,1.3901129900702687,1.8154493444490916,895,42.34516353514266,5.8107167710508,51.84411969380655,931.800830397931,56.58421192366332,-36.414724203842184,788.9496115091589,97.68195029904736,-30.504328617596155,147.25072028284458,112.00634265748354,-21.65169686765728,20.0,200.0,30.0,0.12,150.0,-0.03,20.0,0.045,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v20_045_wb30_wt+02_cd3,phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v20_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,8153.75416089946,75.21964711109761,-53.37712532845299,1.2758578933772662,1.6579250749210652,866,39.38761308281141,6.924147529575504,53.68823938761308,685.0363049438133,48.57313353175634,-53.37712532845299,788.9311344350921,97.6806686783642,-33.843855584089525,131.69784264772707,100.8753840832426,-19.483086077631896,30.0,150.0,20.0,0.08,200.0,-0.03,20.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v30_060_wb30_wt+02_cd3,phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,12474.59691129351,84.8501623888232,-50.28416809845739,1.358626560935048,1.792960236654987,863,34.864300626304804,8.24634655532359,56.889352818371606,1039.8324871403759,59.608828636671674,-50.28416809845739,788.9311344350912,97.68066867836416,-33.84385558408957,131.6978426477268,100.87538408324241,-19.48308607763194,30.0,150.0,20.0,0.08,200.0,-0.03,30.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v30_045_wb30_wt+02_cd3,phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v30_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,11305.554853562948,82.57199385883531,-50.28416809845746,1.353573080984364,1.7532494821297109,856,38.3785664578984,7.063326374391092,54.55810716771051,817.1046379059791,53.07879836044411,-50.28416809845746,788.9311344350906,97.68066867836411,-33.843855584089575,131.69784264772701,100.8753840832426,-19.483086077631906,30.0,150.0,20.0,0.08,200.0,-0.03,30.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v20_060_wb30_wt+02_cd3,phase63_btcpref_f30_s150_r20_m08_rm200_rb-03_v20_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,12927.217045708483,85.68276529569549,-50.284168098457414,1.3671764721962258,1.802696363193368,863,35.177453027139876,8.211551844119693,56.61099512874043,1080.8605325862445,60.69695567903277,-50.284168098457414,788.9311344350897,97.68066867836404,-33.84385558408957,131.69784264772696,100.87538408324255,-19.48308607763195,30.0,150.0,20.0,0.08,200.0,-0.03,20.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v30_045_wb30_wt+00_cd3,phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v30_045_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,11029.592683339122,82.00457636460303,-42.730680868823626,1.3377847666374252,1.7552261033753325,847,41.823242867084204,8.420320111343075,49.75643702157272,962.9440273531603,57.481416326872115,-42.730680868823626,788.8836784235518,97.67737691486442,-30.156014576634615,149.80739368262027,113.82455244675533,-20.809237249359715,20.0,100.0,20.0,0.04,200.0,0.0,30.0,0.045,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v20_045_wb30_wt+00_cd3,phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v20_045_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,8657.13010777893,76.54290165157565,-42.926567495827506,1.2811375837099293,1.6832106400059483,861,42.76270006958942,8.176757132915796,49.06054279749478,889.3015009915514,55.3238648368195,-42.926567495827506,788.8836784235511,97.67737691486438,-30.156014576634583,149.80739368261996,113.8245524467551,-20.809237249359747,20.0,100.0,20.0,0.04,200.0,0.0,20.0,0.045,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v20_060_wb30_wt+00_cd3,phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v20_060_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,14224.794594769082,87.9369951482173,-42.68492894234753,1.3800079404070549,1.8383053446170525,855,38.62212943632568,9.707724425887266,51.67014613778706,1310.3423109761266,66.27474666803342,-42.68492894234753,788.8836784235506,97.67737691486434,-30.156014576634583,149.80739368262007,113.8245524467552,-20.80923724935967,20.0,100.0,20.0,0.04,200.0,0.0,20.0,0.06,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v30_060_wb30_wt+00_cd3,phase63_btcpref_f20_s100_r20_m04_rm200_rb+00_v30_060_wb30_wt+00_cd3,2018-05-04,2026-03-16,2874,13727.091176440954,87.09428425784427,-42.68492894234751,1.3715536432824258,1.8286160729899101,855,38.30897703549061,9.742519137091161,51.948503827418236,1261.341106488215,65.14885073835188,-42.68492894234751,788.8836784235506,97.67737691486434,-30.156014576634615,149.80739368261996,113.8245524467551,-20.809237249359747,20.0,100.0,20.0,0.04,200.0,0.0,30.0,0.06,30.0,0.0,3.0,phase63_overlay
phase63_btcpref_f30_s200_r20_m08_rm150_rb+00_v30_060_wb30_wt+02_cd3,phase63_btcpref_f30_s200_r20_m08_rm150_rb+00_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,18487.171203121892,94.26253857048876,-33.92290539271895,1.4428490636084539,1.928963903915653,855,41.405706332637436,8.176757132915796,50.41753653444676,1366.1348852503895,67.51884304274189,-33.843855584089425,788.8747043845377,97.67675442135283,-33.843855584089425,116.4403216228167,89.83172238919263,-19.624357415967232,30.0,200.0,20.0,0.08,150.0,0.0,30.0,0.06,30.0,0.02,3.0,phase63_overlay
