asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,downside_dd_worsen_pct,train_triggers,score,passed_filters,profile,decision_date,next_date_exclusive,probation_delta_pct,suspended,reentry_blocked,persistence_passes,persistence_ok,core_asset_today,core_is_bnb,required_recent_delta_pct,promotion_ok,suspended_until_rebalance_idx,reentry_blocked_until_rebalance_idx,incumbent_asset_before,selected_asset,keep_reason,dropped_assets
NEO,-21.546427781668463,0.0,-11.239371623814309,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-06-08,2019-06-15,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,-1,-1,,,best_passed,
NEO,-24.034715008786712,0.0,-11.239371623814309,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-06-15,2019-06-22,0.0,False,False,0,False,0.0236228761604484,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,-1,-1,,,best_passed,
NEO,-27.50369564716695,0.0,-11.239371623814309,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-06-22,2019-06-29,0.0,False,False,0,False,0.0776286080195676,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-06-29,2019-07-06,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-07-06,2019-07-13,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-07-13,2019-07-20,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-07-20,2019-07-27,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-07-27,2019-08-03,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-08-03,2019-08-10,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-08-10,2019-08-17,0.0,False,False,0,False,CASH,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-08-17,2019-08-24,0.0,False,False,0,False,0.0,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-08-24,2019-08-31,0.0,False,False,0,False,0.0,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-08-31,2019-09-07,0.0,False,False,0,False,0.0,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
ICP,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
STX,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
XTZ,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
NEO,-28.529907817433497,0.0,-7.744952557087492,0.0,7,-1e+18,False,phase67h_keep_all_67f_main,2019-09-07,2019-09-14,0.0,False,False,0,False,0.0,False,2.0,False,3,-1,,,best_passed,
APT,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-14,2019-09-21,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
BCH,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-14,2019-09-21,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
DOGE,0.0,0.0,0.0,0.0,0,-1e+18,False,phase67h_keep_all_67f_main,2019-09-14,2019-09-21,0.0,False,False,0,False,0.0,False,2.0,False,-1,-1,,,best_passed,
