profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase67b_top100_pruned_soft_filters,2024-11-03,2024-11-04,2024-11-09,DOGE,2,DOGE,True,min_hold,DOGE,191.93618942267972
phase67b_top100_pruned_soft_filters,2024-11-10,2024-11-11,2024-11-16,DOGE,3,DOGE,True,incumbent_best,DOGE,195.12973217405425
phase67b_top100_pruned_soft_filters,2024-11-17,2024-11-18,2024-11-23,DOGE,4,DOGE,True,incumbent_best,DOGE,216.4586566928685
phase67b_top100_pruned_soft_filters,2024-11-24,2024-11-25,2024-11-30,DOGE,5,DOGE,True,incumbent_best,DOGE,235.14335779006996
phase67b_top100_pruned_soft_filters,2024-12-01,2024-12-02,2024-12-07,DOGE,6,DOGE,True,incumbent_best,DOGE,219.9687755561857
phase67b_top100_pruned_soft_filters,2024-12-08,2024-12-09,2024-12-14,DOGE,7,DOGE,True,incumbent_best,DOGE,447.01329878979175
phase67b_top100_pruned_soft_filters,2024-12-15,2024-12-16,2024-12-21,DOGE,8,DOGE,True,incumbent_best,DOGE,318.98598797934807
phase67b_top100_pruned_soft_filters,2024-12-22,2024-12-23,2024-12-28,DOGE,9,DOGE,True,incumbent_best,DOGE,267.0614216883468
phase67b_top100_pruned_soft_filters,2024-12-29,2024-12-30,2025-01-04,DOGE,10,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-01-05,2025-01-06,2025-01-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-01-12,2025-01-13,2025-01-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-01-19,2025-01-20,2025-01-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-01-26,2025-01-27,2025-02-01,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-02-02,2025-02-03,2025-02-08,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-02-09,2025-02-10,2025-02-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-02-16,2025-02-17,2025-02-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-02-23,2025-02-24,2025-03-01,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-03-02,2025-03-03,2025-03-08,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-03-09,2025-03-10,2025-03-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-03-16,2025-03-17,2025-03-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-03-23,2025-03-24,2025-03-29,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-03-30,2025-03-31,2025-04-05,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-04-06,2025-04-07,2025-04-12,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-04-13,2025-04-14,2025-04-19,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-04-20,2025-04-21,2025-04-26,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-04-27,2025-04-28,2025-05-03,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-05-04,2025-05-05,2025-05-10,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-05-11,2025-05-12,2025-05-17,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-05-18,2025-05-19,2025-05-24,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-05-25,2025-05-26,2025-05-31,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-06-01,2025-06-02,2025-06-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-06-08,2025-06-09,2025-06-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-06-15,2025-06-16,2025-06-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-06-22,2025-06-23,2025-06-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-06-29,2025-06-30,2025-07-05,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-07-06,2025-07-07,2025-07-12,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-07-13,2025-07-14,2025-07-19,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-07-20,2025-07-21,2025-07-26,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-07-27,2025-07-28,2025-08-02,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-08-03,2025-08-04,2025-08-09,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-08-10,2025-08-11,2025-08-16,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-08-17,2025-08-18,2025-08-23,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-08-24,2025-08-25,2025-08-30,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-08-31,2025-09-01,2025-09-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-09-07,2025-09-08,2025-09-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-09-14,2025-09-15,2025-09-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-09-21,2025-09-22,2025-09-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-09-28,2025-09-29,2025-10-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-10-05,2025-10-06,2025-10-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-10-12,2025-10-13,2025-10-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-10-19,2025-10-20,2025-10-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-10-26,2025-10-27,2025-11-01,,0,,False,best_passed,,
