model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,trigger_days,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66g_cagr_pct,delta_vs_phase66g_max_drawdown_pct,delta_vs_phase66g_since2021_cagr_pct,delta_vs_phase66g_since2023_cagr_pct,delta_vs_phase66g_since2025_cagr_pct,forensic_score,keep_candidate,file,history_days,start_date,end_date,cg_rank,name
asset_FF,2888,24774.6433083277,100.9070697434174,-33.45815502995442,1.52202514444748,2.0027980750254213,42.1398891966759,8.414127423822714,49.445983379501385,0.0,844,1398.3394682810722,67.58123847636142,-33.45815502995444,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,FF,0,0.0,0.0,0.0,0.0,0.0,-12.029997054854931,-9.858122034397478,-10.863646317347147,-10.553751737065866,0.0,-39.05237374962515,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FFUSDT_1d.csv,181,2025-09-29,2026-03-28,189,Falcon Finance
asset_S,2888,24774.6433083277,100.9070697434174,-33.45815502995442,1.52202514444748,2.0027980750254213,42.1398891966759,8.414127423822714,49.445983379501385,0.0,844,1398.3394682810722,67.58123847636142,-33.45815502995444,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,S,0,0.0,0.0,0.0,0.0,0.0,-12.029997054854931,-9.858122034397478,-10.863646317347147,-10.553751737065866,0.0,-39.05237374962515,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUSDT_1d.csv,437,2025-01-16,2026-03-28,196,Sonic
asset_XLM,2888,24288.68071380342,100.40637879346707,-33.458155029954426,1.516017684429999,1.9772926325437359,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,844,1398.3394682810722,67.58123847636142,-33.45815502995444,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,XLM,3,-0.5006909499503251,-7.105427357601002e-15,0.0,0.0,0.0,-12.530688004805256,-9.858122034397486,-10.863646317347147,-10.553751737065866,0.0,-39.55306469957548,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XLMUSDT_1d.csv,2644,2019-01-01,2026-03-28,21,Stellar
asset_PAXG,2888,24186.254518815877,100.2997375267431,-33.45815502995442,1.516115422863795,2.001244311153843,42.1398891966759,8.414127423822714,49.23822714681441,0.20775623268698062,846,1362.8975069595774,66.81784035544523,-33.45815502995444,1227.0938151610892,121.87560343801329,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,PAXG,6,-0.607332216674294,0.0,-0.7633981209161931,-1.6431603496878182,0.0,-12.637329271529225,-9.858122034397478,-11.62704443826334,-12.196912086753684,0.0,-42.94602666567508,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\PAXGUSDT_1d.csv,2039,2020-08-28,2026-03-28,39,PAX Gold
asset_COMP,2888,23990.299998000177,100.09461957324027,-33.45815502995442,1.5142391937979565,1.9934774856472588,42.1398891966759,8.414127423822714,49.34210526315789,0.10387811634349031,842,1351.0940656443831,66.56027871602532,-33.45815502995444,1216.3861108328706,121.32226347207661,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,COMP,3,-0.8124501701771294,0.0,-1.0209597603360976,-2.1965003156244904,0.0,-12.84244722503206,-9.858122034397478,-11.884606077683245,-12.750252052690357,0.0,-44.25782455105126,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\COMPUSDT_1d.csv,2103,2020-06-25,2026-03-28,181,Compound
asset_HBAR,2888,20779.956206546703,96.50786057211226,-42.25163349569766,1.466871541011912,1.9039743767432962,42.07063711911358,8.310249307479225,48.85734072022161,0.7617728531855956,842,1157.7170290427994,62.07820992253057,-42.25163349569772,1279.5938400688199,124.54483720479561,-27.790064505816005,149.9093451554409,108.94027003726592,-20.80923724935961,HBAR,22,-4.399209171305131,-8.793478465743242,-5.503028553830852,1.0260734170945085,0.0,-16.429206226160062,-18.65160050014072,-16.366674871178,-9.527678319971358,0.0,-46.67552316618721,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\HBARUSDT_1d.csv,2373,2019-09-29,2026-03-28,27,Hedera
asset_SHIB,2888,23916.97903430557,100.01749505955794,-37.45226100726341,1.5042015005727156,1.9543872567421008,42.10526315789473,8.414127423822714,48.89196675900277,0.5886426592797784,846,1346.6775322133587,66.46347002536461,-37.452261007263445,1212.3795730044305,121.11441794846218,-35.67684244563073,149.9093451554409,108.94027003726592,-20.80923724935961,SHIB,17,-0.8895746838594505,-3.9941059773089904,-1.117768450996806,-2.4043458392389283,0.0,-12.919571738714382,-13.852228011706469,-11.981414768343953,-12.958097576304795,0.0,-47.14710369834785,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SHIBUSDT_1d.csv,1784,2021-05-10,2026-03-28,31,Shiba Inu
asset_SAND,2888,23384.194180455925,99.45081123088357,-33.45815502995442,1.5083996360963063,1.9830684927227353,42.1398891966759,8.310249307479225,49.307479224376735,0.24238227146814403,842,1314.5849082215211,65.75273561195036,-33.45815502995444,1183.2661712731115,119.59077201891604,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,SAND,7,-1.4562585125338217,0.0,-1.828502864411064,-3.9279917687850627,0.0,-13.486255567388753,-9.858122034397478,-12.69214918175821,-14.481743505850929,0.0,-48.364615799729094,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SANDUSDT_1d.csv,2053,2020-08-14,2026-03-28,167,The Sandbox
asset_VET,2888,21951.45845923786,97.86923866402304,-33.45815502995448,1.491596001560509,1.9646349229930802,42.1398891966759,8.240997229916898,49.16897506925208,0.4501385041551247,840,1329.222412534631,66.07850425589028,-33.45815502995444,1196.5448468815603,120.28864414652935,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,VET,13,-3.0378310793943513,-6.394884621840902e-14,-1.5027342204711402,-3.230119641171754,0.0,-15.067828134249282,-9.858122034397542,-12.366380537818287,-13.78387137823762,0.0,-48.55044411136305,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\VETUSDT_1d.csv,2644,2019-01-01,2026-03-28,91,VeChain
asset_ADA,2888,34847.57702213097,109.73458126289755,-33.875222600314146,1.5782485981548138,2.117283398624881,42.1398891966759,8.137119113573407,48.92659279778393,0.7963988919667591,835,1202.7528834028085,63.169442967428104,-33.87522260031408,1081.8157362509676,114.08670948783465,-30.172777076227142,149.9093451554409,108.94027003726592,-20.80923724935961,ADA,23,8.827511519480154,-0.41706757035972686,-4.4117955089333165,-9.43205429986645,0.0,-3.2024855353747768,-10.275189604757205,-15.275441826280463,-19.985806036932317,0.0,-49.339211372093736,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ADAUSDT_1d.csv,2644,2019-01-01,2026-03-28,15,Cardano
asset_SOL,2888,23585.64949596237,99.6663921781498,-37.734147515128136,1.5022565316791658,1.9847447654382924,42.1398891966759,7.998614958448753,48.5803324099723,1.2811634349030472,841,1326.7196932946918,66.02299631408992,-37.734147515128114,1194.2744600577282,120.16967358168694,-35.96673030648434,149.9093451554409,108.94027003726592,-20.80923724935961,SOL,37,-1.240677565267589,-4.275992485173717,-1.5582421622714975,-3.349090206014168,0.0,-13.27067462012252,-14.134114519571195,-12.421888479618644,-13.902841943080034,0.0,-49.556827218025305,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SOLUSDT_1d.csv,2056,2020-08-11,2026-03-28,7,Solana
