ts,main_selected,main_gross_exposure,main_strategy_ret,leader_selected,leader_gross_exposure,leader_strategy_ret,ret_diff_main_minus_leader,same_selection,main_in_market,leader_in_market,main_cash_leader_in,leader_cash_main_in
2025-04-17,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-18,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-19,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-20,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-21,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-22,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-23,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-24,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-25,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-26,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-27,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-28,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-29,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-30,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-01,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-02,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-03,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-04,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-05,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-06,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-07,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-08,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-09,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-10,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-11,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-12,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-13,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-14,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-15,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-16,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-17,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-18,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-19,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-20,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-21,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-22,TRXUSDT,1.0,-0.0272339615802827,TRXUSDT,1.0,-0.0272339615802827,0.0,True,True,True,False,False
2025-05-23,CASH,0.0,-0.0015,CASH,0.0,-0.0015,0.0,True,False,False,False,False
2025-05-24,TRXUSDT,1.0,0.0058991860895301,TRXUSDT,1.0,0.0058991860895301,0.0,True,True,True,False,False
2025-05-25,BTCUSDT,1.0,0.0009503068643507,BTCUSDT,1.0,0.0009503068643507,0.0,True,True,True,False,False
2025-05-26,BTCUSDT,1.0,-0.0045380449855114,BTCUSDT,1.0,-0.0045380449855114,0.0,True,True,True,False,False
2025-05-27,BTCUSDT,1.0,-0.0106151039621833,BTCUSDT,1.0,-0.0106151039621833,0.0,True,True,True,False,False
2025-05-28,CASH,0.0,-0.0015,CASH,0.0,-0.0015,0.0,True,False,False,False,False
2025-05-29,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-30,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-05-31,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-01,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-02,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-03,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-04,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-05,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-06,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-07,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-08,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-09,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-10,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-11,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-12,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-13,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-14,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-15,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-16,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-17,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-18,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-19,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-20,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-21,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
