date,model_asset,model_exposure,canonical_gross_return,same_day_asset_return,asset_times_exposure,residual,covered
2020-01-31,BTC,0.75,-0.012639266872,-0.01685235582942035,-0.012639266872065263,6.526376661319944e-14,True
2020-02-01,BTC,0.75,0.002543598823,0.0033914650979538497,0.0025435988234653872,-4.653872773263679e-13,True
2020-02-02,BTC,0.75,-0.004243649976,-0.005658199967819688,-0.004243649975864766,-1.3523383801672395e-13,True
2020-02-03,BTC,0.75,-0.003156241594,-0.004208322125786812,-0.003156241594340109,3.401090173382748e-13,True
2020-02-04,BTC,0.75,-0.00768544506,-0.01024726007937804,-0.00768544505953353,-4.664697447753774e-13,True
2020-02-05,BTC,0.75,0.033844114724,0.04512548629882285,0.033844114724117136,-1.1713546799185792e-13,True
2020-02-06,BTC,0.75,0.012481221468,0.016641628624100457,0.012481221468075343,-7.534251000862469e-14,True
2020-02-07,BTC,0.75,0.00320277323,0.004270364306180774,0.0032027732296355804,3.644194321306138e-13,True
2020-02-08,BTC,0.75,0.006214762379,0.008286349838440676,0.006214762378830507,1.6949289194378991e-13,True
2020-02-09,BTC,0.75,0.019456698046,0.025942264061323606,0.019456698045992704,7.29624693995845e-15,True
2020-02-11,DOGE,1.0,0.03768335426,0.021474564271988683,0.021474564271988683,0.01620878998801132,True
2020-02-12,DOGE,1.25,0.012640515383,0.009537953795379472,0.01192244224422434,0.000718073138775659,True
2020-02-13,DOGE,1.25,-0.011721102876,-0.014940011115106677,-0.018675013893883347,0.006953911017883346,True
2020-02-14,DOGE,1.25,0.078404516995,0.031030134076728944,0.03878766759591118,0.03961684939908883,True
2020-02-15,DOGE,1.25,-0.088856742066,-0.06553577751311679,-0.08191972189139599,-0.006937020174604014,True
2020-02-16,BASE,1.0,-0.022765025672,,,,False
2020-02-17,DOGE,1.0,-0.0015,-0.019002979434634026,-0.019002979434634026,0.017502979434634025,True
2020-02-18,DOGE,1.0,0.0,0.047668432164154284,0.047668432164154284,-0.047668432164154284,True
2020-02-22,BASE,1.0,0.0,,,,False
2020-02-23,BASE,1.0,0.0,,,,False
2020-03-05,BASE,1.25,0.0,,,,False
2020-03-06,BASE,1.25,0.0,,,,False
2020-03-07,BASE,1.25,0.0,,,,False
2020-03-08,BASE,1.25,0.0,,,,False
2020-05-17,BTC,0.75,0.023885625294,0.031847500391738004,0.023885625293803503,1.964955975708449e-13,True
2020-05-18,BTC,0.75,0.004175344317,0.005567125755678637,0.004175344316758978,2.410224797522176e-13,True
2020-05-19,BTC,0.75,0.003205282964,0.00427371061842452,0.00320528296381839,1.816099354234879e-13,True
2020-05-20,BTC,0.75,-0.020262328488,-0.027016437983413688,-0.020262328487560266,-4.3973505392536083e-13,True
2020-05-21,BTC,0.75,-0.034914308364,-0.04655241115163555,-0.034914308363726665,-2.7333690866271354e-13,True
2020-05-22,BTC,0.75,0.008381898077,0.011175864103256883,0.008381898077442662,-4.426615324293337e-13,True
2020-05-23,BTC,0.75,0.000748364231,0.000997818974918241,0.0007483642311886807,-1.8868066831156938e-13,True
2020-06-01,ADA,1.0,0.079644209998,0.09512855209742899,0.09512855209742899,-0.015484342099428991,True
2020-06-03,ADA,1.25,0.035810441294,0.08714430894308944,0.1089303861788618,-0.0731199448848618,True
2020-06-04,ADA,1.25,-0.006696793718,0.037859312923580246,0.04732414115447531,-0.05402093487247531,True
2020-06-08,ADA,1.0,0.007523716061,-0.0010396211158598678,-0.0010396211158598678,0.008563337176859868,True
2020-06-10,ADA,1.25,0.02040607055,0.00832227716801337,0.010402846460016713,0.010003224089983286,True
2020-06-22,ADA,1.0,0.072443317708,0.0655528631552098,0.0655528631552098,0.006890454552790193,True
2020-06-23,ADA,1.0,-0.0015,-0.009455415918611654,-0.009455415918611654,0.007955415918611654,True
2020-06-24,ADA,1.25,0.0,-0.0026582890285161698,-0.003322861285645212,0.003322861285645212,True
2020-06-25,ADA,1.25,-0.012958638844,-0.010540344075599672,-0.01317543009449959,0.00021679125049959072,True
2020-06-26,ADA,1.25,-0.015376344086,-0.012856618097220607,-0.01607077262152576,0.0006944285355257578,True
2020-07-02,ADA,1.25,0.020922275692,-0.04028509451502926,-0.05035636814378658,0.07127864383578658,True
2020-07-06,ADA,1.0,0.068232039132,0.07123203913176401,0.07123203913176401,-0.002999999999764011,True
2020-07-07,ADA,1.0,0.064721058619,0.11910197869101968,0.11910197869101968,-0.05438092007201968,True
2020-07-08,ADA,1.25,0.168979702348,0.10447126827609643,0.13058908534512054,0.03839061700287946,True
2020-07-09,ADA,1.25,-0.080150645514,-0.04540906642038012,-0.05676133302547515,-0.023389312488524855,True
2020-07-10,ADA,1.25,-0.007469315646,-0.04490848988148033,-0.05613561235185041,0.04866629670585041,True
2020-07-11,ADA,1.25,-0.010724944044,0.05715009285834882,0.07143761607293603,-0.08216256011693603,True
2020-07-12,BASE,1.0,0.015050796438,,,,False
2020-07-13,ADA,1.0,-0.013550805223,-0.02033898305084736,-0.02033898305084736,0.0067881778278473595,True
2020-07-14,ADA,1.0,0.003924843424,0.06670958397038707,0.06670958397038707,-0.06278474054638707,True
2020-07-15,ADA,1.25,-0.009513808019,-0.014106819553409866,-0.017633524441762333,0.008119716422762333,True
2020-07-19,BASE,1.0,0.014596681801,,,,False
2020-07-20,ADA,1.0,-0.01296474426,-0.05087889050153205,-0.05087889050153205,0.03791414624153205,True
2020-07-21,ADA,1.0,0.04059150036,0.04672500212386388,0.04672500212386388,-0.006133501763863881,True
2020-07-22,ADA,1.25,0.092379575716,0.004788572356139831,0.0059857154451747885,0.08639386027082521,True
2020-07-23,ADA,1.25,0.054788807159,0.003392568659127626,0.004240710823909533,0.05054809633509047,True
2020-07-24,ADA,1.25,0.017480929895,-0.018113025277733064,-0.02264128159716633,0.040122211492166326,True
2020-07-25,ADA,1.25,0.116917427906,0.17750266458965314,0.22187833073706642,-0.10496090283106642,True
2020-07-26,BASE,1.0,0.018803642796,,,,False
2020-07-27,ADA,1.0,0.035144694534,-0.06667115630682219,-0.06667115630682219,0.10181585084082219,True
2020-07-28,ADA,1.0,-0.01602832914,0.07540226567573427,0.07540226567573427,-0.09143059481573426,True
2020-07-29,ADA,1.25,0.003709315907,-0.06253354804079436,-0.07816693505099295,0.08187625095799295,True
2020-07-30,ADA,1.25,0.067514399924,0.006298310907529192,0.00787288863441149,0.059641511289588514,True
2020-07-31,ADA,1.25,0.042777794368,-0.012944523470839409,-0.01618065433854926,0.05895844870654926,True
2020-08-01,ADA,1.25,0.146789189501,0.03833405389825639,0.04791756737282049,0.09887162212817951,True
2020-08-02,BASE,1.0,-0.037674418605,,,,False
2020-08-03,ETH,1.0,0.010409385486,0.036303098652059385,0.036303098652059385,-0.025893713166059384,True
2020-08-04,ETH,1.0,-0.002481325441,0.00950925014250914,0.00950925014250914,-0.01199057558350914,True
2020-08-05,ETH,1.25,0.061756330655,0.028515695182361966,0.03564461897795246,0.02611171167704754,True
2020-08-06,ETH,1.25,0.001867830405,-0.014848273108404975,-0.018560341385506218,0.020428171790506218,True
2020-08-07,ETH,1.25,-0.017877850382,-0.03908605010512456,-0.0488575626314057,0.0309797122494057,True
2020-08-08,ETH,1.25,0.018024051619,0.046633626825539176,0.05829203353192397,-0.04026798191292397,True
2020-08-09,BASE,1.0,-0.006778949123,,,,False
2020-08-10,LINK,1.0,0.018083015457,-0.024488791056015646,-0.024488791056015646,0.04257180651301565,True
2020-08-11,LINK,1.0,-0.042112450096,-0.03526521280859851,-0.03526521280859851,-0.006847237287401491,True
2020-08-12,LINK,1.25,0.018900192063,0.26670564972186095,0.3333820621523262,-0.3144818700893262,True
2020-08-13,LINK,1.25,0.023311986081,0.044024660612870914,0.05503082576608864,-0.03171883968508864,True
2020-08-14,LINK,1.25,-0.002064940577,-0.013433556547186254,-0.016791945683982817,0.014727005106982816,True
2020-08-15,LINK,1.25,0.009763582284,0.1339297297934825,0.16741216224185312,-0.1576485799578531,True
2020-08-16,BASE,1.0,0.004944146333,,,,False
2020-08-17,LINK,1.0,0.03107463689,-0.10563061985206923,-0.10563061985206923,0.13670525674206924,True
2020-08-18,LINK,1.0,-0.027368817039,-0.03727199219957689,-0.03727199219957689,0.009903175160576885,True
2020-08-19,LINK,1.25,-0.019926730911,-0.0003952398302938809,-0.0004940497878673511,-0.01943268112313265,True
2020-08-20,LINK,1.25,0.010523548673,-0.008525728548216538,-0.010657160685270672,0.021180709358270672,True
2020-08-21,LINK,1.25,-0.033978217496,-0.13807069907716085,-0.17258837384645107,0.13861015635045107,True
2020-08-22,LINK,1.25,0.01426763932,0.1428013735767215,0.1785017169709019,-0.1642340776509019,True
2020-08-23,BASE,1.0,-0.014461390548,,,,False
2020-08-24,LINK,1.0,0.005591078568,-5.9434186544082834e-05,-5.9434186544082834e-05,0.0056505127545440825,True
2020-08-25,LINK,1.0,-0.063709379906,-0.06772597890621379,-0.06772597890621379,0.004016599000213797,True
2020-08-30,BASE,1.0,0.075981437351,,,,False
2020-08-31,BASE,1.0,0.011306942696,,,,False
2020-09-01,BASE,1.25,0.119902487379,,,,False
2020-09-02,BASE,1.25,-0.094394194363,,,,False
2020-09-24,BASE,1.25,0.060399103253,,,,False
2020-09-25,BASE,1.25,-0.005780611979,,,,False
2020-09-26,BASE,1.25,0.004904474453,,,,False
2020-10-03,BASE,1.25,-0.00335133959,,,,False
2020-10-05,BASE,1.25,0.014716456838,,,,False
2020-10-06,BASE,1.25,-0.001875,,,,False
2020-10-07,BASE,1.25,0.0,,,,False
2020-10-08,BASE,1.25,0.0,,,,False
2020-10-09,BASE,1.25,0.0,,,,False
2020-10-10,BASE,1.25,0.0,,,,False
2020-10-11,BASE,1.25,0.0,,,,False
2020-10-12,BASE,1.25,0.091159342783,,,,False
2020-10-13,BASE,1.25,0.003070932422,,,,False
2020-10-14,BASE,1.25,0.004572734137,,,,False
2020-10-15,BASE,1.25,0.019764576172,,,,False
2020-10-16,BASE,1.25,-0.050837015093,,,,False
2020-10-17,BASE,1.25,0.005894322845,,,,False
2020-10-18,BASE,1.25,0.033225184622,,,,False
2020-10-19,BASE,1.25,0.003934040359,,,,False
2020-10-20,BASE,1.25,-0.03552596889,,,,False
2020-10-21,BASE,1.25,0.074147943124,,,,False
2020-10-22,BASE,1.25,0.075567395871,,,,False
2020-10-23,BASE,1.25,-0.014704816658,,,,False
2020-10-24,BASE,1.25,0.009257901298,,,,False
2020-10-25,BASE,1.25,-0.019046925802,,,,False
2020-10-26,BASE,1.25,-0.041085596018,,,,False
2020-10-27,BASE,1.25,0.034807143585,,,,False
2020-10-28,BASE,1.25,-0.037646064657,,,,False
2020-10-29,BASE,1.25,0.017836413797,,,,False
2020-10-30,BASE,1.25,0.009698492089,,,,False
2020-10-31,BASE,1.25,0.02128487253,,,,False
2020-11-01,BASE,1.25,-0.002673845261,,,,False
2020-11-02,BASE,1.25,-0.01926843004,,,,False
2020-11-03,BASE,1.25,0.043743731258,,,,False
2020-11-04,BASE,1.25,0.010739093509,,,,False
2020-11-05,BASE,1.25,0.127793497035,,,,False
2020-11-06,BASE,1.25,-0.000809812944,,,,False
2020-11-07,BASE,1.25,-0.061105897848,,,,False
2020-11-08,BASE,1.25,0.055404466099,,,,False
2020-11-09,BASE,1.25,-0.011848873351,,,,False
2020-11-10,BASE,1.25,-0.002544295201,,,,False
2020-11-11,BASE,1.25,0.031625865109,,,,False
2020-11-12,BASE,1.25,0.048425999602,,,,False
2020-11-13,BASE,1.25,0.002212761465,,,,False
2020-11-14,BASE,1.25,-0.019166610501,,,,False
2020-11-15,BASE,1.25,-0.008824426198,,,,False
2020-11-16,BASE,1.25,0.059266309457,,,,False
2020-11-17,BASE,1.25,0.070736682827,,,,False
2020-11-18,BASE,1.25,0.008263313888,,,,False
2020-11-19,BASE,1.25,0.001877518829,,,,False
2020-11-20,BASE,1.25,0.059881664815,,,,False
2020-11-21,BASE,1.25,0.499872199994,,,,False
2020-11-22,BASE,1.25,0.01363028424,,,,False
2020-11-23,BASE,1.25,0.108364730461,,,,False
2020-11-24,BASE,1.25,-0.007414801669,,,,False
2020-11-25,BASE,1.25,-0.07328875812,,,,False
2020-11-30,BASE,1.25,0.103854882516,,,,False
2020-12-01,BASE,1.25,-0.059080279267,,,,False
2020-12-02,BASE,1.25,0.029251994142,,,,False
2020-12-03,BASE,1.25,0.014177318477,,,,False
2020-12-04,BASE,1.25,-0.049646275596,,,,False
2020-12-05,BASE,1.25,0.033319446321,,,,False
2020-12-06,BASE,1.25,0.013822837882,,,,False
2020-12-07,BASE,1.25,-0.01242936248,,,,False
2020-12-14,BASE,1.25,0.006398308422,,,,False
2020-12-15,BASE,1.25,-0.001875,,,,False
2020-12-16,BASE,1.25,0.120966021227,,,,False
2020-12-17,BASE,1.25,0.085634191245,,,,False
2020-12-18,BASE,1.25,0.017010342516,,,,False
2020-12-19,BASE,1.25,0.038635908253,,,,False
2020-12-20,BASE,1.25,-0.019209973633,,,,False
2020-12-21,BASE,1.25,-0.039213050915,,,,False
2020-12-22,BASE,1.25,0.060029375375,,,,False
2020-12-23,BASE,1.25,-0.030344961255,,,,False
2020-12-24,BASE,1.25,0.026710128284,,,,False
2020-12-25,BASE,1.25,0.051796415387,,,,False
2020-12-26,BASE,1.25,0.090082051693,,,,False
2020-12-27,BASE,1.25,-0.009989755935,,,,False
2020-12-28,BASE,1.25,0.037942333171,,,,False
2020-12-29,BASE,1.25,0.014106197292,,,,False
2020-12-30,BASE,1.25,0.068036333759,,,,False
2020-12-31,BASE,1.25,0.00208177925,,,,False
2021-01-01,BASE,1.25,0.017635234582,,,,False
2021-01-02,BASE,1.25,0.121312478074,,,,False
2021-01-03,BASE,1.25,0.031920550259,,,,False
2021-01-04,BASE,1.25,-0.001875,,,,False
2021-01-05,BASE,1.25,0.0,,,,False
2021-01-06,BASE,1.25,0.0,,,,False
2021-01-07,BASE,1.25,0.0,,,,False
2021-01-08,BASE,1.25,0.0,,,,False
2021-01-09,BASE,1.25,0.0,,,,False
2021-01-10,BASE,1.25,0.0,,,,False
2021-01-11,BASE,1.25,0.0,,,,False
2021-01-12,BASE,1.25,0.0,,,,False
2021-01-13,BASE,1.25,0.0,,,,False
2021-03-19,BTC,1.25,0.008279752554,0.0066238020432916045,0.008279752554114506,-1.1450562720227708e-13,True
2021-03-20,BTC,1.25,0.001556737626,0.0012453901007425383,0.0015567376259281729,7.182709288455769e-14,True
2021-03-21,BTC,1.25,-0.016150829193,-0.012920663354346829,-0.016150829192933536,-6.646419525857539e-14,True
2021-03-22,BASE,1.0,0.0,,,,False
2021-03-23,BASE,1.0,0.0,,,,False
2021-03-26,BASE,1.25,0.089067069389,,,,False
2021-03-27,BASE,1.25,0.017981406469,,,,False
2021-03-28,BASE,1.25,-0.00088480886,,,,False
2021-03-29,BASE,1.25,0.041634970866,,,,False
2021-03-30,BASE,1.25,0.024097573942,,,,False
2021-03-31,BASE,1.25,-0.000128092585,,,,False
2021-04-01,BASE,1.25,-0.000427941175,,,,False
2021-04-02,BASE,1.25,0.004886926937,,,,False
2021-04-03,BASE,1.25,-0.040247448643,,,,False
2021-04-04,BASE,1.25,0.025197872325,,,,False
2021-04-05,BASE,1.25,0.019930153615,,,,False
2021-04-06,BASE,1.25,-0.000885068189,,,,False
2021-04-07,BASE,1.25,-0.088023918076,,,,False
2021-04-08,BASE,1.25,0.074479110962,,,,False
2021-04-09,BASE,1.25,-0.008165261529,,,,False
2021-04-10,BASE,1.25,0.040290390784,,,,False
2021-04-11,BASE,1.25,0.010469934239,,,,False
2021-04-12,BASE,1.25,-0.007942650231,,,,False
2021-04-13,BASE,1.25,0.094436050129,,,,False
2021-04-14,BASE,1.25,0.072530978301,,,,False
2021-04-15,BASE,1.25,0.041848228233,,,,False
2021-04-16,BASE,1.25,-0.045429865873,,,,False
2021-04-17,BASE,1.25,-0.054211881932,,,,False
2021-05-07,ETH,1.25,0.0,-0.0029228622271636473,-0.003653577783954559,0.003653577783954559,True
2021-08-19,BTC,0.75,0.034481322009,0.04597509601212746,0.034481322009095594,-9.559714131412989e-14,True
2021-08-20,BTC,0.75,0.04108986365,0.05478648486696702,0.04108986365022527,-2.2526425169644426e-13,True
2021-08-21,BTC,0.75,-0.007612149189,-0.01014953225173032,-0.00761214918879774,-2.0226008368151582e-13,True
2021-08-22,BTC,0.75,0.006411317305,0.008548423073512001,0.006411317305134001,-1.3400131698704243e-13,True
2021-08-23,BTC,0.75,0.003802304342,0.005069739122593786,0.0038023043419453395,5.46607030471602e-14,True
2021-08-24,BTC,0.75,-0.027503771051,-0.03667169473527865,-0.027503771051458986,4.589870150617514e-13,True
2021-08-25,BTC,0.75,0.020440539825,0.027254053099372122,0.02044053982452909,4.709080347886641e-13,True
2021-08-27,BTC,0.75,0.03564014886,0.047520198480612175,0.03564014886045913,-4.591327318337335e-13,True
2021-08-28,BTC,0.75,-0.002667877864,-0.0035571704853688546,-0.002667877864026641,2.6641015782313815e-14,True
2021-08-29,BTC,0.75,-0.001956014222,-0.0026080189629483774,-0.001956014222211283,2.1128324784180919e-13,True
2021-08-30,BTC,0.75,-0.027450267933,-0.036600357243699366,-0.027450267932774525,-2.2547588796051343e-13,True
2021-08-31,BTC,1.25,0.003138907318,0.0025111258540604364,0.0031389073175755455,4.2445430850635013e-13,True
2021-09-01,BTC,1.25,0.045371488734,0.036297190987261585,0.04537148873407698,-7.698008896994679e-14,True
2021-09-02,BASE,1.0,-0.010713856413,,,,False
2021-09-03,BASE,1.0,0.040226423866,,,,False
2021-09-04,BASE,1.25,-0.016692652059,,,,False
2021-09-05,BASE,1.25,0.020836979349,,,,False
2021-09-06,BASE,1.25,-0.007442491564,,,,False
2021-09-23,BASE,1.0,0.0,,,,False
2021-09-24,BASE,1.0,0.0,,,,False
2021-09-26,BASE,1.25,0.0,,,,False
2021-09-27,BASE,1.25,0.0,,,,False
2021-09-28,BASE,1.25,0.0,,,,False
2021-09-29,BASE,1.25,0.0,,,,False
2021-10-11,BTC,1.25,0.064315803436,0.05145264274867811,0.06431580343584764,1.5236423234199492e-13,True
2021-10-13,BTC,1.25,0.030583596279,0.02446687702343686,0.030583596279296077,-2.9607566398581753e-13,True
2021-10-14,BTC,1.25,-0.000415308453,-0.00033224676207577186,-0.00041530845259471483,-4.052851804159374e-13,True
2021-10-15,BTC,1.25,0.094259706626,0.0754077653007239,0.09425970662590488,9.511835763476029e-14,True
2021-10-16,BASE,1.0,-0.012920686427,,,,False
2021-10-17,BASE,1.0,0.010722856476,,,,False
2021-10-18,BASE,1.25,0.009782282406,,,,False
2021-10-19,BASE,1.25,0.045773985226,,,,False
2021-10-20,BASE,1.25,0.033463056266,,,,False
2021-10-21,BASE,1.25,-0.07212459552,,,,False
2021-10-22,BASE,1.25,-0.028666789827,,,,False
2021-10-23,BASE,1.25,0.008577969085,,,,False
2021-10-29,BASE,1.25,0.038750985763,,,,False
2021-10-30,BASE,1.25,-0.02721554508,,,,False
2021-10-31,BASE,1.25,-0.010256947079,,,,False
2021-11-01,BASE,1.25,0.009394221417,,,,False
2021-11-02,BASE,1.25,0.078268428936,,,,False
2021-11-03,BASE,1.25,0.00366566519,,,,False
2021-11-04,BASE,1.25,-0.019287584042,,,,False
2021-11-05,BASE,1.25,-0.01601828644,,,,False
2021-11-06,BASE,1.25,0.01222553998,,,,False
2021-11-07,BASE,1.25,0.026170318725,,,,False
2021-11-08,BASE,1.25,0.052950186338,,,,False
2021-11-09,BASE,1.25,-0.019667823077,,,,False
2021-11-10,LINK,1.0,-0.0015,0.01153163808397406,0.01153163808397406,-0.01303163808397406,True
2021-11-11,LINK,1.0,0.017991097006,0.01403098509207834,0.01403098509207834,0.003960111913921659,True
2021-11-12,LINK,1.25,-0.014182030091,-0.012395503026808918,-0.015494378783511148,0.0013123486925111488,True
2021-11-13,LINK,1.25,-0.005674681596,-0.007589025102159863,-0.009486281377699829,0.0038115997816998287,True
2021-11-14,BASE,1.0,-0.003828365215,,,,False
2021-11-15,LINK,1.0,-0.029121696374,-0.05066666666666664,-0.05066666666666664,0.021544970292666638,True
2021-11-28,BASE,1.25,0.060890071277,,,,False
2021-11-29,BASE,1.25,0.04358488677,,,,False
2021-11-30,BASE,1.25,0.052235556966,,,,False
2021-12-01,BASE,1.25,-0.001875,,,,False
2021-12-02,BASE,1.25,0.0,,,,False
2021-12-03,BASE,1.25,-0.04828525641,,,,False
2021-12-04,BASE,1.25,-0.001875,,,,False
2021-12-05,BASE,1.25,0.0,,,,False
2021-12-06,BASE,1.25,0.0,,,,False
2021-12-07,BASE,1.25,0.0,,,,False
2021-12-08,BASE,1.25,0.0,,,,False
2021-12-09,BASE,1.25,0.0,,,,False
2021-12-12,BASE,1.0,0.0,,,,False
2021-12-13,BASE,1.0,0.0,,,,False
2021-12-24,BASE,1.0,0.0,,,,False
2021-12-25,BASE,1.0,0.0,,,,False
2021-12-26,BASE,1.25,0.0,,,,False
2021-12-27,BASE,1.25,0.0,,,,False
2021-12-28,BASE,1.25,0.0,,,,False
2023-01-20,BTC,1.25,0.094654698578,0.07572375886205074,0.09465469857756342,4.36581326646035e-13,True
2023-01-23,BTC,1.25,0.011481146633,0.009184917306239049,0.011481146632798811,2.0118975929683813e-13,True
2023-01-25,BTC,1.25,0.023640926987,0.01891274158978362,0.023640926987229527,-2.2952820200039525e-13,True
2023-01-27,BTC,0.75,0.002102704735,0.0028036063130034705,0.002102704734752603,2.4739715484556335e-13,True
2023-01-28,BTC,1.25,-0.002793167769,-0.0022345342148967218,-0.002793167768620902,-3.7909779482259154e-13,True
2023-01-29,BTC,1.25,0.039075734278,0.03126058742279336,0.0390757342784917,-4.91703899818674e-13,True
2023-01-30,BASE,1.0,-0.036587937579,,,,False
2023-01-31,BASE,1.0,0.029769070811,,,,False
2023-02-01,BASE,1.25,0.082899351685,,,,False
2023-02-02,BASE,1.25,-0.021055516795,,,,False
2023-02-03,BASE,1.25,0.01546025953,,,,False
2023-02-04,BASE,1.25,-0.016898658121,,,,False
2023-02-05,BASE,1.25,-0.023855446148,,,,False
2023-02-06,BASE,1.25,-0.009055158853,,,,False
2023-02-07,BASE,1.25,0.064239549672,,,,False
2023-02-08,BASE,1.25,-0.020325203252,,,,False
2023-03-26,BTC,0.75,0.013794038878,0.018392051837111456,0.013794038877833592,1.6640855360350315e-13,True
2023-04-02,BTC,0.75,-0.007403331772,-0.0098711090289052,-0.0074033317716789004,-3.2109991748852096e-13,True
2023-04-03,BTC,0.75,-0.009900035035,-0.013200046713263913,-0.009900035034947935,-5.206425568449191e-14,True
2023-04-04,BTC,0.75,0.009859802158,0.013146402877697971,0.009859802158273479,-2.7347915598774364e-13,True
2023-04-05,BTC,0.75,0.00012089271,0.00016119028015504355,0.00012089271011628266,-1.1628266166803514e-13,True
2023-04-06,BTC,0.75,-0.003625930555,-0.004834574073633635,-0.0036259305552252263,2.2522652146084177e-13,True
2023-04-07,BTC,0.75,-0.003410790966,-0.004547721288072681,-0.003410790966054511,5.45110831473572e-14,True
2023-04-09,BTC,0.75,0.010345445942,0.013793927922807203,0.010345445942105402,-1.054017984003508e-13,True
2023-04-10,BTC,1.25,0.05797164642,0.046377317135860574,0.05797164641982572,1.7428419818443786e-13,True
2023-04-11,BTC,1.25,0.02374875748,0.01899900598366777,0.023748757479584715,4.152858612549437e-13,True
2023-04-12,BTC,1.25,-0.012928214243,-0.010342571394702404,-0.012928214243378006,3.7800491903272615e-13,True
2023-04-13,BASE,1.0,0.016252973176,,,,False
2023-04-14,BASE,1.0,0.040727416862,,,,False
2023-04-15,BASE,1.25,-0.00558931233,,,,False
2023-04-16,BASE,1.25,0.016783459294,,,,False
2023-04-17,BASE,1.25,-0.026354977415,,,,False
2023-04-18,BASE,1.25,0.017779652845,,,,False
2023-11-01,BTC,0.75,0.016924044242,0.022565392322177802,0.01692404424163335,3.66647684435506e-13,True
2023-11-02,BTC,0.75,-0.010159951193,-0.013546601591183705,-0.010159951193387778,3.877783510963795e-13,True
2023-11-09,BTC,0.75,0.022660599157,0.030214132209319677,0.022660599156989758,1.0241807402167069e-14,True
2023-11-10,BTC,0.75,0.012272251315,0.016363001752808914,0.012272251314606686,3.9331385370822147e-13,True
2023-11-11,BTC,0.75,-0.003450854561,-0.004601139414014854,-0.0034508545605111407,-4.88859386998941e-13,True
2023-11-12,BTC,0.75,-0.001330527875,-0.0017740371667116506,-0.001330527875033738,3.373798636296943e-14,True
2023-11-13,BTC,0.75,-0.012165400888,-0.016220534516795504,-0.012165400887596628,-4.03371780421935e-13,True
2023-11-24,TRX,1.25,0.014053428569,0.024196708463949834,0.030245885579937293,-0.016192457010937293,True
2023-11-25,TRX,1.25,0.002224000539,0.04208512673362019,0.05260640841702524,-0.05038240787802524,True
2023-12-06,LINK,1.25,-0.008810035187,-0.029308919829614033,-0.03663614978701754,0.02782611460001754,True
2023-12-07,LINK,1.25,-0.013983086963,0.027705003929787697,0.03463125491223462,-0.04861434187523462,True
2023-12-08,LINK,1.25,0.242956915477,0.0786438085526735,0.09830476069084187,0.14465215478615812,True
