strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,0.401221072296,0.57356837231,1.02604736602,0.699517427504,38.8906995561,0.157930338898,0.0350016296005,0.0777816504744,0.0451470588235,37,2,1,3,-0.331888018558,0.231100271221,-0.0894199774461,0,0.753655703211
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,0.398813554873,0.573409908058,1.02465076051,0.695512144573,38.8747521678,0.157589979644,0.034987276951,0.0777497615165,0.0448529411765,37,2,1,3,-0.326942468,0.228985047998,-0.0909844966448,0,0.749813891524
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,0.416355249803,0.668090334207,0.967450861772,0.623202025961,45.1621896078,0.18229407838,0.040645970647,0.0903245783209,0.0513235294118,37,2,1,3,-0.418790364201,0.217443324897,-0.134502531255,0,0.777656034745
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,0.434441684305,0.649115118452,0.994302926229,0.669282954525,44.7339362357,0.181346185406,0.0402605426121,0.0894679957348,0.0516176470588,37,2,1,3,-0.37691982375,0.232989713388,-0.123450386476,0,0.806004035372
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,0.350326609781,0.66980189657,0.902499808523,0.523030184859,43.3712069667,0.175924081171,0.03903408627,0.0867429360772,0.0501470588235,37,2,1,3,-0.421787494565,0.186384852759,-0.145988894274,0,0.670999975442
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,0.374308043158,0.650924530527,0.941036604061,0.575040616238,42.9561294252,0.175161423853,0.0386605164827,0.0859126720767,0.0505882352941,37,2,1,3,-0.380132868408,0.207454725114,-0.13082188928,0,0.71032853196
A_selector,0.443574522873,0.508729348193,0.761650843996,0.871926348359,56.4075232423,0.254170741318,0.0507667709181,0.112815735106,0.0905882352941,63,3,2,3,0,0.0680220596133,-0.0634558176758,0,0.82018298088
B_permission,0.190574472296,0.589204715693,0.493191671727,0.323443562518,35.7985853851,0.145580977733,0.0322187268466,0.0715975450037,0.0417647058824,40,2,1,3,-0.17801940418,-0.119158879658,-0.160677022014,0,0.389704934757
C1_soft_governance_only,0.186783867711,0.589204715693,0.488693623614,0.317010137115,35.798881903,0.14587595647,0.0322189937127,0.071598139228,0.0420588235294,40,2,1,3,-0.17801940418,-0.121963341258,-0.163349296284,0,0.382580603025
C_soft_filters,0.367461473476,0.483220753158,1.07766199065,0.760442243167,33.1128566098,0.133968803459,0.0298015709488,0.0662260560394,0.0379411764706,37,2,1,3,-0.264242566604,0.229443309948,-0.0532732164361,0,0.699170877143
