date,mechanism_family,event_kind,family_logic_label,selected_for_family,vetoed_by_family,mechanism_signal,forward_baseline_return_h3,pre_mean_abs_base_ret,pre_abs_range,trend_accel,trend_build,trend_gate_pass,stress_active,trend_block,stress_block,leverage_eligible,target_leverage,baseline_regime_on_event,baseline_asset_on_event,overlay_trend_score,overlay_equity_curve
2020-08-16,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.034816014487266234,0.0048023215408737,0.0061589133657897,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.95335917696052
2020-08-22,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.049402760666228396,0.015671841463912633,0.018763735058158197,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.194669132416053
2020-08-23,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.06374751943306878,0.017686025333530767,0.0157684625405621,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.246077249941939
2020-08-29,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.02461882780808522,0.0164783807246155,0.0219325301699785,0.10555473289290307,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.688180459220328
2020-09-23,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.0035328678727906127,0.028073712392426665,0.035277717477903994,0.9354637256598437,0.8724735524833289,1,0,0,0,1,1.0,BASE,,0.2536942763495051,9.205180002975998
2020-10-02,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,0.022193165756977162,0.008364613203326534,0.0100224128104752,1.1217289404915316,0.8742534305254893,1,0,0,0,1,1.0,BASE,,0.1378019126625257,9.02864502445072
2021-03-18,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.007877441361528126,0.03856508635492747,0.033733417682407896,0.8209897103896913,0.8209897103896913,1,0,0,0,1,1.0,BTC,,0.6543230437230246,69.20196739300808
2021-05-02,participation_divergence_instability_filter,tradable_transition+asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.19484262059425816,0.0,0.0,0.2665983192168487,0.2380238159481926,0,1,0,0,0,1.0,CANDIDATE,XTZ,-0.220024243670493,82.04942383858697
2021-05-06,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.0,0.10242446407093436,0.1072694539567795,0.60562360862532,0.4839068754250822,1,0,0,0,1,1.0,BASE,XTZ,0.1002705551599538,98.02809634714811
2021-05-08,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.12570500292747355,0.029355677609310668,0.088067032827932,0.05336829260444992,0.1753749836979938,0,0,0,0,0,1.0,BASE,,-0.3299780697673725,98.02809634714811
2021-05-09,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.1270164454230821,0.0,0.0,-0.2551157310285472,-0.6853643559558734,0,0,0,0,0,1.0,BASE,XTZ,-0.5850938007959197,98.02809634714811
2021-05-15,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0004999999999998999,0.0014999999999997,0.0,0.0,0,1,0,0,0,1.0,BASE,,-1.0,85.57691599754193
2021-05-16,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,BASE,,-1.0,85.57691599754193
2021-05-22,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-05-23,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-05-29,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-05-30,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-06-05,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-06-06,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-1.0,85.57691599754193
2021-06-12,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-06-13,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.012499999999997707,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-06-19,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-06-20,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-06-26,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-06-27,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-07-03,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,CASH,,-0.1666666666666666,85.57691599754193
2021-08-30,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.0806906738351234,0.017895129309643067,0.0449121795176638,0.5145536393811664,0.47628957840493513,1,0,0,0,1,1.0,BTC,,0.3419890767984417,86.09362275486534
2021-10-10,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,0.04954353354433838,0.007197916293379567,0.0185034947173781,0.42586038010923677,0.3692715900905344,1,0,0,0,1,1.0,BTC,STX,0.2026049234238678,85.13765710223369
2021-10-12,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.010894083837075463,0.025082264089433603,0.046161987946433496,0.20746298681752479,0.41005917091962807,1,0,0,0,1,1.0,BTC,STX,0.1868037142342591,86.64013926102696
2021-11-19,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,-0.016483952340911823,0.0526347594840752,0.0589848812421811,0.71912729714389,0.2199317988318738,1,1,0,1,0,1.0,BASE,,0.1877617847383829,95.58655864258412
2021-11-22,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,0.04116262121379766,0.03422704991878837,0.013133489303607204,0.7149584871291341,0.2053750007375177,1,1,0,1,0,1.0,BASE,,0.3931367854759006,94.01091436548799
2021-11-24,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,0.05958385699219737,0.03955174440496943,0.0458846800756116,0.7276916992867939,1.0146879836250087,1,1,0,1,0,1.0,BASE,,0.6928662819717751,98.02769156081855
2023-01-19,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.0776538457705378,0.028374256378307264,0.0376425907492838,0.5857456689027651,0.3145849885705117,1,0,0,0,1,1.0,BTC,,0.2118812172226686,98.91872902210437
2023-01-22,participation_divergence_instability_filter,cross_up+asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.015547906717844118,0.03330554727432677,0.0705912348328472,0.223876433583923,-0.03666941584563979,1,0,0,0,0,1.0,BTC,,0.1752118013770288,106.60014874940448
2023-01-24,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,0.019496847287288732,0.0058795657471892,0.0058636614001139,0.2113316334262019,0.1736972329530424,1,0,0,0,1,1.0,BTC,,0.1250326007461482,105.90649181964916
2023-01-26,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,-0.036045722195172214,0.013490434385310633,0.0097278242835446,0.1322028939698164,0.1640473866778735,0,0,1,0,0,1.0,BTC,,0.0777483539978198,107.66947170679444
2023-01-28,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.8333333333333334,0.057886967524251265,0.007980151662006434,0.0166886345065513,0.49889705242624294,0.7063687473423784,1,0,0,0,0,1.0,BTC,,0.6519142073703819,107.79654222077791
2023-01-29,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.07956659735142835,0.0024207492037107998,0.0005794992297711,-0.33484966574836944,0.2393161876241926,1,0,0,0,0,1.0,BASE,,0.3170645416220124,103.85248906276334
2023-02-04,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.02680327020594042,0.0142438491854799,0.004476205811980501,-0.17535354430409555,-0.17535354430409555,1,0,0,0,0,1.0,BASE,,0.8246464556959044,112.1156768444247
2023-02-05,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.040446158657354014,0.014990497012952334,0.006716149294397802,-0.06754892392618239,-0.24290246823027795,1,0,0,0,0,1.0,BASE,,0.757097531769722,111.30349663340229
2023-02-11,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.04486301369863033,0.024587885506954232,0.0722636565208626,-0.179816197286294,-0.1931402225307336,1,1,0,0,0,1.0,BASE,,0.1895432737624289,103.59854667055599
2023-02-12,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.152364864864865,0.0072579550275773995,0.0202738650827321,-0.15950359361421862,-0.3393197909005126,0,1,0,0,0,1.0,CANDIDATE,STX,0.0300396801482103,103.44314885055016
2023-02-18,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.5834268055340672,0.020518323606805566,0.037433799533926,-0.8188658155811416,-0.4162063906080629,0,1,0,0,0,1.0,BASE,,-0.0728475997327096,105.03420484851536
2023-02-19,participation_divergence_instability_filter,cross_up+asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.08390201394527175,0.014297465898417733,0.018771226408762498,0.0912867005209242,-0.9442668785944094,0,1,0,0,0,1.0,CANDIDATE,STX,0.0184391007882146,103.49830248413141
2023-02-25,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0263461740316997,0.018952435374001732,0.0248968902778879,0.0581433121928524,-0.1022786994766563,0,1,0,0,0,1.0,BASE,,-0.1308191078635888,104.25661095237699
2023-02-26,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.014032103752524838,0.0241248277983077,0.0146619152398153,-0.17729922782725177,0.19358158100802136,0,1,0,0,0,1.0,BASE,STX,-0.3081183356908406,102.94341757415876
2023-03-04,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.0,0.025525621564571933,0.0491342383897687,0.0,-0.41660681866665494,0,1,0,0,0,1.0,BASE,,-1.0,98.95367345245609
2023-04-01,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,0,1,0.33333333333333337,-0.010096043507951458,0.022256282513486065,0.028602647017060195,0.3517395168136816,0.3370816615118251,0,0,1,0,0,1.0,BTC,,0.0436879639523695,114.12465999758017
2023-04-03,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,0.008410791366906478,0.008633332480751833,0.0151414940505177,0.1110026550860416,0.3626304560441495,0,0,1,0,0,1.0,BTC,,0.0545789031828374,111.50654253327286
2023-04-09,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,0.08358729971485412,0.0035102601037260667,0.0036860891241616003,0.3603516052603941,0.3389007649002425,1,0,0,0,1,1.0,BTC,,0.167725805738243,113.98459601393098
2023-04-26,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,-0.008128180690176068,0.0135278872389638,0.021664947136095198,0.2661182948793249,0.6062723627439907,0,1,1,0,0,1.0,BASE,,0.0733251384767468,123.08945880520348
2023-05-28,participation_divergence_instability_filter,tradable_transition+asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.02841642986308468,0.000623207188526,0.001869621565578,-0.11253681624406231,-0.34536448842228124,0,0,0,0,0,1.0,CANDIDATE,ICP,-0.7525113387787256,115.73747687330884
2023-06-03,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,-0.04353674941910202,0.04210210638381034,0.0995411542485496,-0.10722083126356685,-0.2833245737283331,0,0,0,0,0,1.0,BASE,,-1.0,122.98154141175455
2023-06-04,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,-0.05689358564757907,0.0387585108525342,0.1007541303665102,0.0,-0.1287091938616065,0,0,0,0,0,1.0,CANDIDATE,ICP,-1.0,122.39498398053793
