variant,universe_name,n_symbols,entry_override,entry_ret5_threshold,entry_xs20_threshold,entry_conf_threshold,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
no_trx__ovr1__r540__xs20__cf30,no_trx,11,True,40.0,20.0,30.0,-36.814,2627.0,52.24,-46.28,1.157,1.137,313,66.18,86.32,66.98,51.8613
liquid10__ovr1__r560__xs0__cf25,liquid10,10,True,60.0,0.0,25.0,-36.864,2319.68,49.94,-44.13,1.15,1.104,321,64.79,86.66,66.11,53.5616
no_btc__ovr1__r540__xs20__cf25,no_btc,11,True,40.0,20.0,25.0,-36.994,1502.22,42.28,-41.68,0.869,1.1,306,70.49,87.26,69.34,46.3692
liquid10__ovr1__r540__xs0__cf25,liquid10,10,True,40.0,0.0,25.0,-37.062,2267.34,49.52,-44.13,1.143,1.099,327,64.61,86.53,66.08,53.6444
no_trx__ovr1__r540__xs20__cf25,no_trx,11,True,40.0,20.0,25.0,-37.282,2587.76,51.96,-46.67,1.153,1.135,309,66.11,86.45,67.15,52.1054
liquid10__ovr1__r560__xs0__cf30,liquid10,10,True,60.0,0.0,30.0,-37.466,2085.85,48.02,-44.13,1.122,1.073,325,64.93,86.71,66.07,53.3149
no_trx__ovr1__r540__xs0__cf25,no_trx,11,True,40.0,0.0,25.0,-37.497,2653.83,52.43,-46.67,1.157,1.146,311,65.69,86.61,67.14,52.8323
liquid10__ovr1__r540__xs0__cf30,liquid10,10,True,40.0,0.0,30.0,-37.661,2038.57,47.61,-44.13,1.115,1.068,331,64.75,86.57,66.04,53.3977
no_trx__ovr1__r540__xs0__cf30,no_trx,11,True,40.0,0.0,30.0,-37.715,2431.98,50.81,-46.28,1.135,1.12,317,65.83,86.56,67.01,52.5619
no_btc__ovr1__r540__xs0__cf30,no_btc,11,True,40.0,0.0,30.0,-38.431,1409.97,41.22,-43.03,0.855,1.086,309,70.35,87.44,69.6,46.8423
full12__ovr1__r580__xs0__cf25,full12,12,True,80.0,0.0,25.0,-38.485,7415.83,73.18,-54.44,1.218,1.614,318,65.59,87.26,68.86,55.0988
no_btc__ovr1__r540__xs0__cf25,no_btc,11,True,40.0,0.0,25.0,-38.772,1399.07,41.09,-43.44,0.854,1.084,307,70.32,87.46,69.64,46.9546
no_btc__ovr1__r580__xs0__cf30,no_btc,11,True,80.0,0.0,30.0,-39.153,1967.48,46.97,-50.04,0.936,1.189,292,71.75,86.45,68.72,44.1655
full12__ovr1__r580__xs0__cf30,full12,12,True,80.0,0.0,30.0,-39.344,6745.86,71.14,-55.02,1.198,1.582,319,65.76,87.3,68.9,54.8082
no_btc__ovr1__r580__xs0__cf25,no_btc,11,True,80.0,0.0,25.0,-39.578,1946.35,46.78,-50.55,0.934,1.187,292,71.71,86.47,68.76,44.2778
no_btc__ovr1__r560__xs20__cf30,no_btc,11,True,60.0,20.0,30.0,-40.515,1531.38,42.61,-48.53,0.877,1.076,299,71.05,86.9,69.35,45.5104
no_btc__ovr1__r560__xs20__cf25,no_btc,11,True,60.0,20.0,25.0,-40.844,1519.61,42.48,-48.9,0.875,1.075,297,71.02,86.91,69.39,45.6227
no_btc__ovr1__r560__xs0__cf30,no_btc,11,True,60.0,0.0,30.0,-41.277,1524.94,42.54,-49.37,0.876,1.078,304,70.91,87.08,69.62,45.9515
no_btc__ovr1__r560__xs0__cf25,no_btc,11,True,60.0,0.0,25.0,-41.606,1513.21,42.41,-49.74,0.874,1.076,302,70.88,87.1,69.65,46.0638
liquid10__ovr1__r580__xs0__cf25,liquid10,10,True,80.0,0.0,25.0,-42.403,1832.39,45.71,-52.27,1.114,1.052,310,66.01,86.28,66.12,52.271
liquid10__ovr1__r580__xs0__cf30,liquid10,10,True,80.0,0.0,30.0,-42.475,1700.89,44.42,-51.78,1.094,1.029,311,66.14,86.33,66.08,51.9986
