start_ts,end_ts,selected_mode,bars,days,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2020-11-21,2020-11-25,ETHUSDT,5,5,-0.05118369296302161,0.5243388747411216,0.5755225677041432,-0.058875712863220464,0.5637156245181856,0.622591337381406,4,2.0,0.003
2021-11-05,2021-11-10,BNBUSDT,6,6,0.03678575812487339,0.5276223319316,0.49083657380672663,0.03474394862506203,0.6475346093067644,0.6127906606817024,5,0.0,0.0
2020-11-12,2020-11-19,BTCUSDT,8,8,0.139397771664574,0.589551100323404,0.45015332865882995,0.1450914751292971,0.744910179773097,0.5998187046437999,5,0.0,0.0
2024-01-31,2024-02-09,TRXUSDT,10,10,0.1307325237289858,0.5613181845723032,0.4305856608433174,0.13777085676472955,0.720632284305649,0.5828614275409194,7,2.0,0.003
2020-05-31,2020-06-16,ETHUSDT,17,17,0.01745191347956132,0.47667948562055007,0.45922757214098875,0.0097162844928107,0.5842593361451345,0.5745430516523238,10,2.0,0.003
2024-01-03,2024-01-13,BNBUSDT,11,11,-0.050715303166031234,0.43244848175449857,0.4831637849205298,-0.051614946168461184,0.5161027153840405,0.5677176615525017,9,0.0,0.0
2024-05-20,2024-06-02,SOLUSDT,14,14,-0.09540770435502333,0.38152679675263523,0.47693450110765856,-0.0927535051674091,0.45010622989157456,0.5428597350589837,8,7.0,0.0105
2024-01-15,2024-01-23,TRXUSDT,9,9,-0.05937752135570695,0.4071951987603952,0.4665727201161022,-0.05879673420139475,0.4806486803825514,0.5394454145839461,7,10.0,0.015000000000000001
2021-10-11,2021-10-17,BTCUSDT,7,7,0.07951552176141041,0.4781567039915573,0.3986411822301469,0.07896960833528333,0.5747317515905608,0.49576214325527745,5,0.0,0.0
2023-02-14,2023-02-20,LTCUSDT,7,7,-0.017107034172831437,0.39678593246355365,0.4138929666363851,-0.021081193905239104,0.4582936955710877,0.4793748894763268,6,1.0,0.0015
2025-10-07,2025-10-12,BNBUSDT,6,6,-0.15195102369747016,0.298710448727451,0.45066147242492116,-0.14902474123849396,0.3264708605903188,0.4754956018288128,6,2.0,0.003
