start_ts,end_ts,selected_mode,bars,days,avg_exposure,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,positive_gap_bars,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2021-08-24 00:00:00,2021-08-24 20:00:00,BNBUSDT,6,1,1.0,-0.0360481987025117,0.1815101067924712,0.21755830549498287,-0.036513902360167716,0.19172955133454672,0.22824345369471444,6,3,1.0,0.0015
2020-11-15 16:00:00,2020-11-16 08:00:00,BTCUSDT,5,2,1.0,0.03703549617497146,0.24103404454153549,0.20399854836656406,0.03750861699785979,0.2644699056111426,0.2269612886132828,5,4,0.0,0.0
2024-01-29 04:00:00,2024-01-30 12:00:00,TRXUSDT,9,2,1.0,-0.007223333791338297,0.19938452246135038,0.2066078562526887,-0.007324391104835959,0.21721273450116074,0.2245371256059967,9,4,0.0,0.0
2024-02-26 20:00:00,2024-02-27 16:00:00,BNBUSDT,6,2,1.0,-0.017407564900599602,0.1872212768677585,0.20462884176835808,-0.017430278884462025,0.20181939878734512,0.21924967767180714,6,6,0.0,0.0
2025-08-19 08:00:00,2025-08-21 16:00:00,ETHUSDT,15,3,1.0,-0.018381568724562904,0.18427070166553608,0.20265227039009903,-0.019408530656102263,0.19917996580244224,0.2185884964585445,15,4,0.0,0.0
2025-09-18 20:00:00,2025-09-21 08:00:00,AVAXUSDT,16,4,1.0,-0.061911706809542,0.1478358574315371,0.20974756424107913,-0.06081273088945682,0.15772595995813776,0.21853869084759459,16,5,0.0,0.0
2021-10-15 08:00:00,2021-10-16 08:00:00,BTCUSDT,7,2,1.0,0.023834708792231596,0.22133109943154827,0.19749639063931668,0.023737572862782885,0.24040599212477587,0.21666841926199298,7,2,0.0,0.0
2025-07-11 00:00:00,2025-07-12 04:00:00,BTCUSDT,8,2,1.0,0.0080272690732068,0.20559233624531728,0.1975650671721105,0.007942218499559894,0.22313491686357034,0.21519269836401045,8,4,1.0,0.0015
2024-12-26 12:00:00,2024-12-29 12:00:00,BTCUSDT,19,4,1.0,-0.0248924284175693,0.17596547377799754,0.2008579021955668,-0.025301094677710467,0.189551952672685,0.21485304735039545,19,2,0.0,0.0
2020-08-03 00:00:00,2020-08-03 20:00:00,BTCUSDT,6,1,1.0,0.0114010265275459,0.2073527983312641,0.19595177180371817,0.011220790789182145,0.2240172629598134,0.21279647217063125,6,3,2.0,0.003
2023-12-28 08:00:00,2023-12-30 16:00:00,BNBUSDT,15,3,1.0,-0.05634664532524739,0.1439661115440316,0.20031275686927902,-0.05596903840428691,0.1528796874640872,0.2088487258683741,15,3,0.0,0.0
2023-02-21 20:00:00,2023-02-24 20:00:00,LTCUSDT,19,4,1.0,-0.023480552896081405,0.17084398710861132,0.1943245400046927,-0.0245202558635379,0.18422016570810706,0.20874042157164496,19,1,0.0,0.0
2020-12-16 00:00:00,2020-12-16 16:00:00,BTCUSDT,5,1,1.0,0.0994720633884808,0.28130631002182727,0.18183424663334652,0.10280918738873979,0.3106830946400003,0.20787390725126054,5,4,1.0,0.0015
2019-06-14 00:00:00,2019-06-15 04:00:00,BTCUSDT,8,2,1.0,0.05229076917458728,0.234580974628754,0.18229020545416671,0.05297634368203208,0.25873175248781033,0.20575540880577825,8,3,0.0,0.0
2024-11-26 08:00:00,2024-11-27 08:00:00,BTCUSDT,7,2,1.0,0.0344993203237493,0.21780537338967576,0.1833060530659265,0.034639119892027725,0.23871614599505975,0.20407702610303202,7,6,0.0,0.0
2023-02-08 00:00:00,2023-02-09 12:00:00,LTCUSDT,10,2,1.0,-0.0992570596359069,0.10432065342483132,0.2035777130607382,-0.09643420015760418,0.10608268640443108,0.20251688656203526,10,5,0.0,0.0
2023-04-10 00:00:00,2023-04-11 12:00:00,ETHUSDT,10,2,1.0,0.0351954484676028,0.2154650495692534,0.1802696011016506,0.03560257561220559,0.2357093175984657,0.2001067419862601,10,3,3.0,0.0045000000000000005
2020-11-07 12:00:00,2020-11-08 08:00:00,BTCUSDT,6,2,1.0,0.002386419808672201,0.1885380125296294,0.1861515927209572,0.001015131787837964,0.19878265631500502,0.19776752452716706,6,3,0.0,0.0
2020-07-31 08:00:00,2020-08-01 04:00:00,ETHUSDT,6,2,1.0,0.035273136447942,0.2150405412233088,0.1797674047753668,0.03568312685395236,0.23327931610283326,0.1975961892488809,6,3,0.0,0.0
2025-09-12 08:00:00,2025-09-13 16:00:00,SOLUSDT,9,2,1.0,0.013513971123564105,0.194342907790119,0.1808289366665549,0.013379045070658568,0.21086877941281124,0.19748973434215267,9,4,0.0,0.0
2020-11-16 16:00:00,2020-11-17 20:00:00,BTCUSDT,8,2,1.0,0.0727714518816547,0.23901731586043728,0.1662458639787826,0.07459915692284613,0.2651516684988755,0.19055251157602937,8,3,0.0,0.0
2019-04-03 04:00:00,2019-04-03 12:00:00,BNBUSDT,3,1,1.0,-0.011652679464274798,0.16561935973934439,0.1772720392036192,-0.012190228013029158,0.17344408628812302,0.18563431430115218,3,2,0.0,0.0
