variant,breakout_w,accel_w,near_high_w,hot_penalty_w,min_dv_rank_bonus,min_breadth_bonus,robust_score,median_window_sharpe,median_window_sortino,median_window_cagr_pct,median_window_return_pct,worst_window_dd_pct,positive_window_ratio,available_spike_days,captured_spike_days,spike_capture_ratio,avg_captured_spike_ret_pct,full_total_return_pct,full_cagr_pct,full_max_drawdown_pct,full_sharpe,full_sortino,full_trade_count
bw=0.05_aw=0.1_nh=0.05_hp=0.05_dv=0.3_br=0.35,0.05,0.1,0.05,0.05,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3719.41,58.87,-36.56,1.135,1.33,182
bw=0.15_aw=0.1_nh=0.05_hp=0.05_dv=0.3_br=0.55,0.15,0.1,0.05,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3709.22,58.82,-36.56,1.135,1.325,179
bw=0.15_aw=0.1_nh=0.05_hp=0.1_dv=0.3_br=0.55,0.15,0.1,0.05,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3709.22,58.82,-36.56,1.135,1.325,179
bw=0.05_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.55,0.05,0.1,0.05,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3688.68,58.71,-36.56,1.134,1.321,182
bw=0.05_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.55,0.05,0.1,0.05,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3688.68,58.71,-36.56,1.134,1.321,182
bw=0.1_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.55,0.1,0.1,0.05,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3688.68,58.71,-36.56,1.134,1.321,182
bw=0.05_aw=0.1_nh=0.05_hp=0.05_dv=0.3_br=0.55,0.05,0.1,0.05,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3676.74,58.65,-36.56,1.133,1.321,180
bw=0.05_aw=0.1_nh=0.05_hp=0.1_dv=0.3_br=0.55,0.05,0.1,0.05,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3676.74,58.65,-36.56,1.133,1.321,180
bw=0.1_aw=0.1_nh=0.05_hp=0.1_dv=0.3_br=0.55,0.1,0.1,0.05,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3676.74,58.65,-36.56,1.133,1.321,180
bw=0.1_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.35,0.1,0.1,0.1,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3663.4,58.58,-36.56,1.13,1.321,188
bw=0.1_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.35,0.1,0.1,0.1,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3663.4,58.58,-36.56,1.13,1.321,188
bw=0.05_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.35,0.05,0.1,0.05,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3659.15,58.55,-36.56,1.13,1.319,184
bw=0.05_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.35,0.05,0.1,0.1,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3654.68,58.53,-36.56,1.13,1.315,186
bw=0.1_aw=0.05_nh=0.05_hp=0.05_dv=0.5_br=0.35,0.1,0.05,0.05,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3651.21,58.51,-36.56,1.13,1.321,181
bw=0.15_aw=0.05_nh=0.05_hp=0.05_dv=0.5_br=0.35,0.15,0.05,0.05,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3651.21,58.51,-36.56,1.13,1.321,181
bw=0.15_aw=0.05_nh=0.05_hp=0.1_dv=0.5_br=0.35,0.15,0.05,0.05,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3651.21,58.51,-36.56,1.13,1.321,181
bw=0.1_aw=0.05_nh=0.1_hp=0.05_dv=0.5_br=0.35,0.1,0.05,0.1,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3649.98,58.5,-36.56,1.13,1.32,185
bw=0.1_aw=0.05_nh=0.1_hp=0.1_dv=0.5_br=0.35,0.1,0.05,0.1,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3649.98,58.5,-36.56,1.13,1.32,185
bw=0.05_aw=0.1_nh=0.05_hp=0.1_dv=0.3_br=0.35,0.05,0.1,0.05,0.1,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3647.3,58.49,-36.56,1.129,1.319,182
bw=0.05_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.35,0.05,0.1,0.1,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3641.91,58.46,-36.56,1.129,1.314,184
bw=0.15_aw=0.05_nh=0.05_hp=0.05_dv=0.3_br=0.35,0.15,0.05,0.05,0.05,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3639.38,58.45,-36.56,1.129,1.32,179
bw=0.05_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.55,0.05,0.1,0.1,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3613.19,58.31,-36.56,1.129,1.316,186
bw=0.15_aw=0.05_nh=0.1_hp=0.05_dv=0.5_br=0.55,0.15,0.05,0.1,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3614.92,58.31,-36.56,1.129,1.317,185
bw=0.05_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.55,0.05,0.1,0.1,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3600.56,58.24,-36.56,1.128,1.315,184
bw=0.05_aw=0.1_nh=0.1_hp=0.1_dv=0.3_br=0.55,0.05,0.1,0.1,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3601.48,58.24,-36.56,1.128,1.315,184
bw=0.1_aw=0.05_nh=0.1_hp=0.05_dv=0.5_br=0.55,0.1,0.05,0.1,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3600.56,58.24,-36.56,1.128,1.315,184
bw=0.1_aw=0.05_nh=0.1_hp=0.1_dv=0.5_br=0.55,0.1,0.05,0.1,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3600.56,58.24,-36.56,1.128,1.315,184
bw=0.15_aw=0.05_nh=0.1_hp=0.05_dv=0.3_br=0.55,0.15,0.05,0.1,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3596.34,58.21,-36.56,1.128,1.317,181
bw=0.05_aw=0.1_nh=0.1_hp=0.05_dv=0.3_br=0.55,0.05,0.1,0.1,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3588.9,58.17,-36.56,1.127,1.315,182
bw=0.1_aw=0.05_nh=0.1_hp=0.05_dv=0.3_br=0.55,0.1,0.05,0.1,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3588.9,58.17,-36.56,1.127,1.315,182
bw=0.1_aw=0.05_nh=0.1_hp=0.1_dv=0.3_br=0.55,0.1,0.05,0.1,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3588.9,58.17,-36.56,1.127,1.315,182
bw=0.15_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.35,0.15,0.1,0.05,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3582.36,58.14,-36.56,1.125,1.316,180
bw=0.15_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.35,0.15,0.1,0.05,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3582.36,58.14,-36.56,1.125,1.316,180
bw=0.1_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.35,0.1,0.1,0.05,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3578.43,58.12,-36.56,1.125,1.316,180
bw=0.15_aw=0.05_nh=0.1_hp=0.05_dv=0.5_br=0.35,0.15,0.05,0.1,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3578.86,58.12,-36.56,1.125,1.317,183
