ts,selected,n_selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,captured_spike_day,available_spike_day,equity
2020-09-17,BTCUSDT,1,1.0,-0.0006032912278713942,0.0,0.0,-0.0006032912278713942,-0.0006032912278713942,0.032705296836118114,0,0,3.1555139296774355
2020-09-18,BTCUSDT,1,1.0,0.013468832631050365,0.0,0.0,0.013468832631050365,0.013468832631050365,0.013468832631050365,0,0,3.198015018661209
2020-09-19,BTCUSDT,1,1.0,-0.014472977668277487,0.0,0.0,-0.014472977668277487,-0.014472977668277487,-0.006164653596645198,0,0,3.1517302187133094
2020-09-20,BTCUSDT,1,1.0,-0.04606658437329458,0.0,0.0,-0.04606658437329458,-0.04606658437329458,-0.04606658437329458,0,0,3.0065407726710904
2020-09-21,BTCUSDT,1,1.0,0.010788866895390603,0.0,0.0,0.010788866895390603,0.010788866895390603,0.03994256850262934,0,0,3.0389779408830035
2020-09-22,BTCUSDT,1,1.0,-0.027365685908595005,0.0,0.0,-0.027365685908595005,-0.027365685908595005,-0.005202080832332867,0,0,2.9558142250696506
2020-09-23,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.2924938452674033,0,1,2.951380503732046
2020-09-24,BTCUSDT,1,1.0,-0.004624489583022862,1.0,0.0015,-0.006124489583022861,-0.004624489583022862,0.17433971407802273,0,1,2.9333048045814025
2020-09-25,BTCUSDT,1,1.0,0.003923579562202351,0.0,0.0,0.003923579562202351,0.003923579562202351,0.061047123811375226,0,0,2.9448138593623683
2020-09-26,BTCUSDT,1,1.0,0.004254982010700292,0.0,0.0,0.004254982010700292,0.004254982010700292,0.06106630355085363,0,0,2.957343989358816
2020-09-27,BTCUSDT,1,1.0,-0.007251548831705201,0.0,0.0,-0.007251548831705201,-0.007251548831705201,0.02797988648051497,0,0,2.935898665007831
2020-09-28,BTCUSDT,1,1.0,0.013496482836766965,0.0,0.0,0.013496482836766965,0.013496482836766965,0.0707454003075727,0,0,2.975522970950596
2020-09-29,BTCUSDT,1,1.0,-0.005893650465662037,0.0,0.0,-0.005893650465662037,-0.005893650465662037,0.012839769368670817,0,0,2.9579862786072653
2020-09-30,BTCUSDT,1,1.0,-0.01461130097739649,0.0,0.0,-0.01461130097739649,-0.01461130097739649,0.00021626297577848064,0,0,2.9147662508035257
2020-10-01,BTCUSDT,1,1.0,-0.004588888166921379,0.0,0.0,-0.004588888166921379,-0.004588888166921379,0.0034870205346764216,0,0,2.9013907144458715
2020-10-02,BTCUSDT,1,1.0,-0.0026810716718383976,0.0,0.0,-0.0026810716718383976,-0.0026810716718383976,0.049806949806949774,0,0,2.8936118779924356
