variant,base_rank_weight,xs20_weight,xs90_weight,xs_persist_weight,accel_weight,ret5_weight,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
br0p80_x200p35_x900p20_xp0p10_ac0p30_r50p20,0.8,0.35,0.2,0.1,0.3,0.2,-23.414,12833.7,85.55,-40.48,1.372,1.741,223,69.38,87.05,69.32,50.1138
br0p80_x200p45_x900p20_xp0p10_ac0p30_r50p10,0.8,0.45,0.2,0.1,0.3,0.1,-23.427,11163.04,82.32,-38.68,1.344,1.713,213,69.38,87.39,69.55,50.2951
br1p00_x200p45_x900p10_xp0p10_ac0p25_r50p10,1.0,0.45,0.1,0.1,0.25,0.1,-23.474,11254.96,82.51,-38.88,1.346,1.714,215,69.38,87.39,69.43,50.2812
br1p00_x200p45_x900p10_xp0p10_ac0p20_r50p10,1.0,0.45,0.1,0.1,0.2,0.1,-23.476,11087.07,82.16,-38.68,1.343,1.711,212,69.38,87.39,69.55,50.3049
br0p80_x200p35_x900p10_xp0p10_ac0p30_r50p15,0.8,0.35,0.1,0.1,0.3,0.15,-23.498,11729.7,83.46,-39.47,1.355,1.722,214,69.38,87.27,69.2,50.2399
br0p80_x200p45_x900p10_xp0p15_ac0p20_r50p20,0.8,0.45,0.1,0.15,0.2,0.2,-23.521,12922.93,85.72,-40.8,1.377,1.75,218,69.38,87.16,69.2,50.1296
br1p00_x200p45_x900p10_xp0p15_ac0p20_r50p20,1.0,0.45,0.1,0.15,0.2,0.2,-23.555,12929.14,85.73,-40.9,1.379,1.799,220,69.38,87.16,69.2,50.1309
br0p80_x200p35_x900p10_xp0p15_ac0p20_r50p10,0.8,0.35,0.1,0.15,0.2,0.1,-23.578,10700.45,81.35,-38.37,1.334,1.695,213,69.38,87.39,69.66,50.3351
br0p80_x200p45_x900p10_xp0p10_ac0p20_r50p10,0.8,0.45,0.1,0.1,0.2,0.1,-23.59,10671.21,81.29,-38.37,1.335,1.698,211,69.38,87.5,69.66,50.3489
br0p80_x200p45_x900p20_xp0p10_ac0p25_r50p10,0.8,0.45,0.2,0.1,0.25,0.1,-23.596,10932.6,81.84,-38.68,1.339,1.699,213,69.38,87.39,69.66,50.3147
br0p80_x200p35_x900p20_xp0p10_ac0p20_r50p20,0.8,0.35,0.2,0.1,0.2,0.2,-23.633,12432.5,84.81,-40.48,1.368,1.791,227,69.38,87.16,69.43,50.1448
br0p80_x200p45_x900p10_xp0p15_ac0p20_r50p10,0.8,0.45,0.1,0.15,0.2,0.1,-23.633,10616.35,81.17,-38.37,1.334,1.697,211,69.38,87.61,69.66,50.354
br0p80_x200p35_x900p10_xp0p10_ac0p20_r50p10,0.8,0.35,0.1,0.1,0.2,0.1,-23.65,10839.11,81.64,-38.68,1.338,1.704,213,69.38,87.39,69.55,50.3244
br1p00_x200p45_x900p10_xp0p15_ac0p25_r50p10,1.0,0.45,0.1,0.15,0.25,0.1,-23.656,10585.76,81.1,-38.37,1.333,1.695,211,69.38,87.5,69.66,50.3569
br1p00_x200p45_x900p10_xp0p15_ac0p20_r50p10,1.0,0.45,0.1,0.15,0.2,0.1,-23.694,10533.6,80.99,-38.37,1.332,1.694,210,69.38,87.5,69.66,50.3648
br0p80_x200p35_x900p20_xp0p10_ac0p30_r50p10,0.8,0.35,0.2,0.1,0.3,0.1,-23.713,10733.34,81.42,-38.65,1.335,1.694,217,69.38,87.39,69.66,50.3206
br1p00_x200p45_x900p20_xp0p10_ac0p30_r50p10,1.0,0.45,0.2,0.1,0.3,0.1,-23.793,10953.15,81.88,-39.05,1.34,1.708,214,69.38,87.39,69.55,50.3109
br1p00_x200p45_x900p10_xp0p10_ac0p20_r50p20,1.0,0.45,0.1,0.1,0.2,0.2,-23.799,11701.42,83.4,-39.95,1.355,1.722,220,69.38,87.39,69.32,50.2247
br0p80_x200p35_x900p20_xp0p10_ac0p25_r50p20,0.8,0.35,0.2,0.1,0.25,0.2,-23.801,12184.69,84.34,-40.48,1.363,1.781,224,69.38,87.16,69.43,50.173
br1p00_x200p45_x900p05_xp0p10_ac0p20_r50p15,1.0,0.45,0.05,0.1,0.2,0.15,-23.818,12183.99,84.34,-40.5,1.364,1.734,211,69.38,87.27,69.2,50.2117
br1p00_x200p45_x900p20_xp0p15_ac0p30_r50p15,1.0,0.45,0.2,0.15,0.3,0.15,-23.877,10550.66,81.03,-38.68,1.33,1.69,217,69.38,87.39,69.66,50.337
br0p80_x200p35_x900p20_xp0p15_ac0p20_r50p10,0.8,0.35,0.2,0.15,0.2,0.1,-23.88,9681.97,79.08,-38.17,1.345,1.7,206,69.38,87.5,69.66,50.5254
br0p80_x200p45_x900p20_xp0p15_ac0p30_r50p15,0.8,0.45,0.2,0.15,0.3,0.15,-23.898,10509.57,80.94,-38.68,1.33,1.689,217,69.38,87.39,69.66,50.3415
br1p00_x200p35_x900p10_xp0p10_ac0p20_r50p20,1.0,0.35,0.1,0.1,0.2,0.2,-23.904,12334.38,84.63,-40.87,1.368,1.782,225,69.38,87.05,69.32,50.162
br0p80_x200p35_x900p20_xp0p15_ac0p30_r50p10,0.8,0.35,0.2,0.15,0.3,0.1,-23.914,10790.72,81.54,-39.05,1.336,1.698,217,69.38,87.39,69.66,50.3146
br1p00_x200p45_x900p20_xp0p15_ac0p30_r50p10,1.0,0.45,0.2,0.15,0.3,0.1,-23.926,10775.05,81.51,-39.05,1.336,1.696,214,69.38,87.39,69.66,50.3259
br0p80_x200p35_x900p10_xp0p10_ac0p20_r50p15,0.8,0.35,0.1,0.1,0.2,0.15,-23.954,12241.0,84.45,-40.8,1.365,1.735,216,69.38,87.27,69.2,50.1914
br1p00_x200p45_x900p10_xp0p15_ac0p25_r50p20,1.0,0.45,0.1,0.15,0.25,0.2,-23.954,12241.0,84.45,-40.8,1.365,1.735,216,69.38,87.27,69.2,50.1914
br1p00_x200p35_x900p10_xp0p10_ac0p20_r50p15,1.0,0.35,0.1,0.1,0.2,0.15,-23.984,11428.38,82.86,-39.95,1.349,1.709,221,69.38,87.27,69.32,50.2439
br0p80_x200p45_x900p10_xp0p15_ac0p25_r50p20,0.8,0.45,0.1,0.15,0.25,0.2,-24.013,12055.73,84.1,-40.7,1.362,1.73,215,69.38,87.27,69.32,50.21
br0p80_x200p35_x900p10_xp0p10_ac0p25_r50p15,0.8,0.35,0.1,0.1,0.25,0.15,-24.034,12121.88,84.22,-40.8,1.363,1.732,213,69.38,87.27,69.2,50.2108
br1p00_x200p45_x900p10_xp0p15_ac0p30_r50p20,1.0,0.45,0.1,0.15,0.3,0.2,-24.034,12121.88,84.22,-40.8,1.363,1.732,213,69.38,87.27,69.2,50.2108
br0p80_x200p45_x900p05_xp0p15_ac0p20_r50p20,0.8,0.45,0.05,0.15,0.2,0.2,-24.043,12258.19,84.48,-40.98,1.365,1.729,216,69.38,87.05,69.09,50.1899
br0p80_x200p45_x900p20_xp0p15_ac0p30_r50p10,0.8,0.45,0.2,0.15,0.3,0.1,-24.282,10298.34,80.48,-39.05,1.326,1.681,215,69.38,87.5,69.77,50.3709
br0p80_x200p45_x900p20_xp0p15_ac0p25_r50p10,0.8,0.45,0.2,0.15,0.25,0.1,-24.283,10296.71,80.47,-39.05,1.326,1.68,216,69.38,87.5,69.77,50.3683
br0p80_x200p45_x900p05_xp0p15_ac0p25_r50p20,0.8,0.45,0.05,0.15,0.25,0.2,-24.341,11831.19,83.66,-40.98,1.356,1.71,215,69.38,87.16,69.2,50.226
br0p80_x200p35_x900p10_xp0p10_ac0p20_r50p20,0.8,0.35,0.1,0.1,0.2,0.2,-24.39,12563.05,85.05,-41.93,1.373,1.793,224,69.38,87.16,69.2,50.1488
br1p00_x200p35_x900p10_xp0p15_ac0p20_r50p20,1.0,0.35,0.1,0.15,0.2,0.2,-24.536,11414.93,82.83,-40.87,1.35,1.758,224,69.38,87.27,69.55,50.243
br0p80_x200p35_x900p05_xp0p10_ac0p20_r50p15,0.8,0.35,0.05,0.1,0.2,0.15,-24.58,11067.61,82.12,-40.5,1.342,1.706,213,69.38,87.39,69.32,50.3027
br0p80_x200p35_x900p10_xp0p15_ac0p20_r50p20,0.8,0.35,0.1,0.15,0.2,0.2,-24.661,12162.73,84.3,-41.93,1.365,1.777,225,69.38,87.27,69.43,50.1761
