model,overlay_mode,breadth_threshold,kill_multiplier,cooldown_days,kill_days_pct,start_date,end_date,days,years,start_equity,end_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,active_day_fraction,score
phase20_combo_all_3d,combo_all_3d,0.4,0.0,1.0,50.52421367948078,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,28.666073575962344,2766.6073575962346,84.45311062741423,-19.767563540817957,1.6050490091189697,2.1636103254901347,0.17923115327009487,63.75454488532384
phase20_combo_mixed,combo_mixed,0.5,0.0,1.0,53.020469296055914,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,30.556968520825777,2955.6968520825776,86.61532915579355,-25.856380268970202,1.6469802053940412,2.2485161049364457,0.1692461308037943,63.73295625868771
phase20_combo_all_3d,combo_all_3d,0.5,0.5,0.0,39.79031452820769,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,30.10136315367938,2910.136315367938,86.1045713667083,-18.237534280371904,1.558232582399756,2.4604337689599043,0.29955067398901647,63.62115425423024
phase20_combo_all_3d,combo_all_3d,0.6,0.5,0.0,43.38492261607589,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,29.270418868216122,2827.041886821612,85.15653533856474,-18.815691311269035,1.554840401433056,2.497635654551215,0.29955067398901647,63.03109001094333
phase20_combo_all_3d,combo_all_3d,0.35,0.5,0.0,37.49375936095856,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,29.549974873962036,2854.9974873962037,85.47791322799405,-18.76649085468005,1.5471884650924044,2.3962086464587617,0.29955067398901647,62.96703400070401
phase20_combo_all_3d,combo_all_3d,0.4,0.5,0.0,37.49375936095856,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,29.549974873962036,2854.9974873962037,85.47791322799405,-18.76649085468005,1.5471884650924044,2.3962086464587617,0.29955067398901647,62.96703400070401
phase20_btc_3d_neg,btc_3d_neg,0.35,0.0,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,12.56517158495495,1156.5171584954949,58.68471575216323,-13.94444970226255,1.8573704619490643,1.6117624762215654,0.13779331003494757,62.79057715130497
phase20_btc_3d_neg,btc_3d_neg,0.4,0.0,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,12.56517158495495,1156.5171584954949,58.68471575216323,-13.94444970226255,1.8573704619490643,1.6117624762215654,0.13779331003494757,62.79057715130497
phase20_btc_3d_neg,btc_3d_neg,0.5,0.0,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,12.56517158495495,1156.5171584954949,58.68471575216323,-13.94444970226255,1.8573704619490643,1.6117624762215654,0.13779331003494757,62.79057715130497
phase20_btc_3d_neg,btc_3d_neg,0.6,0.0,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,12.56517158495495,1156.5171584954949,58.68471575216323,-13.94444970226255,1.8573704619490643,1.6117624762215654,0.13779331003494757,62.79057715130497
phase20_combo_all_3d,combo_all_3d,0.5,0.0,1.0,53.27009485771343,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,29.65237515641858,2865.237515641858,85.59501084172403,-27.07715033105218,1.6341018448534717,2.258748262024607,0.17024463305042437,62.68765481662456
phase20_breadth_3d_weak,breadth_3d_weak,0.35,0.0,1.0,55.716425361957064,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,26.95642509227832,2595.642509227832,82.39531891894116,-20.195805744838747,1.5951540084459535,2.0568605680069263,0.1567648527209186,62.65847010932662
phase20_breadth_3d_weak,breadth_3d_weak,0.4,0.0,1.0,55.716425361957064,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,26.95642509227832,2595.642509227832,82.39531891894116,-20.195805744838747,1.5951540084459535,2.0568605680069263,0.1567648527209186,62.65847010932662
phase20_combo_any_3d,combo_any_3d,0.5,0.5,0.0,54.01897154268597,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,19.693598136358993,1869.3598136358994,72.24236349777007,-18.815691311269056,1.712922898482163,2.195839447985648,0.29955067398901647,62.463192292892884
phase20_combo_any_3d,combo_any_3d,0.35,0.25,1.0,66.20069895157265,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.251683717960136,1225.1683717960136,60.23227639085788,-14.86071337800825,1.8256673226060909,2.317629761764923,0.29955067398901647,62.26476578855006
phase20_combo_any_3d,combo_any_3d,0.4,0.25,1.0,66.20069895157265,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.251683717960136,1225.1683717960136,60.23227639085788,-14.86071337800825,1.8256673226060909,2.317629761764923,0.29955067398901647,62.26476578855006
phase20_combo_all_2d,combo_all_2d,0.35,0.25,1.0,54.268597104343485,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.86799133132129,2486.7991331321286,81.02895368445178,-17.58020987039195,1.5647070802118799,2.5657862925046344,0.29955067398901647,62.20374783373753
phase20_combo_all_2d,combo_all_2d,0.4,0.25,1.0,54.268597104343485,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.86799133132129,2486.7991331321286,81.02895368445178,-17.58020987039195,1.5647070802118799,2.5657862925046344,0.29955067398901647,62.20374783373753
phase20_breadth_3d_weak,breadth_3d_weak,0.35,0.5,0.0,42.48627059410884,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,27.867909682188927,2686.790968218893,83.5052701749157,-18.76649085468006,1.5311638155989968,2.3728306415157623,0.29955067398901647,61.8759926947914
phase20_breadth_3d_weak,breadth_3d_weak,0.4,0.5,0.0,42.48627059410884,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,27.867909682188927,2686.790968218893,83.5052701749157,-18.76649085468006,1.5311638155989968,2.3728306415157623,0.29955067398901647,61.8759926947914
phase20_combo_all_2d,combo_all_2d,0.5,0.25,1.0,56.764852720918626,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.25200036254053,2425.200036254053,80.23470898718735,-17.643907345185006,1.5624966012978554,2.5583486955188572,0.29955067398901647,61.85139097440644
phase20_combo_mixed,combo_mixed,0.5,0.0,2.0,64.30354468297553,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.31954589654485,2331.954589654485,79.00174258886904,-18.715893394931882,1.5798128842220827,1.9865921702679274,0.13779331003494757,61.53116399317666
phase20_combo_all_2d,combo_all_2d,0.6,0.25,1.0,59.910134797803295,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.62519662536364,2362.5196625363637,79.4100933220148,-17.580209870391982,1.5604598709803155,2.630155169828105,0.29955067398901647,61.53096647609547
phase20_combo_mixed,combo_mixed,0.35,0.0,2.0,61.80728906640039,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.448871603063896,2344.8871603063894,79.17503149196081,-18.473223833183148,1.5733636335408618,2.0463172448284626,0.14478282576135795,61.50338471075288
phase20_combo_mixed,combo_mixed,0.4,0.0,2.0,61.80728906640039,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.448871603063896,2344.8871603063894,79.17503149196081,-18.473223833183148,1.5733636335408618,2.0463172448284626,0.14478282576135795,61.50338471075288
phase20_combo_any_2d,combo_any_2d,0.6,0.5,0.0,60.90863704443335,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,17.382443032418,1638.2443032418,68.36390438696962,-18.10458128395539,1.7119921579246158,2.3139448281766644,0.29955067398901647,61.29579609836814
phase20_breadth_2d_weak,breadth_2d_weak,0.35,0.5,0.0,44.38342486270594,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,27.101073122406355,2610.1073122406356,82.57349093157056,-19.67542184506795,1.5316534245665034,2.371783006981181,0.29955067398901647,61.289430886691896
