ts,date,selected,gross_exposure,strategy_ret,kill_day,overlay_multiplier,final_ret,final_gross_exposure,final_equity
2018-08-25 00:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-25 04:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-25 08:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-25 12:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-25 16:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-25 20:00:00,2018-08-25,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 00:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 04:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 08:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 12:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 16:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-26 20:00:00,2018-08-26,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 00:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 04:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 08:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 12:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 16:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-27 20:00:00,2018-08-27,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 00:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 04:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 08:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 12:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 16:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-28 20:00:00,2018-08-28,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 00:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 04:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 08:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 12:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 16:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-29 20:00:00,2018-08-29,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-30 00:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-30 04:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
