ts,market_score,n_selected,selected,raw_strategy_ret,turnover,cost,strategy_ret,equity
2024-12-05,45.30096579114191,1,ETHUSDT,0.05644880059177848,2.0,0.002,0.05444880059177848,11.64258172050229
2024-12-06,49.81946035594744,1,ETHUSDT,-0.0006626872091366476,0.0,0.0,-0.0006626872091366476,11.634866330514786
2024-12-07,51.53013389389296,1,ETHUSDT,0.0019843752345967136,0.0,0.0,0.0019843752345967136,11.657954271118903
2024-12-08,51.97792723986079,1,ETHUSDT,-0.0729618021302898,0.0,0.0,-0.0729618021302898,10.80736891834556
2024-12-09,42.671500580254985,1,BTCUSDT,-0.007026056763778543,2.0,0.002,-0.009026056763778543,10.709820993021477
2024-12-10,38.7342892048536,1,BTCUSDT,0.04691851376393741,0.0,0.0,0.04691851376393741,11.212309876691862
2024-12-11,44.375653957314555,1,BTCUSDT,-0.011082422744128628,0.0,0.0,-0.011082422744128628,11.088050318700194
2024-12-12,41.462990176351944,1,ETHUSDT,0.006489575202042408,2.0,0.002,0.004489575202042408,11.13783095445003
2024-12-13,43.8427590974655,1,BTCUSDT,-4.19031937628489e-05,2.0,0.002,-0.002041903193762849,11.115088581852547
2024-12-14,42.518662311809734,0,,0.0,1.0,0.001,-0.001,11.103973493270693
2024-12-15,46.21006022350732,1,BTCUSDT,0.01526526030644626,1.0,0.001,0.014265260306446259,11.262374565588079
2024-12-16,45.339230689898365,1,BTCUSDT,0.0007079101319968917,0.0,0.0,0.0007079101319968917,11.270347314653403
2024-12-17,43.442096358111996,1,BTCUSDT,-0.0558703575319216,0.0,0.0,-0.0558703575319216,10.640668980674786
2024-12-18,31.707546042273556,1,BTCUSDT,-0.027365671293993032,0.0,0.0,-0.027365671293993032,10.34947993100145
2024-12-19,25.493349053148126,0,,0.0,1.0,0.001,-0.001,10.33913045107045
2024-12-20,26.947406866901087,1,BTCUSDT,-0.005249707991702657,1.0,0.001,-0.006249707991702657,10.274513904863138
2024-12-21,21.403558319154087,1,BTCUSDT,-0.02164330280426996,0.0,0.0,-0.02164330280426996,10.052139489253502
2024-12-22,18.98933796288739,1,BTCUSDT,-0.003202142493870186,0.0,0.0,-0.003202142493870186,10.019951106240653
2024-12-23,22.797873858342008,1,BTCUSDT,0.03986141867321402,0.0,0.0,0.03986141867321402,10.419360572371644
2024-12-24,25.502406202215553,1,BTCUSDT,0.0077639591022340415,0.0,0.0,0.0077639591022340415,10.500256061726969
2024-12-25,25.555721839489244,1,BTCUSDT,-0.03658870195595676,0.0,0.0,-0.03658870195595676,10.116065322223212
2024-12-26,21.825407007539376,1,BTCUSDT,-0.01558142885179914,0.0,0.0,-0.01558142885179914,9.95844257014484
2024-12-27,20.992404349308885,1,BTCUSDT,0.01061484937862045,0.0,0.0,0.01061484937862045,10.06414993807257
2024-12-28,24.874671840610926,1,BTCUSDT,-0.01638824763903468,0.0,0.0,-0.01638824763903468,9.899216156611061
2024-12-29,19.988417763689398,0,,0.0,1.0,0.001,-0.001,9.88931694045445
2024-12-30,20.18043328460898,1,BNBUSDT,-0.004338210275603993,1.0,0.001,-0.005338210275603993,9.836525687144212
2024-12-31,21.345115060235354,1,BTCUSDT,0.010855240659998211,2.0,0.002,0.008855240659998211,9.923630489362129
2025-01-01,23.46733404533353,0,,0.0,1.0,0.001,-0.001,9.913706858872766
2025-01-02,27.829365862313768,1,BTCUSDT,0.012263675572221189,1.0,0.001,0.011263675572221188,10.025371636649215
2025-01-03,31.6968159045582,1,BTCUSDT,0.0004718144831972193,0.0,0.0,0.0004718144831972193,10.030101752186821
2025-01-04,32.996440148057495,1,BTCUSDT,0.0014570278098766654,0.0,0.0,0.0014570278098766654,10.04471588937565
2025-01-05,33.88301626850178,1,BTCUSDT,0.039364049367443865,0.0,0.0,0.039364049367443865,10.440116581526981
2025-01-06,38.53671243012534,1,BTCUSDT,-0.05165509861535522,0.0,0.0,-0.05165509861535522,9.9008313299524
2025-01-07,31.243723896537823,1,BTCUSDT,-0.01953491432743626,0.0,0.0,-0.01953491432743626,9.707419438151383
2025-01-08,29.345718849958622,1,BTCUSDT,-0.026384429891623817,0.0,0.0,-0.026384429891623817,9.451294710556892
2025-01-09,22.725178205998358,1,BTCUSDT,0.02348526765730452,0.0,0.0,0.02348526765730452,9.673260896542388
2025-01-10,25.815932536091214,1,BTCUSDT,-0.0013314174940783907,0.0,0.0,-0.0013314174940783907,9.660381747759947
2025-01-11,27.060403659914936,1,XRPUSDT,-0.02786834342493405,2.0,0.002,-0.029868343424934052,9.371842148101889
2025-01-12,23.625443015739563,1,XRPUSDT,0.007426335542601636,0.0,0.0,0.007426335542601636,9.441440592545991
2025-01-13,23.776735079882794,1,XRPUSDT,0.05711001902346213,0.0,0.0,0.05711001902346213,9.98064144439518
2025-01-14,26.898607165846432,1,XRPUSDT,0.17830765193266607,0.0,0.0,0.17830765193266607,11.760266185127138
2025-01-15,36.26330559240647,0,,0.0,1.0,0.001,-0.001,11.74850591894201
2025-01-16,34.74768849756926,0,,0.0,0.0,0.0,0.0,11.74850591894201
2025-01-17,38.88065220073316,0,,0.0,0.0,0.0,0.0,11.74850591894201
2025-01-18,40.46902682020912,0,,0.0,0.0,0.0,0.0,11.74850591894201
2025-01-19,34.26154445485338,0,,0.0,0.0,0.0,0.0,11.74850591894201
2025-01-20,34.27174200971424,1,BTCUSDT,0.03797975376689289,1.0,0.001,0.03697975376689289,12.18296277495337
2025-01-21,36.08607081920525,1,BTCUSDT,-0.022960922265658046,0.0,0.0,-0.022960922265658046,11.903230713712261
2025-01-22,34.570722588628335,1,BTCUSDT,0.0019640011547956693,0.0,0.0,0.0019640011547956693,11.92660867257979
2025-01-23,34.175974527808684,1,BTCUSDT,0.009240273874573157,0.0,0.0,0.009240273874573157,12.036813803109288
2025-01-24,33.8484901291989,1,BTCUSDT,-0.0011790732379457491,0.0,0.0,-0.0011790732379457491,12.022621518083906
2025-01-25,34.47753947360102,1,BTCUSDT,-0.020304667873067395,0.0,0.0,-0.020304667873067395,11.778506181195619
2025-01-26,31.23055865585751,1,BNBUSDT,0.018535445105413828,2.0,0.002,0.016535445105413826,11.973269023578556
2025-01-27,31.76852534056288,1,BNBUSDT,-0.027142731044222823,0.0,0.0,-0.027142731044222823,11.64828180275144
2025-01-28,27.173040520914025,1,BNBUSDT,0.010101468342179842,0.0,0.0,0.010101468342179842,11.765946552622722
2025-01-29,28.853456279310382,1,BTCUSDT,0.00954081835292131,2.0,0.002,0.00754081835292131,11.85467141832623
2025-01-30,30.887869945554343,1,BTCUSDT,-0.021899499765762886,0.0,0.0,-0.021899499765762886,11.5950600443774
2025-01-31,27.656162166646425,1,BTCUSDT,-0.01751359666096397,0.0,0.0,-0.01751359666096397,11.391988839500515
2025-02-01,19.20647489249139,1,BTCUSDT,-0.029165211334154395,0.0,0.0,-0.029165211334154395,11.059739077480154
2025-02-02,9.461370240197095,0,,0.0,1.0,0.001,-0.001,11.048679338402675
2025-02-03,15.611645496828947,1,BTCUSDT,-0.03518644109279401,1.0,0.001,-0.03618644109279401,10.648866954370396
2025-02-04,10.156859641462546,1,BTCUSDT,-0.011770285996367091,0.0,0.0,-0.011770285996367091,10.523526744780193
2025-02-05,7.414644525280762,0,,0.0,1.0,0.001,-0.001,10.513003218035413
2025-02-06,5.588806092817812,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-07,4.834971261196975,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-08,4.316651258247352,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-09,3.9185405381143723,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-10,5.368141918622177,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-11,4.479387036804313,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-12,7.966195362601804,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-13,5.697832663030798,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-14,6.80641804248653,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-15,5.642877445383159,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-16,4.49619738538138,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-17,2.4836624612964626,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-18,1.0841776233167963,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-19,2.9792049647103327,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-20,5.347932357580293,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-21,2.5264610284586224,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-22,4.605651143528225,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-23,3.6150025292952863,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-24,-8.389011267067097,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-25,-7.301401309043413,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-26,-13.106177255458007,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-27,-14.960439988849117,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-02-28,-14.51248237247213,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-01,-15.411229911148576,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-02,-3.8249415576141415,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-03,-18.973729063503452,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-04,-16.908224178882403,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-05,-14.890488376558704,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-06,-14.814393978058366,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-07,-17.310681248421382,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-08,-17.451807104849255,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-09,-24.419397725538605,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-10,-28.1104447741579,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-11,-23.833196732827275,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-12,-23.33982643520297,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-13,-24.689392140733922,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-14,-21.319516037344684,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-15,-19.121524995947595,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-16,-22.451463122640817,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-17,-20.64092939101532,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-18,-21.73478559177419,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-19,-17.179813619748707,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-20,-19.14723893709907,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-21,-19.768578400798628,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-22,-18.003661123724935,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-23,-15.720705726845807,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-24,-12.308541110577355,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-25,-11.58139299903359,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-26,-12.867360077882768,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-27,-11.35347660655739,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-28,-17.83888539845155,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-29,-23.012428656343047,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-30,-23.58710883969365,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-03-31,-27.882711790254852,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-01,-25.202083514298685,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-02,-33.86660182513011,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-03,-32.75783506847298,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-04,-31.442237685022018,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-05,-34.09553261389157,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-06,-39.211175425718224,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-07,-38.46402450861474,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-08,-39.676144090401195,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-09,-34.19032202688048,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-10,-37.43575168451118,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-11,-35.08622085720371,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-12,-29.8726840396994,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-13,-30.42773083334684,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-14,-28.275391958129234,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-15,-29.324771583959908,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-16,-27.592292129779356,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-17,-25.675242906276264,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-18,-25.745325420717887,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-19,-23.77504305866228,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-20,-24.13962757164703,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-21,-22.15750831599478,0,,0.0,0.0,0.0,0.0,10.513003218035413
