ts,daily_selected,selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,kill_day,equity
2024-12-01 08:00:00,BTCUSDT,BTCUSDT,1.0,-0.0008327764842126495,0.0,0.0,-0.0008327764842126495,-0.0008327764842126495,0.0706195213237466,0,7.385761863691743
2024-12-01 12:00:00,BTCUSDT,BTCUSDT,1.0,0.0015532626554679574,0.0,0.0,0.0015532626554679574,0.0015532626554679574,0.11738101498816711,0,7.397233891776795
2024-12-01 16:00:00,BTCUSDT,BTCUSDT,1.0,6.637254880770271e-05,0.0,0.0,6.637254880770271e-05,6.637254880770271e-05,0.0887978142076502,0,7.397724865044318
2024-12-01 20:00:00,BTCUSDT,BTCUSDT,1.0,-0.0072174584643460715,0.0,0.0,-0.0072174584643460715,-0.0072174584643460715,0.04546462630294967,0,7.344332093100201
2024-12-02 00:00:00,TRXUSDT,TRXUSDT,1.0,0.01245807379012942,2.0,0.003,0.009458073790129421,0.01245807379012942,0.049258474576271194,0,7.413795327975959
2024-12-02 04:00:00,TRXUSDT,TRXUSDT,1.0,-0.026975863700899105,0.0,0.0,-0.026975863700899105,-0.026975863700899105,-0.002019182231196348,0,7.213801795702117
2024-12-02 08:00:00,TRXUSDT,TRXUSDT,1.0,0.03356031128404657,0.0,0.0,0.03356031128404657,0.03356031128404657,0.16655145597511445,0,7.455899229507294
2024-12-02 12:00:00,TRXUSDT,TRXUSDT,1.0,0.0065882352941177835,0.0,0.0,0.0065882352941177835,0.0065882352941177835,0.0922018348623852,0,7.505020447960519
2024-12-02 16:00:00,TRXUSDT,TRXUSDT,1.0,0.03319308087891537,0.0,0.0,0.03319308087891537,0.03319308087891537,0.08543857746936978,0,7.754135198687586
2024-12-02 20:00:00,TRXUSDT,TRXUSDT,1.0,0.01674208144796374,0.0,0.0,0.01674208144796374,0.01674208144796374,0.07968724005989025,0,7.883955561742536
2024-12-03 00:00:00,TRXUSDT,TRXUSDT,1.0,0.01424121050289262,0.0,0.0,0.01424121050289262,0.01424121050289262,0.03760330578512394,1,7.996232632492763
