ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2018-12-21,CASH,-50.19772515012624,CASH,,CASH,
2018-12-22,CASH,-45.768476914255636,CASH,,CASH,
2018-12-23,CASH,-42.32697532798199,CASH,,CASH,
2018-12-24,CASH,-41.97213380971986,CASH,,CASH,
2018-12-25,CASH,-44.62432436635878,CASH,,CASH,
2018-12-26,CASH,-40.50766196447397,CASH,,CASH,
2018-12-27,CASH,-46.762049501979774,CASH,,CASH,
2018-12-28,CASH,-37.84357266564838,CASH,,CASH,
2018-12-29,CASH,-41.28018613609362,CASH,,CASH,
2018-12-30,CASH,-37.59975799742986,CASH,,CASH,
2018-12-31,CASH,-39.61977417068454,CASH,,CASH,
2019-01-01,CASH,-38.50049362172727,CASH,,CASH,
2019-01-02,CASH,-35.13738263052962,CASH,,CASH,
2019-01-03,CASH,-38.20384238043513,CASH,,CASH,
2019-01-04,CASH,-37.35206336697099,CASH,,CASH,
2019-01-05,CASH,-37.460799519906274,CASH,,CASH,
2019-01-06,CASH,-35.58995658357221,CASH,,CASH,
2019-01-07,CASH,-38.806461829366654,CASH,,CASH,
2019-01-08,CASH,-37.3116658383245,CASH,,CASH,
2019-01-09,CASH,-37.378659263175805,CASH,,CASH,
2019-01-10,CASH,-49.83208586058514,CASH,,CASH,
2019-01-11,CASH,-50.899325253031634,CASH,,CASH,
2019-01-12,CASH,-51.48235399762037,CASH,,CASH,
2019-01-13,CASH,-54.20199427078338,CASH,,CASH,
2019-01-14,CASH,-50.08007962022184,CASH,,CASH,
2019-01-15,CASH,-52.55652603913421,CASH,,CASH,
2019-01-16,CASH,-49.62455249131976,CASH,,CASH,
2019-01-17,CASH,-51.084658879002994,CASH,,CASH,
2019-01-18,CASH,-51.12251840182263,CASH,,CASH,
2019-01-19,CASH,-47.51683126168958,CASH,,CASH,
2019-01-20,CASH,-50.81778183810773,CASH,,CASH,
2019-01-21,CASH,-49.758493951534824,CASH,,CASH,
2019-01-22,CASH,-48.6815267266688,CASH,,CASH,
2019-01-23,CASH,-49.11168622791482,CASH,,CASH,
2019-01-24,CASH,-49.259534408683685,CASH,,CASH,
2019-01-25,CASH,-48.721051415250706,CASH,,CASH,
2019-01-26,CASH,-45.73329140599456,CASH,,CASH,
2019-01-27,CASH,-46.0149799726909,CASH,,CASH,
2019-01-28,CASH,-48.468883302846365,CASH,,CASH,
2019-01-29,CASH,-48.04481932121212,CASH,,CASH,
