profile,decision_date,asset,state,state_weeks,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible
phase68_dynamic_admit_fast,2020-07-11,TAO,WATCHLIST,63,717,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,THETA,APPROVED,4,2545,1,100.0,21.69231195188022,0.0,-3.546142087634653,10,30.065389939850274,True
phase68_dynamic_admit_fast,2020-07-11,TIA,WATCHLIST,63,880,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,TON,WATCHLIST,63,598,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,TRUMP,WATCHLIST,63,434,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,TRX,APPROVED,16,2644,1,100.0,10.977335832405522,0.0,1.267124520052466,7,14.470983010428203,True
phase68_dynamic_admit_fast,2020-07-11,TWT,WATCHLIST,63,1887,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,UNI,WATCHLIST,63,2019,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,VET,WATCHLIST,2,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,VIRTUAL,WATCHLIST,63,352,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,WAL,WATCHLIST,63,170,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,WIF,WATCHLIST,63,754,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,WLD,WATCHLIST,63,979,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,WLFI,WATCHLIST,63,209,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,XAUT,WATCHLIST,63,3,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,XLM,SUSPENDED,1,2644,1,100.0,-4.673560107318828,0.0,-4.806041624388925,10,-2.8919501341485345,False
phase68_dynamic_admit_fast,2020-07-11,XPL,WATCHLIST,63,185,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,XRP,WATCHLIST,2,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,XTZ,WATCHLIST,3,2378,1,100.0,3.418283403823441,0.0,-1.2690241276511287,10,7.2228542547793015,True
phase68_dynamic_admit_fast,2020-07-11,ZEC,APPROVED,7,2565,1,100.0,0.5716865035888077,0.0,0.38071987266382656,3,2.3935283204902698,True
phase68_dynamic_admit_fast,2020-07-11,ZK,WATCHLIST,63,650,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-11,ZRO,WATCHLIST,63,647,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,2Z,WATCHLIST,64,178,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,AAVE,WATCHLIST,64,1991,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,ADA,WATCHLIST,2,2644,1,100.0,53.04395779763513,0.0,1.267124520052466,14,67.75426046696522,True
phase68_dynamic_admit_fast,2020-07-18,ALGO,WATCHLIST,1,2472,1,100.0,-24.01694063157891,-15.056031834579642,-12.387125025813361,22,-71.03927129321255,False
phase68_dynamic_admit_fast,2020-07-18,APT,WATCHLIST,64,1257,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,ARB,WATCHLIST,64,1102,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,ASTER,WATCHLIST,64,174,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,ATOM,APPROVED,6,2526,1,100.0,7.19626234383237,7.009232498246568,-1.1329166541965705,8,32.773025424530175,True
phase68_dynamic_admit_fast,2020-07-18,AVAX,WATCHLIST,64,2014,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,AXS,WATCHLIST,64,1971,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_fast,2020-07-18,BCH,WATCHLIST,64,2313,1,100.0,0.0,0.0,0.0,0,1.95,False
