date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2025-01-27,9.815703256515102,10.564135268684373,1.2490433252605713,-0.025817941670547476,-0.025361407457277947,0.0,False
2025-01-28,9.746637153879828,10.508835701050032,1.256112147971282,-0.007036286736707485,-0.006575309470806028,0.0,False
2025-01-29,9.652342155843703,10.431904467778464,1.2583912400927293,-0.009674618696417602,-0.009212208925180673,0.0,False
2025-01-30,9.731264056784408,10.678736874613959,1.0,0.008176450820583834,0.011755455337067788,0.0032790045164839536,True
2025-01-31,10.146942796618896,10.780619724109533,1.0035499782935524,0.042715801093146474,0.04301803240393838,0.0,False
2025-02-01,10.348071314257119,10.544529544986617,1.25,0.019821587809210894,0.020635866452339835,0.00035714311951497873,True
2025-02-02,10.130036301796858,10.359857936998146,1.0,-0.021070111119147427,-0.01751349903289634,0.003256612086251085,True
2025-02-03,9.830455128993279,10.05770949145563,1.0036331632394198,-0.029573553724623863,-0.029271270128591858,0.0,False
2025-02-04,9.816143163038245,10.431182828906731,0.0,-0.001455880299257411,0.0,0.001455880299257411,True
2025-02-05,9.816143163038245,10.064148651430925,0.0,0.0,0.0,0.0,False
2025-02-06,9.816143163038245,9.945690755610459,0.0,0.0,0.0,0.0,False
2025-02-07,9.816143163038245,9.939710726786082,0.0,0.0,0.0,0.0,False
2025-02-08,9.816143163038245,9.934815729874408,0.0,0.0,0.0,0.0,False
2025-02-09,9.816143163038245,9.928428042001235,0.0,0.0,0.0,0.0,False
2025-02-10,9.816143163038245,9.93028103767758,0.0,0.0,0.0,0.0,False
2025-02-11,9.816143163038245,10.029938233477456,0.0,0.0,0.0,0.0,False
2025-02-12,9.816143163038245,9.859811612106238,0.0,0.0,0.0,0.0,False
2025-02-13,9.816143163038245,10.07514926909615,0.0,0.0,0.0,0.0,False
2025-02-14,9.816143163038245,9.945247066090179,0.0,0.0,0.0,0.0,False
2025-02-15,9.816143163038245,10.037108297302861,0.0,0.0,0.0,0.0,False
2025-02-16,9.816143163038245,10.044232036236359,0.0,0.0,0.0,0.0,False
2025-02-17,9.816143163038245,9.894803376569898,0.0,0.0,0.0,0.0,False
2025-02-18,9.816143163038245,9.859996911673873,0.0,0.0,0.0,0.0,False
2025-02-19,9.816143163038245,9.848851142680667,0.0,0.0,0.0,0.0,False
2025-02-20,9.816143163038245,9.948977764051884,0.0,0.0,0.0,0.0,False
2025-02-21,9.816143163038245,10.119931027383158,0.0,0.0,0.0,0.0,False
2025-02-22,9.816143163038245,9.901378422894792,0.0,0.0,0.0,0.0,False
2025-02-23,9.816143163038245,9.939366893143916,0.0,0.0,0.0,0.0,False
2025-02-24,9.816143163038245,9.909203211859172,0.0,0.0,0.0,0.0,False
2025-02-25,9.816143163038245,9.424838377599341,0.0,0.0,0.0,0.0,False
2025-02-26,9.816143163038245,9.129132180358246,0.0,0.0,0.0,0.0,False
2025-02-27,9.816143163038245,8.673058472308009,0.0,0.0,0.0,0.0,False
2025-02-28,9.816143163038245,8.720256331068562,0.0,0.0,0.0,0.0,False
2025-03-01,9.816143163038245,8.683338480543545,0.0,0.0,0.0,0.0,False
