signal_data_day,selected_asset,target_exposure,source_file,source_row,signal_available_at,availability_basis,availability_source_file
2018-08-07,CASH,0.0,signal_lineage.csv,96,2018-08-08 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-08,CASH,0.0,signal_lineage.csv,97,2018-08-09 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-09,CASH,0.0,signal_lineage.csv,98,2018-08-10 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-10,CASH,0.0,signal_lineage.csv,99,2018-08-11 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-11,CASH,0.0,signal_lineage.csv,100,2018-08-12 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-12,CASH,0.0,signal_lineage.csv,101,2018-08-13 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-13,CASH,0.0,signal_lineage.csv,102,2018-08-14 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-14,CASH,0.0,signal_lineage.csv,103,2018-08-15 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-15,CASH,0.0,signal_lineage.csv,104,2018-08-16 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-16,CASH,0.0,signal_lineage.csv,105,2018-08-17 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-17,CASH,0.0,signal_lineage.csv,106,2018-08-18 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-18,CASH,0.0,signal_lineage.csv,107,2018-08-19 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-19,CASH,0.0,signal_lineage.csv,108,2018-08-20 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-20,CASH,0.0,signal_lineage.csv,109,2018-08-21 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-21,CASH,0.0,signal_lineage.csv,110,2018-08-22 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-22,CASH,0.0,signal_lineage.csv,111,2018-08-23 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-23,CASH,0.0,signal_lineage.csv,112,2018-08-24 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-24,CASH,0.0,signal_lineage.csv,113,2018-08-25 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-25,CASH,0.0,signal_lineage.csv,114,2018-08-26 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-26,CASH,0.0,signal_lineage.csv,115,2018-08-27 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-27,CASH,0.0,signal_lineage.csv,116,2018-08-28 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-28,CASH,0.0,signal_lineage.csv,117,2018-08-29 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-29,CASH,0.0,signal_lineage.csv,118,2018-08-30 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-30,CASH,0.0,signal_lineage.csv,119,2018-08-31 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
