policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_1.5__growth,asset,AVAX,0.14383809423884245,0.007091522800682443,2.880626943745132,674
aggressive_1.5__growth,asset,DOT,-0.020919998397195824,0.0017128834597173268,0.7689561927037895,105
aggressive_1.5__growth,cost,fee,,0.020565979240571103,0.0,0
aggressive_1.5__growth,cost,slippage,,0.045702176090158,0.0,0
aggressive_1.5__growth,cost,funding,,0.042323008964210825,0.0,0
aggressive_2.5__calmar,event,entry,-0.16316813989608112,0.0284437103657509,19.61635197637995,191
aggressive_2.5__calmar,event,funding,-0.2043034435283541,0.035631909988099945,0.0,1366
aggressive_2.5__calmar,event,mark,1.035971218697448,0.0,0.0,5417
aggressive_2.5__calmar,event,rotation,-0.13519876741143316,0.02356919140447287,16.25461476170542,164
aggressive_2.5__calmar,event,resize,-0.01632676151388915,0.002847297422488684,1.9636533948197807,220
aggressive_2.5__calmar,event,stop,-0.0191418382195832,0.0033362571172948874,2.3008669774447497,23
aggressive_2.5__calmar,event,boundary_exit,-0.0017755290511625064,0.0003096181725433112,0.2135297741678008,4
aggressive_2.5__calmar,regime,up_normal_vol,0.6851818570576347,0.07328857382201677,32.496529545103485,5479
aggressive_2.5__calmar,regime,up_high_vol,-0.04580721457725472,0.0005829372381472383,0.3205377087121153,93
aggressive_2.5__calmar,regime,down_high_vol,-0.07364492676302271,0.0011340710217598987,0.6621077190325049,78
aggressive_2.5__calmar,regime,down_normal_vol,-0.06967297664041373,0.0191324023887268,6.869841911669621,1735
aggressive_2.5__calmar,asset,LTC,0.0645740599722814,0.00435548558943836,2.445486822263906,113
aggressive_2.5__calmar,asset,DOGE,-0.029251081513547786,0.0037043355591505566,1.8111821997174893,589
aggressive_2.5__calmar,asset,ADA,-0.19526620326507807,0.004324515915847514,2.358558008179111,191
aggressive_2.5__calmar,asset,LINK,-0.05679882763767797,0.007090789144020977,3.730319355948159,345
aggressive_2.5__calmar,asset,BNB,-0.32950005119754455,0.008585444916789454,3.754546352279044,706
aggressive_2.5__calmar,asset,BTC,0.10297999649957373,0.007455112244908442,3.4472453445528983,323
aggressive_2.5__calmar,asset,TRX,0.7439360900279732,0.0243284605640983,7.532405663705324,1903
aggressive_2.5__calmar,asset,XRP,0.029344910225129667,0.0077805805798314455,3.370483910119464,986
aggressive_2.5__calmar,asset,ETH,-0.057190983663873846,0.008326959952354735,3.8626197724497566,597
aggressive_2.5__calmar,asset,SOL,0.11455105366418011,0.010023016654656753,4.653897193753566,862
aggressive_2.5__calmar,asset,AVAX,0.129597774362724,0.006450399889836741,2.613316068845201,665
aggressive_2.5__calmar,asset,DOT,-0.020919998397197447,0.0017128834597173266,0.7689561927037895,105
aggressive_2.5__calmar,cost,fee,,0.018157057598032957,0.0,0
aggressive_2.5__calmar,cost,slippage,,0.04034901688451768,0.0,0
aggressive_2.5__calmar,cost,funding,,0.035631909988099945,0.0,0
aggressive_2.5__defensive,event,entry,-0.0816212508139786,0.014233002525630159,9.815863810779417,203
aggressive_2.5__defensive,event,funding,-0.1188005122180679,0.02072059321725393,0.0,1193
aggressive_2.5__defensive,event,mark,0.4834881135479789,0.0,0.0,4704
aggressive_2.5__defensive,event,rotation,-0.060191113716451,0.010496188498978128,7.238750688950429,153
aggressive_2.5__defensive,event,partial_tp,-0.0055832560161801735,0.0009737018931375819,0.6715185469914355,26
aggressive_2.5__defensive,event,stop,-0.014295749356908586,0.0024929519208537437,1.7192771867956849,47
aggressive_2.5__defensive,event,resize,-0.00573000911972494,0.0009993742525494867,0.6892236224479213,112
aggressive_2.5__defensive,event,boundary_exit,-0.0008074397906608088,0.00014081760818351804,0.09711559185070211,3
aggressive_2.5__defensive,regime,up_normal_vol,0.2212117316941167,0.035309426141762204,15.442404829804515,4482
aggressive_2.5__defensive,regime,up_high_vol,-0.014221050663502759,0.00019461367417412695,0.10737191128838514,93
aggressive_2.5__defensive,regime,down_high_vol,-0.02497656468152381,0.0003734315424194484,0.21732967278872412,76
aggressive_2.5__defensive,regime,down_normal_vol,0.014444666166917254,0.014179158558230735,4.464643033933951,1790
aggressive_2.5__defensive,asset,LTC,0.02204630700260343,0.0014573036025302313,0.8184155384398271,113
aggressive_2.5__defensive,asset,DOGE,0.007384507011507213,0.0017350567280956717,0.8441171363868142,417
aggressive_2.5__defensive,asset,ADA,-0.05309908870552136,0.0014309393745121674,0.7813363503434088,188
aggressive_2.5__defensive,asset,LINK,-0.0021221178842291905,0.002815798148370659,1.3871058648957653,344
aggressive_2.5__defensive,asset,BNB,-0.09737209965327343,0.005630545163964169,2.1789512512231077,711
aggressive_2.5__defensive,asset,BTC,0.05700803413563185,0.00413644418072787,1.9940225182176128,326
