policy,ablation,delta_cagr,delta_dd,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,asset_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,fold_returns,profitable_fold_fraction,worst_fold_return
robust_1.25__growth,no_slippage,0.04717792737382287,-0.029262962626313005,0.07709360371379459,0.7318817558220052,0.10533614631124084,0.3895787693677498,0.53077348634714,44.54307413182344,0.05548685456456385,1.1418390763589235,0.053227789221448774,-0.05117360426230155,1.40023353685549,0.8192633995436672,0.4257731542908155,"[-0.15114173236653783, 0.129173575524287, -0.4338441522037587, 0.12784414165818458, -0.03148875605092173, -0.07193169276760582, 0.06752040078034512, 0.07511763866407686, 0.07718976049028077, 0.024132401100336046, 0.5961818497307468, 0.017019719731385288]",0.4257731542908181,2.886579864025407e-15,2.55351295663786e-15,False,2094,209,"[0.8644177750828133, -0.09276987807126125, -0.34439571414932035, 0.06605826904490653, 0.22881358907820726, 0.053759499540564804]",0.6666666666666666,-0.34439571414932035
robust_1.25__growth,no_funding,0.03751938692831147,-0.013143021209355288,0.06743506326828319,0.7480016972389629,0.09015362333695323,0.3618837433622885,0.45372849580012575,44.5055123839437,0.06453299295671838,1.1405889262424564,0.04381649766464846,-0.061852696446781597,1.6479830395543118,0.9324320641549065,0.374131632514417,"[-0.15921775421443357, 0.12340616695904139, -0.439105463233955, 0.11727601561583485, -0.03610515641963136, -0.07309827032023228, 0.06778782853102494, 0.0627837729534088, 0.06809478314142228, 0.013741402795586381, 0.6165625849445258, 0.012005721761823102]",0.3741316325144157,1.7208456881689926e-15,1.27675647831893e-15,False,2094,209,"[0.8147801836894883, -0.09805125576040219, -0.3794095057463659, 0.08221368510510896, 0.2595421668107416, 0.04989668618784515]",0.6666666666666666,-0.3794095057463659
robust_1.25__growth,zero_cost,0.10871642990725339,-0.059105518217151154,0.1386321062472251,0.7020392002311671,0.19747060591712887,0.5609309634194714,1.1049875724094558,44.53086903745191,0.0,1.140588926242456,0.11334032977387043,-0.000857113849259572,0.9166573698214487,0.47212003843132433,0.7443095632734293,"[-0.1401308913488627, 0.15195805947613933, -0.4071028524049558, 0.15629155685611884, -0.02141121432450792, -0.06674132874917874, 0.10168735372071375, 0.09622077297880356, 0.0878665866656049, 0.05337931987961771, 0.6822768466031729, 0.050015353920764415]",0.7443095632734305,8.881784197001252e-16,1.1102230246251565e-15,False,2094,209,"[0.9699007437959941, -0.08670502191394469, -0.2702107071793489, 0.11561278592690316, 0.3213937699508036, 0.08755416808000249]",0.6666666666666666,-0.2702107071793489
robust_1.25__growth,no_protection,0.05782541392106211,-0.04217890996318241,0.08774109026103383,0.7189658084851358,0.12203791783354023,0.4113199517303574,0.6195824617212553,43.43858863918455,0.10389615906478186,1.1432073793822597,0.048721073200121534,-0.0610892484346508,1.240697290658669,0.8573177308441443,0.482168376345479,"[-0.2225793245121852, 0.18885030014704987, -0.46789102887504186, 0.09961013880900921, -0.0013902823373942313, -0.02091999839719591, 0.044138653088341265, 0.058309989300193266, 0.04170140431843927, 0.15315974295748597, 0.5982249981731252, 0.010953783673650838]",0.4821683763454777,1.2212453270876722e-15,1.27675647831893e-15,False,2094,199,"[0.6821587308105386, -0.100559871239977, -0.15356421024243005, 0.04672203299855293, 0.20807186290228374, 0.0001051824475135632]",0.6666666666666666,-0.15356421024243005
robust_1.25__growth,no_resize,0.024154403070319796,-0.0030372736932987587,0.054070079410291516,0.7581074447550195,0.07132244879584862,0.32456072921735063,0.3524216780883147,43.656201602117136,0.1023774550127263,1.150016628418745,0.01887701808227682,-0.10087448873139482,2.103563746115375,1.496615242259108,0.30189682106970467,"[-0.16703397210335177, 0.11839559890571631, -0.4749165842854826, 0.10845930005502882, 0.046315503091299, -0.07683354628506579, 0.08238147600930926, 0.06424264618461964, 0.062370672125736645, 0.044407261754558516, 0.635059207869711, -0.14095074225237872]",0.3018968210697011,4.385380947269368e-15,3.552713678800501e-15,False,2094,209,"[1.0452198046504848, -0.09923046200328067, -0.3956665003986728, 0.1046885369246684, 0.06996830962540757, 0.027711016232441876]",0.6666666666666666,-0.3956665003986728
robust_1.25__growth,BTC_substitution,-0.029571500564983477,-0.4154318692247141,0.00034417577498824237,0.3457128492236041,0.000995553899026855,0.08282754941341977,0.001974788061206212,10.791768000535031,0.04261811193770501,1.1355033049557277,-0.01553263698799967,-0.06218002161075731,0.9999999999993379,71.40714479878649,0.001972840730552705,"[0.0, 0.0, 0.0, 0.001972840730551399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.001972840730551425,1.3062467774105357e-15,1.2802259252708836e-15,False,2094,43,"[-0.045156796753365924, -0.06226971317306629, -0.0845942304250995, 0.1430079469136536, -0.07534612108485494, 0.15665728786914124]",0.3333333333333333,-0.0845942304250995
robust_1.25__growth,entry_plus_one,0.07974657338904656,-0.14572226209733785,0.10966224972901828,0.6154224563509804,0.17819019861452215,0.5177967256942373,0.8158568758752589,29.84429816410765,0.07099018249302784,1.1380241388794932,0.07855163809592614,0.002917425882679181,0.6460898630972814,0.4400039556552291,0.5965574642291862,"[-0.1960426603141981, 0.38542973039349626, -0.2830490889673944, 0.08057620392069952, 0.17505423602213055, -0.1036457474927816, 0.12469707618127793, 0.07346430396255266, -0.06404500677186309, 0.06334292129593443, 0.369979691111312, -0.029204195111984067]",0.5965574642291819,3.9968028886505635e-15,4.3298697960381105e-15,False,2094,134,"[0.8170945839626427, -0.006370164643441978, -0.3019601364809503, 0.23204121675135303, 0.08308841483218599, 0.0797173624627463]",0.6666666666666666,-0.3019601364809503
robust_1.25__growth,all_signals_plus_one,0.09143458041002472,-0.17746492663594204,0.12135025674999644,0.5836797918123762,0.2079055304847773,0.5169303797080073,0.928278501883743,44.054269157487624,0.09951965586400474,1.1411446681837045,0.08991763875983838,0.017811115211127992,0.5019858670635283,0.3465813915333609,0.6566276369408024,"[-0.3674885275067554, 0.3147115949019752, -0.3879633234469918, 0.14665229048039988, 0.11893960610841241, -0.04940513843546748, 0.32961779366760435, 0.13464726412857067, 0.024102949787307034, 0.15877653003404246, 0.1945856019223157, 0.03945099529938898]",0.6566276369408017,4.440892098500626e-16,6.661338147750939e-16,False,2094,207,"[0.7760220122303281, -0.09018312882625523, -0.04736125704256666, 0.12997466335853947, 0.14732809783315637, -0.03376480133897186]",0.5,-0.09018312882625523
robust_1.25__defensive,no_fee,0.009471406918546643,-0.01254820390908673,0.04433301223928776,0.3470879789870609,0.12772845769153085,0.3754848730884052,0.2823457797342561,20.233811180564537,0.04095623248473981,1.0630122519358802,0.03252369015316492,-0.006200470587438778,1.2421869177725788,0.48925493093544314,0.24869104111233178,"[-0.05108213363575883, 0.07224381027952165, -0.0917573292493135, 0.06215364288674115, 0.009566871044459168, -0.024161794568459783, -0.002258562917987614, 0.0014566695004818806, 0.02415848847875293, -0.01624774334687096, 0.3089207578369811, -0.0443016351962172]",0.24869104111232979,1.8041124150158794e-15,1.9984014443252818e-15,False,2094,203,"[0.23819081155024846, -0.032068533826283496, -0.1137659422826911, 0.12770581788748991, -0.01205043736010658, 0.08366221688480091]",0.5,-0.1137659422826911
robust_1.25__defensive,no_slippage,0.021165941010216738,-0.0282200091298902,0.056027546330957856,0.3314161737662574,0.16905495496569578,0.4536328056808051,0.36688381154511696,20.236332636228692,0.029831006867676466,1.0633204550167685,0.044084540864411714,0.004756403159650313,1.0368069490691965,0.39039143311854513,0.31253355891745305,"[-0.048616963176760224, 0.07645050988607241, -0.08489479503157296, 0.06844286895323515, 0.012234208811962372, -0.02336452063622294, 0.003230686329749677, 0.005830823676453742, 0.026740040310249933, -0.009522278332010817, 0.32403696570294244, -0.03803398757665345]",0.31253355891744505,7.716050021144838e-15,7.993605777301127e-15,False,2094,203,"[0.2514628196847861, -0.030554552117762257, -0.09306448005487544, 0.14079367539772614, 9.099492575792567e-05, 0.08884795553403602]",0.6666666666666666,-0.09306448005487544
