policy,episode,asset,entry,exit,days,exit_reason,net_log_growth,raw_asset_return,matched_BTC_open_return,matched_asset_minus_BTC,preceding_30_day_return,following_entry_7_day_raw_return,following_exit_7_day_raw_return
aggressive_2.5__calmar,2026/9,BNB,2026-09-17,2026-09-19,2,rotation,0.018717919259759748,0.048765704209830396,0.061384405427394206,-0.01261870121756381,0.18090152243855506,0.06993883623539787,0.020766563337361266
aggressive_2.5__calmar,2026/10,SOL,2026-09-19,2026-09-25,6,boundary_exit,0.01987701190663517,0.0836586231369767,,,0.31914341336794294,0.0836586231369767,0.0
aggressive_3__growth,2021/1,LTC,2021-01-01,2021-01-03,2,rotation,0.04268746872906422,0.10239896957011752,0.11246237073285759,-0.010063401162740071,0.48374215630347983,0.3861696989212686,0.24193077260113927
aggressive_3__growth,2021/2,DOGE,2021-01-03,2021-01-04,1,stop,-0.049570648919511864,-0.21649971257948586,,,0.6892695693552224,-0.06693904698560493,0.07114417528574135
aggressive_3__growth,2021/3,DOGE,2021-01-08,2021-01-14,6,rotation,-0.01759101880623404,-0.11000133310089533,-0.052269093904314556,-0.05773223919658077,2.1235011990407675,-0.04093645210578678,-0.0600184353036064
aggressive_3__growth,2021/4,ADA,2021-01-14,2021-01-17,3,rotation,0.03687662671757989,0.12196761185431737,-0.03683032309751455,0.15879793495183192,0.8751135921069715,-0.01475388849772774,0.008215192400947036
aggressive_3__growth,2021/5,DOGE,2021-01-17,2021-01-18,1,rotation,-0.0028461228073106528,-0.015015047524195135,-0.004722602985194224,-0.010292444539000911,1.7360091273440013,-0.05671509299153432,-0.08218756525657511
aggressive_3__growth,2021/6,ADA,2021-01-18,2021-01-21,3,rotation,-0.005510292458691078,-0.013892901226462251,-0.00995841171204781,-0.003934489514414441,1.1468535749265425,-0.09898363841689206,-0.0835996591030147
aggressive_3__growth,2021/7,DOGE,2021-01-21,2021-01-22,1,rotation,-0.016067516689486215,-0.09943812162624599,-0.13015140592017138,0.03071328429392539,0.9496776697354521,3.029131572265948,4.627033255292286
aggressive_3__growth,2021/8,ADA,2021-01-22,2021-01-23,1,rotation,0.04003101992852591,0.1317481972325083,0.0680024205894012,0.0637457766431071,1.4566042675742898,0.12882479048918327,0.04471614717869232
aggressive_3__growth,2021/9,DOGE,2021-01-23,2021-01-24,1,rotation,0.0008358090267846203,0.008578949842523498,-0.026464339908952916,0.035043289751476414,0.8065280453508714,2.321111267804259,3.3112488639276645
aggressive_3__growth,2021/10,ADA,2021-01-24,2021-01-25,1,rotation,0.005353823047482154,0.022299349240780808,0.0056565247209925396,0.01664282451978827,1.557169050238357,-0.002892263195950817,0.15645334691337065
aggressive_3__growth,2021/11,LINK,2021-01-25,2021-01-30,5,rotation,-0.02475565499041755,-0.0824163412823905,0.061589084748810086,-0.1440054260312006,1.143427465348588,-0.07726531995224117,0.10001318797256897
aggressive_3__growth,2021/12,DOGE,2021-01-30,2021-01-30,0,stop,-0.01235882022644772,-0.3423359076880902,,,7.10883764329512,0.255958384434245,0.9097262555708798
aggressive_3__growth,2021/13,DOGE,2021-02-06,2021-02-20,14,rotation,0.012606998654312373,0.17710848785203837,0.46009383295394124,-0.2829853451019029,4.306730190571716,0.41682726345216414,-0.09013682699471226
aggressive_3__growth,2021/14,BNB,2021-02-20,2021-02-20,0,stop,-0.06935244337996684,-0.24353168408854275,,,3.5997446154063226,-0.32361656461233557,-0.1058668008154443
aggressive_3__growth,2021/15,BNB,2021-03-09,2021-03-14,5,rotation,0.02392476720070107,0.1474509230633776,0.16827054341388425,-0.020819620350506662,2.5466503201601167,0.07371715537333667,-0.042122167641731934
aggressive_3__growth,2021/16,ADA,2021-03-14,2021-03-15,1,rotation,-0.02295104146613628,-0.04340277777777779,-0.036155557640192404,-0.007247220137585386,0.09834408190196453,0.07767052065154156,0.046645318839615646
aggressive_3__growth,2021/17,DOGE,2021-03-15,2021-03-18,3,rotation,-0.0034785595783716166,-0.005642294017622507,-0.001070094858797055,-0.004572199158825452,-0.09763591681876327,-0.05724738496418824,-0.11446214967396473
aggressive_3__growth,2021/18,ADA,2021-03-18,2021-03-20,2,rotation,-0.027204070657291423,-0.05989836660617054,-0.014987531608065208,-0.04491083499810533,0.48077378976814744,-0.20464609800362976,-0.09128255816647246
aggressive_3__growth,2021/19,BTC,2021-03-20,2021-03-21,1,rotation,-0.0016200721825971138,0.0012064447343709261,0.0012064447343709261,0.0,0.17329762107077773,-0.03813320039062551,-0.03997227539680703
aggressive_3__growth,2021/20,TRX,2021-03-21,2021-03-25,4,rotation,-0.07422213562199606,-0.08605682378058799,-0.09976519801542227,0.013708374234834286,0.11529680365296802,0.044834948267367336,0.5351302785265051
aggressive_3__growth,2021/21,XRP,2021-03-25,2021-03-26,1,rotation,0.041184013578571,0.06272125275915208,-0.019308017832786573,0.08202927059193865,0.009400014687522829,0.18876764816125946,0.18942273778265473
aggressive_3__growth,2021/22,TRX,2021-03-26,2021-04-11,16,rotation,0.41337149829331193,1.2865412445730824,0.1652315348956539,1.1213097096774285,0.02635944700460824,0.6700434153400867,0.13148734177215182
