model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,passes_2025_guardrail,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,doge_data_start,doge_data_end,doge_history_days,doge_non_na_close_ratio,doge_max_gap_days
phase65b_doge_guard_lb20_f20_s100_m12_e06_rm150_rb+00_v30_045_cd0,2874,37829.670918903495,112.69460505342188,-33.45815502995444,1.5905216518600096,2.094085513693662,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2241.3263622112745,83.28315667590611,-33.45815502995444,2023.9763686671242,159.39111673202132,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,11.103582481933927,-2.1316282072803006e-14,15.063511078241888,33.712587476716934,-11.065136365276985,20.0,20.0,100.0,0.12,0.06,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e06_rm200_rb-03_v30_045_cd0,2874,37829.670918903495,112.69460505342188,-33.45815502995444,1.5905216518600096,2.094085513693662,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2241.3263622112745,83.28315667590611,-33.45815502995444,2023.9763686671242,159.39111673202132,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,11.103582481933927,-2.1316282072803006e-14,15.063511078241888,33.712587476716934,-11.065136365276985,20.0,20.0,100.0,0.12,0.06,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e06_rm200_rb+00_v30_045_cd0,2874,37829.670918903495,112.69460505342188,-33.45815502995444,1.5905216518600096,2.094085513693662,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2241.3263622112745,83.28315667590611,-33.45815502995444,2023.9763686671242,159.39111673202132,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,11.103582481933927,-2.1316282072803006e-14,15.063511078241888,33.712587476716934,-11.065136365276985,20.0,20.0,100.0,0.12,0.06,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e06_rm150_rb-03_v30_045_cd0,2874,36948.40670898735,112.06010279743883,-33.45815502995444,1.5850892397039302,2.0889871001851574,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,835,2186.9276005884403,82.45717188284442,-33.45815502995444,1974.627552527487,157.49607409717353,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,10.469080225950876,-2.1316282072803006e-14,14.237526285180195,31.81754484186915,-11.065136365276985,20.0,20.0,100.0,0.16,0.06,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e06_rm150_rb+00_v30_045_cd0,2874,36948.40670898735,112.06010279743883,-33.45815502995444,1.5850892397039302,2.0889871001851574,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,835,2186.9276005884403,82.45717188284442,-33.45815502995444,1974.627552527487,157.49607409717353,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,10.469080225950876,-2.1316282072803006e-14,14.237526285180195,31.81754484186915,-11.065136365276985,20.0,20.0,100.0,0.16,0.06,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e06_rm200_rb-03_v30_045_cd0,2874,36948.40670898735,112.06010279743883,-33.45815502995444,1.5850892397039302,2.0889871001851574,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,835,2186.9276005884403,82.45717188284442,-33.45815502995444,1974.627552527487,157.49607409717353,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,10.469080225950876,-2.1316282072803006e-14,14.237526285180195,31.81754484186915,-11.065136365276985,20.0,20.0,100.0,0.16,0.06,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e06_rm200_rb+00_v30_045_cd0,2874,36948.40670898735,112.06010279743883,-33.45815502995444,1.5850892397039302,2.0889871001851574,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,835,2186.9276005884403,82.45717188284442,-33.45815502995444,1974.627552527487,157.49607409717353,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,10.469080225950876,-2.1316282072803006e-14,14.237526285180195,31.81754484186915,-11.065136365276985,20.0,20.0,100.0,0.16,0.06,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e03_rm150_rb-03_v30_045_cd0,2874,36486.843821221955,111.72250679064052,-33.45815502995444,1.582454421539541,2.083906755139352,41.8580375782881,8.420320111343075,48.32985386221294,1.3917884481558804,835,2158.4362024095826,82.01820991064639,-33.45815502995444,1948.7810676380313,156.49114390081255,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3917884481558804,40,False,phase65b_exact_doge_guardrail,10.131484219152568,-2.1316282072803006e-14,13.798564312982165,30.812614645508162,-11.065136365276985,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e03_rm150_rb+00_v30_045_cd0,2874,36486.843821221955,111.72250679064052,-33.45815502995444,1.582454421539541,2.083906755139352,41.8580375782881,8.420320111343075,48.32985386221294,1.3917884481558804,835,2158.4362024095826,82.01820991064639,-33.45815502995444,1948.7810676380313,156.49114390081255,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3917884481558804,40,False,phase65b_exact_doge_guardrail,10.131484219152568,-2.1316282072803006e-14,13.798564312982165,30.812614645508162,-11.065136365276985,20.0,20.0,100.0,0.12,0.03,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e03_rm200_rb-03_v30_045_cd0,2874,36486.843821221955,111.72250679064052,-33.45815502995444,1.582454421539541,2.083906755139352,41.8580375782881,8.420320111343075,48.32985386221294,1.3917884481558804,835,2158.4362024095826,82.01820991064639,-33.45815502995444,1948.7810676380313,156.49114390081255,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3917884481558804,40,False,phase65b_exact_doge_guardrail,10.131484219152568,-2.1316282072803006e-14,13.798564312982165,30.812614645508162,-11.065136365276985,20.0,20.0,100.0,0.12,0.03,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e03_rm200_rb+00_v30_045_cd0,2874,36486.843821221955,111.72250679064052,-33.45815502995444,1.582454421539541,2.083906755139352,41.8580375782881,8.420320111343075,48.32985386221294,1.3917884481558804,835,2158.4362024095826,82.01820991064639,-33.45815502995444,1948.7810676380313,156.49114390081255,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3917884481558804,40,False,phase65b_exact_doge_guardrail,10.131484219152568,-2.1316282072803006e-14,13.798564312982165,30.812614645508162,-11.065136365276985,20.0,20.0,100.0,0.12,0.03,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m08_e06_rm150_rb-03_v30_045_cd0,2874,36292.986940257455,111.57960644758558,-35.80592066379942,1.5784501042418764,2.0676552367486303,41.8580375782881,8.315935977731385,48.19067501739735,1.6353514265831592,838,2146.4697862793505,81.83251042553712,-35.805920663799384,1937.925517771739,156.0664702555035,-27.00867457704107,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.6353514265831592,47,False,phase65b_exact_doge_guardrail,9.988583876097621,-2.3477656338450004,13.612864827872897,30.38794100019912,-11.065136365276985,20.0,20.0,100.0,0.08,0.06,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e03_rm150_rb-03_v30_045_cd0,2874,35636.77907685931,111.09090446030723,-33.45815502995444,1.5770215149073195,2.078793935041307,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2105.963324387044,81.19792573302082,-33.45815502995444,1901.1793514849019,154.6172876975752,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,9.499881888819274,-2.1316282072803006e-14,12.978280135356599,28.93875844227081,-11.065136365276985,20.0,20.0,100.0,0.16,0.03,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e03_rm150_rb+00_v30_045_cd0,2874,35636.77907685931,111.09090446030723,-33.45815502995444,1.5770215149073195,2.078793935041307,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2105.963324387044,81.19792573302082,-33.45815502995444,1901.1793514849019,154.6172876975752,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,9.499881888819274,-2.1316282072803006e-14,12.978280135356599,28.93875844227081,-11.065136365276985,20.0,20.0,100.0,0.16,0.03,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e03_rm200_rb-03_v30_045_cd0,2874,35636.77907685931,111.09090446030723,-33.45815502995444,1.5770215149073195,2.078793935041307,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2105.963324387044,81.19792573302082,-33.45815502995444,1901.1793514849019,154.6172876975752,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,9.499881888819274,-2.1316282072803006e-14,12.978280135356599,28.93875844227081,-11.065136365276985,20.0,20.0,100.0,0.16,0.03,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m16_e03_rm200_rb+00_v30_045_cd0,2874,35636.77907685931,111.09090446030723,-33.45815502995444,1.5770215149073195,2.078793935041307,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2105.963324387044,81.19792573302082,-33.45815502995444,1901.1793514849019,154.6172876975752,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,9.499881888819274,-2.1316282072803006e-14,12.978280135356599,28.93875844227081,-11.065136365276985,20.0,20.0,100.0,0.16,0.03,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m08_e03_rm150_rb-03_v30_045_cd0,2874,35004.563185318046,110.61260416835043,-35.80592066379942,1.5704008616734209,2.0575534179187582,41.8580375782881,8.315935977731385,48.15588030619346,1.6701461377870561,838,2066.9378412332526,80.57757543831102,-35.805920663799384,1865.776681728007,153.20366671743278,-27.00867457704107,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.6701461377870561,48,False,phase65b_exact_doge_guardrail,9.021581596862475,-2.3477656338450004,12.35792984064679,27.5251374621284,-11.065136365276985,20.0,20.0,100.0,0.08,0.03,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e06_rm150_rb-03_v30_045_cd0,2874,35015.43681615399,110.62089389335922,-35.11094114188836,1.5731538413081934,2.069294416783492,41.8580375782881,8.420320111343075,48.46903270702853,1.2526096033402923,838,2062.1028455690303,80.5000912067499,-35.11094114188828,1861.3905283496638,153.02731218236624,-29.594211242562494,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.2526096033402923,36,False,phase65b_exact_doge_guardrail,9.02987132187127,-1.652786111933942,12.280445609085675,27.348782927061862,-11.065136365276985,20.0,20.0,150.0,0.12,0.06,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e06_rm150_rb+00_v30_045_cd0,2874,35015.43681615399,110.62089389335922,-35.11094114188836,1.5731538413081934,2.069294416783492,41.8580375782881,8.420320111343075,48.46903270702853,1.2526096033402923,838,2062.1028455690303,80.5000912067499,-35.11094114188828,1861.3905283496638,153.02731218236624,-29.594211242562494,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.2526096033402923,36,False,phase65b_exact_doge_guardrail,9.02987132187127,-1.652786111933942,12.280445609085675,27.348782927061862,-11.065136365276985,20.0,20.0,150.0,0.12,0.06,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e06_rm200_rb-03_v30_045_cd0,2874,35015.43681615399,110.62089389335922,-35.11094114188836,1.5731538413081934,2.069294416783492,41.8580375782881,8.420320111343075,48.46903270702853,1.2526096033402923,838,2062.1028455690303,80.5000912067499,-35.11094114188828,1861.3905283496638,153.02731218236624,-29.594211242562494,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.2526096033402923,36,False,phase65b_exact_doge_guardrail,9.02987132187127,-1.652786111933942,12.280445609085675,27.348782927061862,-11.065136365276985,20.0,20.0,150.0,0.12,0.06,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e06_rm200_rb+00_v30_045_cd0,2874,35015.43681615399,110.62089389335922,-35.11094114188836,1.5731538413081934,2.069294416783492,41.8580375782881,8.420320111343075,48.46903270702853,1.2526096033402923,838,2062.1028455690303,80.5000912067499,-35.11094114188828,1861.3905283496638,153.02731218236624,-29.594211242562494,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.2526096033402923,36,False,phase65b_exact_doge_guardrail,9.02987132187127,-1.652786111933942,12.280445609085675,27.348782927061862,-11.065136365276985,20.0,20.0,150.0,0.12,0.06,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m08_e06_rm200_rb+00_v30_045_cd0,2874,34846.41772077652,110.49178482391393,-34.561279836491906,1.570241498526348,2.052656649292052,41.8580375782881,8.350730688935283,48.22546972860125,1.5657620041753653,835,2057.1758228390854,80.42098803857618,-34.56127983649188,1856.9208909615586,152.84732161583517,-25.593466436350877,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.5657620041753653,45,False,phase65b_exact_doge_guardrail,8.900762252425977,-1.1031248065374868,12.201342440911958,27.168792360530787,-11.065136365276985,20.0,20.0,100.0,0.08,0.06,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e03_rm150_rb-03_v30_045_cd0,2874,34451.38893881413,110.18789424428573,-33.80989977727922,1.5689424870650228,2.065547126068548,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,836,2027.3736885029073,79.93937961220622,-33.80989977727916,1829.8853481651697,151.75253626303683,-29.594211242562483,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,8.596871672797775,-0.3517447473248012,11.719734014541999,26.074007007732448,-11.065136365276985,20.0,20.0,150.0,0.12,0.03,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e03_rm150_rb+00_v30_045_cd0,2874,34451.38893881413,110.18789424428573,-33.80989977727922,1.5689424870650228,2.065547126068548,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,836,2027.3736885029073,79.93937961220622,-33.80989977727916,1829.8853481651697,151.75253626303683,-29.594211242562483,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,8.596871672797775,-0.3517447473248012,11.719734014541999,26.074007007732448,-11.065136365276985,20.0,20.0,150.0,0.12,0.03,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e03_rm200_rb-03_v30_045_cd0,2874,34451.38893881413,110.18789424428573,-33.80989977727922,1.5689424870650228,2.065547126068548,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,836,2027.3736885029073,79.93937961220622,-33.80989977727916,1829.8853481651697,151.75253626303683,-29.594211242562483,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,8.596871672797775,-0.3517447473248012,11.719734014541999,26.074007007732448,-11.065136365276985,20.0,20.0,150.0,0.12,0.03,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s150_m12_e03_rm200_rb+00_v30_045_cd0,2874,34451.38893881413,110.18789424428573,-33.80989977727922,1.5689424870650228,2.065547126068548,41.8580375782881,8.420320111343075,48.39944328462074,1.3221990257480862,836,2027.3736885029073,79.93937961220622,-33.80989977727916,1829.8853481651697,151.75253626303683,-29.594211242562483,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3221990257480862,38,False,phase65b_exact_doge_guardrail,8.596871672797775,-0.3517447473248012,11.719734014541999,26.074007007732448,-11.065136365276985,20.0,20.0,150.0,0.12,0.03,200.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m08_e06_rm150_rb+00_v30_045_cd0,2874,34181.738794374294,109.97870934522945,-35.80592066379942,1.5657534687154167,2.0491051930816915,41.8580375782881,8.350730688935283,48.19067501739735,1.6005567153792624,837,2016.146458357663,79.75653130616811,-35.805920663799384,1819.7003641753404,151.33736603586362,-27.00867457704107,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.6005567153792624,46,False,phase65b_exact_doge_guardrail,8.387686773741493,-2.3477656338450004,11.536885708503888,25.65883678055924,-11.065136365276985,20.0,20.0,100.0,0.08,0.06,150.0,0.0,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m08_e06_rm200_rb-03_v30_045_cd0,2874,34181.738794374294,109.97870934522945,-35.80592066379942,1.5657534687154167,2.0491051930816915,41.8580375782881,8.350730688935283,48.19067501739735,1.6005567153792624,837,2016.146458357663,79.75653130616811,-35.805920663799384,1819.7003641753404,151.33736603586362,-27.00867457704107,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.6005567153792624,46,False,phase65b_exact_doge_guardrail,8.387686773741493,-2.3477656338450004,11.536885708503888,25.65883678055924,-11.065136365276985,20.0,20.0,100.0,0.08,0.06,200.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
