date,base_ret,overlay_candidate_raw,baseline_held_asset,baseline_asset_source,overlay_candidate_clean,use_baseline_exposure,portfolio_held_asset,is_exposed,trend_score,trend_state_label,buy_threshold,prev_trend_score,crossed_up_today,crossed_down_today,asset_transition_day,days_in_position,switch_day_forced_1x,entry_buffer_day_forced_1x,baseline_equity_curve,baseline_dd_lookback,stress_block_active,tradable_transition_day,tradable_governed_asset,cash_day,trend_gate_pass,trend_block_day,stress_block_day,leverage_eligible,effective_leverage,target_leverage,dynamic_mode,daily_borrow_cost,tradable_slippage_cost,realistic_ret_gross,realistic_ret_before_trading_fees,trading_turnover_notional,fee_side_mode,taker_fee_bps,maker_fee_bps,staking_discount_pct,referral_discount_pct,effective_trading_fee_bps,trading_fees_daily,trading_fees_cumulative,funding_daily,funding_cumulative,realistic_ret_net,realistic_ret,equity_curve_gross,equity_curve_net,equity_curve,leverage_active,leverage_state_reason,trend_activation_threshold,stress_off_threshold,stress_on_threshold,tradable_transition_slippage_bps,dynamic_mid_threshold,dynamic_mid_leverage,dynamic_high_leverage
2025-08-15,-0.023614202391111,,0.066517960366904,asset_col:executed_position,,True,0.066517960366904,True,1.0,pozitivny,0.0,1.0,False,False,True,1,True,False,274.121309313082,-0.06523698229212693,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.023614202391111,-0.023614202391111,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5809500000000055,0.0,0.0,-0.024514202391111,-0.024514202391111,274.121309313082,152.29702454526435,152.29702454526435,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-16,-0.0039374069427206,,0.0461322972887968,asset_col:executed_position,,True,0.0461322972887968,True,0.7968550708764844,pozitivny,0.0,1.0,False,False,True,1,True,False,273.041982166645,-0.0689175246878484,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0039374069427206,-0.0039374069427206,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5818500000000055,0.0,0.0,-0.0048374069427206,-0.0048374069427206,273.041982166645,151.5603018613734,151.5603018613734,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-17,0.0113840148892241,,0.0443785834133088,asset_col:executed_position,,True,0.0443785834133088,True,0.7169918950081383,pozitivny,0.0,0.7968550708764844,False,False,True,1,True,False,276.1502961570134,-0.05831806792579919,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0113840148892241,0.0113840148892241,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5827500000000055,0.0,0.0,0.0104840148892241,0.0104840148892241,276.1502961570134,153.14926232270332,153.14926232270332,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-18,-0.0356279612640391,,0.1211248190330374,asset_col:executed_position,,True,0.1211248190330374,True,0.2770317937619616,nad_buy_hranicou,0.0,0.7169918950081383,False,False,True,1,True,False,266.3116241024784,-0.09186827532478425,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0356279612640391,-0.0356279612640391,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5836500000000056,0.0,0.0,-0.0365279612640391,-0.0365279612640391,266.3116241024784,147.55503200096345,147.55503200096345,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-19,-0.0550430211987507,,0.0410881796727755,asset_col:executed_position,,True,0.0410881796727755,True,-0.569658553771011,negativny,0.0,0.2770317937619616,False,True,True,1,True,False,251.65302773153195,-0.14185458909734017,True,False,,False,False,False,False,False,1.0,1.0,static,0.0,0.0,-0.0550430211987507,-0.0550430211987507,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5845500000000056,0.0,0.0,-0.0559430211987507,-0.0559430211987507,251.65302773153195,139.3003577177512,139.3003577177512,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-20,0.0639343015367099,,0.0476208116640661,asset_col:executed_position,,True,0.0476208116640661,True,-0.075285918039249,pod_buy_hranicou,0.0,-0.569658553771011,False,False,True,1,True,False,267.74228828914573,-0.08698966163434574,True,False,,False,False,False,False,False,1.0,1.0,static,0.0,0.0,0.0639343015367099,0.0639343015367099,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5854500000000056,0.0,0.0,0.0630343015367099,0.0630343015367099,267.74228828914573,148.0810584703035,148.0810584703035,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-21,-0.0255663997638462,,0.0587312332680438,asset_col:executed_position,,True,0.0587312332680438,True,-0.2553506750336561,pod_buy_hranicou,0.0,-0.075285918039249,False,False,True,1,True,False,260.89708191305846,-0.11033204893352655,True,False,,False,False,False,False,False,1.0,1.0,static,0.0,0.0,-0.0255663997638462,-0.0255663997638462,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5863500000000056,0.0,0.0,-0.026466399763846203,-0.026466399763846203,260.89708191305846,144.16188597937497,144.16188597937497,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-22,0.143604004449388,,0.0233097001869775,asset_col:executed_position,,True,0.0233097001869775,True,1.0,pozitivny,0.0,-0.2553506750336561,True,False,True,1,True,False,298.36294762493367,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.143604004449388,0.143604004449388,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5872500000000056,0.0,0.0,0.142704004449388,0.142704004449388,298.36294762493367,164.73436439760786,164.73436439760786,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-23,-0.0111070410817722,,0.0,asset_col:executed_position,,True,0.0,True,0.9226639448393192,pozitivny,0.0,1.0,False,False,True,1,True,False,295.04901810838487,-0.011107041081772184,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0111070410817722,-0.0111070410817722,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5881500000000056,0.0,0.0,-0.0120070410817722,-0.0120070410817722,295.04901810838487,162.75639211670617,162.75639211670617,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-24,0.0003662313745187,,0.0511070410817724,asset_col:executed_position,,True,0.0511070410817724,True,0.8805147091186166,pozitivny,0.0,0.9226639448393192,False,False,True,1,True,False,295.1570743158371,-0.010744877454175628,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0003662313745187,0.0003662313745187,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5890500000000056,0.0,0.0,-0.0005337686254813,-0.0005337686254813,295.1570743158371,162.66951786099773,162.66951786099773,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-25,-0.0845099003169355,,0.0086471907867431,asset_col:executed_position,,True,0.0086471907867431,True,0.05071865991243,nad_buy_hranicou,0.0,0.8805147091186166,False,False,True,1,True,False,270.2133793875674,-0.09434672924854115,True,False,,False,False,False,False,False,1.0,1.0,static,0.0,0.0,-0.0845099003169355,-0.0845099003169355,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5899500000000056,0.0,0.0,-0.0854099003169355,-0.0854099003169355,270.2133793875674,148.77593055588596,148.77593055588596,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-26,0.0512890237604486,,0.0547142968824155,asset_col:executed_position,,True,0.0547142968824155,True,0.1851535237277769,nad_buy_hranicou,0.0,0.05071865991243,False,False,True,1,True,False,284.07235982336744,-0.04789665712624158,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0512890237604486,0.0512890237604486,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5908500000000056,0.0,0.0,0.050389023760448605,0.050389023760448605,284.07235982336744,156.27260445564934,156.27260445564934,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-27,-0.0204145953923702,,0.0025522860632289,asset_col:executed_position,,True,0.0025522860632289,True,0.1715568694341901,nad_buy_hranicou,0.0,0.1851535237277769,False,False,True,1,True,False,278.27313753541756,-0.06733346164273257,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0204145953923702,-0.0204145953923702,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5917500000000057,0.0,0.0,-0.0213145953923702,-0.0213145953923702,278.27313753541756,152.94171712076528,152.94171712076528,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-28,0.0009985111089907,,0.0566139214415888,asset_col:executed_position,,True,0.0566139214415888,True,0.1921360282532389,nad_buy_hranicou,0.0,0.1715568694341901,False,False,True,1,True,False,278.5509963545804,-0.06640218374319895,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0009985111089907,0.0009985111089907,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5926500000000057,0.0,0.0,9.851110899070006e-05,9.851110899070006e-05,278.5509963545804,152.95678357892976,152.95678357892976,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-29,-0.0334788227548705,,0.0578744914141378,asset_col:executed_position,,True,0.0578744914141378,True,-0.1346098586555302,pod_buy_hranicou,0.0,0.1921360282532389,False,True,True,1,True,False,269.2254369194328,-0.09765793955799451,True,False,,False,False,False,False,False,1.0,1.0,static,0.0,0.0,-0.0334788227548705,-0.0334788227548705,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5935500000000057,0.0,0.0,-0.034378822754870496,-0.034378822754870496,269.2254369194328,147.69830942711465,147.69830942711465,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-30,0.0031007894169505,,0.020690747606325,asset_col:executed_position,,True,0.020690747606325,True,0.1445629643944014,nad_buy_hranicou,0.0,-0.1346098586555302,True,False,True,1,True,False,270.0602483050065,-0.09485996684650655,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0031007894169505,0.0031007894169505,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5944500000000057,0.0,0.0,0.0022007894169505,0.0022007894169505,270.0602483050065,148.02336230340333,148.02336230340333,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-08-31,0.0041452317259986,,0.0067031321516768,asset_col:executed_position,,True,0.0067031321516768,True,0.7034551577418633,pozitivny,0.0,0.1445629643944014,False,False,True,1,True,False,271.1797106142115,-0.09110795166460717,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0041452317259986,0.0041452317259986,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5953500000000057,0.0,0.0,0.0032452317259986,0.0032452317259986,271.1797106142115,148.50373241493932,148.50373241493932,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-01,-0.0176076942868916,,0.0017544732887506,asset_col:executed_position,,True,0.0017544732887506,True,0.7925107113283112,pozitivny,0.0,0.7034551577418633,False,False,True,1,True,False,266.40486117290874,-0.1071114449914834,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0176076942868916,-0.0176076942868916,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5962500000000057,0.0,0.0,-0.018507694286891602,-0.018507694286891602,266.40486117290874,145.75527073494126,145.75527073494126,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-02,0.0042367798694542,,0.0267633840630366,asset_col:executed_position,,True,0.0267633840630366,True,0.845899883471955,pozitivny,0.0,0.7925107113283112,False,False,True,1,True,False,267.53355992585085,-0.10332847273595736,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0042367798694542,0.0042367798694542,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5971500000000057,0.0,0.0,0.0033367798694542003,0.0033367798694542003,267.53355992585085,146.24162398819647,146.24162398819647,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-03,0.0256513347971802,,0.0552505503555611,asset_col:executed_position,,True,0.0552505503555611,True,0.5206602550647145,pozitivny,0.0,0.845899883471955,False,False,True,1,True,False,274.39615284099034,-0.08032765118700835,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0256513347971802,0.0256513347971802,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5980500000000057,0.0,0.0,0.0247513347971802,0.0247513347971802,274.39615284099034,149.86129938481164,149.86129938481164,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-04,-0.043091094558049,,0.0016021402641444,asset_col:executed_position,,True,0.0016021402641444,True,0.3924142076660828,nad_buy_hranicou,0.0,0.5206602550647145,False,False,True,1,True,False,262.57212227255434,-0.11995733933213215,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.043091094558049,-0.043091094558049,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5989500000000058,0.0,0.0,-0.043991094558049,-0.043991094558049,262.57212227255434,143.2687367929823,143.2687367929823,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-05,0.0051403716884144,,0.0313642353849593,asset_col:executed_position,,True,0.0313642353849593,True,0.3717168772349845,nad_buy_hranicou,0.0,0.3924142076660828,False,False,True,1,True,False,263.92184057605107,-0.11543359295463806,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0051403716884144,0.0051403716884144,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.5998500000000058,0.0,0.0,0.0042403716884144,0.0042403716884144,263.92184057605107,143.87624948831416,143.87624948831416,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-06,-0.0157356412273801,,0.021302233031714,asset_col:executed_position,,True,0.021302233031714,True,0.2037301897086194,nad_buy_hranicou,0.0,0.3717168772349845,False,False,True,1,True,False,259.76886118067654,-0.12935281257769649,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0157356412273801,-0.0157356412273801,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6007500000000058,0.0,0.0,-0.0166356412273801,-0.0166356412273801,259.76886118067654,141.48277582068553,141.48277582068553,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-07,0.0309252597921663,,0.0283335662750194,asset_col:executed_position,,True,0.0283335662750194,True,0.4888329540679601,nad_buy_hranicou,0.0,0.2037301897086194,False,False,True,1,True,False,267.80228069860414,-0.10242782211934287,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0309252597921663,0.0309252597921663,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6016500000000058,0.0,0.0,0.0300252597921663,0.0300252597921663,267.80228069860414,145.73083292081841,145.73083292081841,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-08,0.0376060092076568,,0.0284403340953076,asset_col:executed_position,,True,0.0284403340953076,True,0.3019932236279981,nad_buy_hranicou,0.0,0.4888329540679601,False,False,True,1,True,False,277.87325573238735,-0.0686737145334263,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0376060092076568,0.0376060092076568,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6025500000000058,0.0,0.0,0.0367060092076568,0.0367060092076568,277.87325573238735,151.08003021584946,151.08003021584946,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-09,0.014478539068703,,0.0186513671965919,asset_col:executed_position,,True,0.0186513671965919,True,0.4505458780961259,nad_buy_hranicou,0.0,0.3019932236279981,False,False,True,1,True,False,281.89645452165644,-0.05518947052358836,True,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.014478539068703,0.014478539068703,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6034500000000058,0.0,0.0,0.013578539068703,0.013578539068703,281.89645452165644,153.13147630863622,153.13147630863622,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-10,0.0315823396712857,,0.0108279061665679,asset_col:executed_position,,True,0.0108279061665679,True,0.7930203579010662,pozitivny,0.0,0.4505458780961259,False,False,True,1,True,False,290.79940410049056,-0.02535014345665698,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0315823396712857,0.0315823396712857,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6043500000000058,0.0,0.0,0.0306823396712857,0.0306823396712857,290.79940410049056,157.82990827910322,157.82990827910322,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-11,0.020797072343464,,0.1053247177911129,asset_col:executed_position,,True,0.1053247177911129,True,0.2272642532825906,nad_buy_hranicou,0.0,0.7930203579010662,False,False,True,1,True,False,296.8471803450047,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.020797072343464,0.020797072343464,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6052500000000058,0.0,0.0,0.019897072343464,0.019897072343464,296.8471803450047,160.9702613820948,160.9702613820948,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-12,0.0588029554496569,,0.0226900486216483,asset_col:executed_position,,True,0.0226900486216483,True,0.4315236249330798,nad_buy_hranicou,0.0,0.2272642532825906,False,False,True,1,True,False,314.3026718661883,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0588029554496569,0.0588029554496569,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6061500000000059,0.0,0.0,0.0579029554496569,0.0579029554496569,314.3026718661883,170.29091525562185,170.29091525562185,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-13,0.0008258320257659,,0.0172428204359815,asset_col:executed_position,,True,0.0172428204359815,True,0.8369275574723539,pozitivny,0.0,0.4315236249330798,False,False,True,1,True,False,314.5622330783992,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0008258320257659,0.0008258320257659,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6070500000000059,0.0,0.0,-7.416797423409995e-05,-7.416797423409995e-05,314.5622330783992,170.27828512340687,170.27828512340687,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-14,-0.0108094727287729,,0.0495552932010943,asset_col:executed_position,,True,0.0495552932010943,True,0.9593759109234732,pozitivny,0.0,0.8369275574723539,False,False,True,1,True,False,311.1619811984363,-0.010809472728772973,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0108094727287729,-0.0108094727287729,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6079500000000059,0.0,0.0,-0.0117094727287729,-0.0117094727287729,311.1619811984363,168.28441618745214,168.28441618745214,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-15,-0.037717225500072,,0.0073779600035798,asset_col:executed_position,,True,0.0073779600035798,True,0.6385767923098457,pozitivny,0.0,0.9593759109234732,False,False,True,1,True,False,299.42581458652575,-0.048118994908396884,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.037717225500072,-0.037717225500072,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6088500000000059,0.0,0.0,-0.038617225500071996,-0.038617225500071996,299.42581458652575,161.78573893939333,161.78573893939333,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-16,0.0061123327494316,,0.0472851602826805,asset_col:executed_position,,True,0.0472851602826805,True,0.5909433797287553,pozitivny,0.0,0.6385767923098457,False,False,True,1,True,False,301.25600479904824,-0.04230078146741345,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0061123327494316,0.0061123327494316,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6097500000000059,0.0,0.0,0.0052123327494316,0.0052123327494316,301.25600479904824,162.62902004485812,162.62902004485812,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-17,0.0467123541396552,,0.0329990973131988,asset_col:executed_position,,True,0.0329990973131988,True,1.0,pozitivny,0.0,0.5909433797287553,False,False,True,1,True,False,315.32838198191905,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.0467123541396552,0.0467123541396552,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6106500000000059,0.0,0.0,0.045812354139655204,0.045812354139655204,315.32838198191905,170.07943830453823,170.07943830453823,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-18,0.1029082338152105,,0.0111333905411958,asset_col:executed_position,,True,0.0111333905411958,True,1.0,pozitivny,0.0,1.0,False,False,True,1,True,False,347.7782688434864,0.0,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,0.1029082338152105,0.1029082338152105,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6115500000000059,0.0,0.0,0.1020082338152105,0.1020082338152105,347.7782688434864,187.42894141426723,187.42894141426723,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
2025-09-19,-0.0409207161125318,,0.0,asset_col:executed_position,,True,0.0,True,1.0,pozitivny,0.0,1.0,False,False,True,1,True,False,333.54693303403434,-0.040920716112531785,False,False,,False,True,False,False,False,1.0,1.0,static,0.0,0.0,-0.0409207161125318,-0.0409207161125318,2.0,taker,4.5,1.5,0.0,0.0,4.5,0.0009,0.6124500000000059,0.0,0.0,-0.0418207161125318,-0.0418207161125318,333.54693303403434,179.5905288641088,179.5905288641088,False,switch_day,0.1,-0.08,-0.04,10.0,0.5,1.25,1.5
