ts,phase47_main_current,phase47_bnb_full_back,phase47_bnb_gap_filter,phase47_bnb_trend_filter
2019-04-21,1.361301089513001,1.2864893390602516,1.2864893390602516,1.238446401001794
2019-04-22,1.3959032035811392,1.319189857116497,1.319189857116497,1.2699257437900007
2019-04-23,1.3760038751484749,1.3003841174602984,1.3003841174602984,1.2518222897711677
2019-04-24,1.3264270780955723,1.2535318660629753,1.2535318660629753,1.2067196990538354
2019-04-25,1.350364209220039,1.2761535066658858,1.2761535066658858,1.2284965521833726
2019-04-26,1.3456860501542063,1.2717324408113253,1.2717324408113253,1.2242405875749354
2019-04-27,1.3486921675767376,1.2745733538509478,1.2745733538509478,1.2269754089392924
2019-04-28,1.331062038517125,1.2579121073007362,1.2579121073007362,1.210936363608854
2019-04-29,1.3520692851207305,1.2777648783054347,1.2777648783054347,1.2300477484094785
2019-04-30,1.3679231875714255,1.2927475126707806,1.2927475126707806,1.2444708680140626
2019-05-01,1.3957913953253558,1.319084193402428,1.319084193402428,1.269824026004682
2019-05-02,1.4668963638099441,1.3862815126540884,1.3862815126540884,1.3345119139315091
2019-05-03,1.4813196288059602,1.3999121317689631,1.3999121317689631,1.347633508237587
2019-05-04,1.4676409051495904,1.3869851369318649,1.3869851369318649,1.335189261911016
2019-05-05,1.4605690329713112,1.3803019070170135,1.3803019070170135,1.328755611989625
2019-05-06,1.4856115411699966,1.4039681775203767,1.4039681775203767,1.351538084133106
2019-05-07,1.5214282994714143,1.4378165877430966,1.4378165877430966,1.3841224519527264
2019-05-08,1.5778126946434727,1.4911023184583814,1.4911023184583814,1.4354182687352426
2019-05-09,1.6195247973407252,1.5305220881501835,1.5305220881501835,1.4733659379625625
2019-05-10,1.7981359448574588,1.6993174699270386,1.6993174699270386,1.6358577882409109
2019-05-11,1.7704608604544263,1.6731632992469645,1.6731632992469645,1.6106803246067505
2019-05-12,1.9796947645721092,1.8708985314384343,1.8708985314384343,1.8010312892231084
2019-05-13,2.0195518666620518,1.908565244055913,1.908565244055913,1.8372913679212814
2019-05-14,2.076042987896448,1.961951835589172,1.961951835589172,1.8886842789534193
2019-05-15,1.9989766065012442,1.8891207192192074,1.8891207192192074,1.8185729836548414
2019-05-16,1.869042707797704,1.7663274762310313,1.7663274762310313,1.7003653582755818
2019-05-17,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
