profile,decision_date,asset,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible,admission_failing,state,state_prev,fail_streaks,pass_streaks,suspended_now
phase68b_dynamic_repair_tight5,2026-03-14,STRK,768,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,STX,2347,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,83,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SUI,1061,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SYRUP,327,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TAO,717,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,THETA,2545,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,7,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TIA,880,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TON,598,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,41,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TRUMP,434,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TWT,1887,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,98,0,True
phase68b_dynamic_repair_tight5,2026-03-14,UNI,2019,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,74,0,True
phase68b_dynamic_repair_tight5,2026-03-14,VET,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,83,0,True
phase68b_dynamic_repair_tight5,2026-03-14,VIRTUAL,352,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,WAL,170,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,WIF,754,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
