decision_date,next_date_exclusive,asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,train_triggers,score,passed_filters,selected_asset
2019-07-13,2019-07-20,SOL,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,TRX,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,XRP,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,BNB,-16.094930873034514,-14.20446126749367,0.0,3,-80.51024137952645,False,
2019-07-20,2019-07-27,ADA,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,DOT,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,ETH,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,LINK,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,LTC,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,SOL,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,TRX,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,XRP,0.0,0.0,0.0,0,0.0,False,
2019-07-20,2019-07-27,BNB,-16.094930873034514,-13.398058256690874,0.0,3,-77.28462933631526,False,
2019-07-27,2019-08-03,ADA,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,DOT,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,ETH,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,LINK,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,LTC,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,SOL,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,TRX,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,XRP,0.0,0.0,0.0,0,0.0,False,
2019-07-27,2019-08-03,BNB,-16.094930873034514,-13.832421642957044,0.0,3,-79.02208288137994,False,
2019-08-03,2019-08-10,ADA,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,DOT,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,ETH,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,LINK,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,LTC,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,SOL,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,TRX,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,XRP,0.0,0.0,0.0,0,0.0,False,
2019-08-03,2019-08-10,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-08-10,2019-08-17,ADA,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,DOGE,0.0,0.0,0.0,0,0.0,False,
