date,open,high,low,close,volume
2025-07-12,1.7136,1.7797,1.6372,1.7078,13872572.3
2025-07-13,1.7078,1.7903,1.6809,1.709,13068656.8
2025-07-14,1.7091,1.85,1.626,1.6898,25680795.6
2025-07-15,1.69,1.7009,1.5715,1.6858,25325554.6
2025-07-16,1.6859,1.8536,1.626,1.7792,22408396.9
2025-07-17,1.7793,1.9254,1.7055,1.8071,38386016.6
2025-07-18,1.8072,1.9282,1.676,1.7426,31739894.4
2025-07-19,1.7426,1.7941,1.6972,1.7731,8592483.1
2025-07-20,1.7732,1.8876,1.7566,1.8256,17576810.9
2025-07-21,1.8256,1.9588,1.7,1.9184,28112669.9
2025-07-22,1.9185,1.9675,1.7776,1.9385,31337099.7
2025-07-23,1.9386,1.9398,1.6232,1.7098,27560102.8
2025-07-24,1.7099,1.7214,1.5122,1.5423,26963102.1
2025-07-25,1.5423,1.579,1.4739,1.5686,20757444.1
2025-07-26,1.5686,1.609,1.5556,1.5698,7883229.7
2025-07-27,1.5698,1.624,1.5658,1.6003,7891253.7
2025-07-28,1.6004,1.6194,1.4241,1.452,17658712.6
2025-07-29,1.452,1.4947,1.3318,1.3771,20504671.7
2025-07-30,1.377,1.3899,1.255,1.343,21840578.1
2025-07-31,1.3431,1.383,1.2496,1.253,13192297.0
2025-08-01,1.2531,1.2574,1.1652,1.2154,28810174.8
2025-08-02,1.2155,1.2256,1.1217,1.1531,14598238.7
2025-08-03,1.1533,1.2459,1.1343,1.2191,16309711.7
2025-08-04,1.2191,1.2672,1.199,1.2576,9670930.2
2025-08-05,1.2577,1.2685,1.158,1.1842,11665385.6
2025-08-06,1.1844,1.24,1.1495,1.2321,9958944.7
2025-08-07,1.2319,1.3572,1.2112,1.3338,18948512.4
2025-08-08,1.3337,1.3785,1.313,1.3715,15711247.1
2025-08-09,1.3714,1.459,1.3621,1.4204,15334368.4
2025-08-10,1.4203,1.475,1.35,1.4526,19083237.3
2025-08-11,1.4527,1.4897,1.2948,1.3128,24293299.3
2025-08-12,1.3127,1.3942,1.2834,1.3392,18133896.9
2025-08-13,1.3392,1.4117,1.3263,1.3758,18339976.0
2025-08-14,1.3758,1.3986,1.1655,1.188,33335448.5
2025-08-15,1.1879,1.2441,1.1517,1.1947,15762824.3
2025-08-16,1.1946,1.2178,1.1759,1.2093,6040982.3
2025-08-17,1.2095,1.3591,1.1996,1.305,16191518.7
2025-08-18,1.305,1.3122,1.202,1.2137,22854084.4
2025-08-19,1.2138,1.2419,1.1494,1.1676,16511889.4
2025-08-20,1.1677,1.3059,1.1534,1.2606,18286326.8
2025-08-21,1.2605,1.271,1.1769,1.1845,10833665.9
2025-08-22,1.1846,1.36,1.133,1.3267,28589822.7
2025-08-23,1.3268,1.3324,1.19,1.2838,11124244.5
2025-08-24,1.284,1.3072,1.1958,1.2335,15649838.4
2025-08-25,1.2338,1.2893,1.0823,1.1178,28662118.3
2025-08-26,1.1179,1.1945,1.1107,1.1803,12302957.2
2025-08-27,1.1802,1.1989,1.1527,1.1584,12146056.6
2025-08-28,1.1584,1.2208,1.145,1.2114,10643067.8
2025-08-29,1.2115,1.2146,1.1103,1.1342,14411336.5
2025-08-30,1.1343,1.1648,1.1155,1.1509,4975165.5
2025-08-31,1.1511,1.17,1.1087,1.1094,4644395.8
2025-09-01,1.1094,1.1265,1.0035,1.0267,14466878.3
2025-09-02,1.0268,1.0631,1.004,1.0626,13717686.4
2025-09-03,1.0627,1.1625,1.05,1.1336,14949687.2
2025-09-04,1.1337,1.1387,1.0342,1.058,9760236.6
2025-09-05,1.0579,1.1203,1.0565,1.0998,11957249.7
2025-09-06,1.0999,1.1216,1.0812,1.1114,4851417.9
2025-09-07,1.1113,1.1561,1.1089,1.1436,6507291.5
2025-09-08,1.1435,1.29,1.1357,1.2815,23069086.6
2025-09-09,1.2816,1.3381,1.2376,1.2572,29886443.7
2025-09-10,1.2573,1.3098,1.238,1.2576,27739982.0
2025-09-11,1.2575,1.2862,1.215,1.2837,13409384.8
2025-09-12,1.2837,1.343,1.2608,1.3305,9793511.1
